Year	Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
1201	Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Va	M0 V M7 V M2 V	{ -2 }	(A00+2)	[0000]	B	0	20
1447	Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Wild	M0 V M7 V M2 V	{ -2 }	(A00+1)	[0000]	B	0	10
1508	Knae	E	0111	Anesdokon	X100000-9	 	Di Va 		002	Wild	M0 V M7 V M2 V	{ -2 }	(A00+3)	[0000]	B	0	30
1900	Knae	E	0111	Anesdokon	E10077A-6	 	Na Pi Va 		102	NaVa	M0 V M7 V M2 V	{ -2 }	(862+1)	[7569]	BD	0	96

1105	Knae	E	0115	Karruez	D423464-5	 	Ni Po 		315	VK	G9 V	{ 0 }	(A34+3)	[]	B	0	0
1201	Knae	E	0115	Karruez	X423000-5	 	Di Po 		015	VK	G9 V	{ -3 }	(A00-4)	[0000]	B	0	-40
1447	Knae	E	0115	Karruez	X423000-5	 	Di Po 		015	Wild	G9 V	{ -3 }	(A00-1)	[0000]	B	0	-10
1508	Knae	E	0115	Karruez	X423000-5	 	Di Po 		015	Wild	G9 V	{ -3 }	(A00+1)	[0000]	B	0	10
1900	Knae	E	0115	Karruez	E4237AC-4	 	Na Pi Po 		915	NaVa	G9 V	{ -2 }	(A61+2)	[A575]	BD	0	120

1105	Knae	E	0116	Tava	E768878-3	 	Pa Ri Ph 		702	VK	F9 V M6 V	{ 0 }	(674+1)	[]	BcCe	0	0
1201	Knae	E	0116	Tava	X768885-1	 	Pa Ri Ph 	B	802	VK	F9 V M6 V	{ -1 }	(676+2)	[7742]	BcCe	0	504
1447	Knae	E	0116	Tava	X768887-0	 	Pa Ri Ph 		402	Wild	F9 V M6 V	{ -1 }	(675+1)	[5721]	BcCe	0	210
1508	Knae	E	0116	Tava	X768876-0	 	Pa Ri Ph 		302	Wild	F9 V M6 V	{ -1 }	(679+1)	[B752]	BcCe	0	378
1900	Knae	E	0116	Tava	B768242-8	 	Lo 		702	NaVa	F9 V M6 V	{ -1 }	(810-1)	[1147]	B	0	-8

1105	Knae	E	0117	Vuvadhuek	AAC4544-C	 	Fl Ni 		800	VK	K4 V	{ 0 }	(646-3)	[]	B	0	0
1201	Knae	E	0117	Vuvadhuek	XAC4000-C	 	Di Fl 		000	VK	K4 V	{ -1 }	(600+1)	[0000]	B	0	6
1447	Knae	E	0117	Vuvadhuek	XAC4000-C	 	Di Fl 		000	Wild	K4 V	{ -1 }	(600-3)	[0000]	B	0	-18
1508	Knae	E	0117	Vuvadhuek	XAC4000-C	 	Di Fl 		000	Wild	K4 V	{ -1 }	(600+4)	[0000]	B	0	24
1900	Knae	E	0117	Vuvadhuek	BAC4210-A	 	Fl Lo 		800	NaVa	K4 V	{ 1 }	(611+3)	[33AC]	B	0	18

1105	Knae	I	0121	Voeorsaerr	B876404-9	 	Ni Pa 		202	VK	F2 V	{ 0 }	(A34+1)	[]	Bc	0	0
1201	Knae	I	0121	Voeorsaerr	C876452-5	 	Ni Pa 	B	202	VK	F2 V	{ -2 }	(832+1)	[1236]	Bc	0	48
1447	Knae	I	0121	Voeorsaerr	D876000-5	 	Di 		002	Wild	F2 V	{ -3 }	(800+1)	[0000]	B	0	8
1508	Knae	I	0121	Voeorsaerr	D876000-5	 	Di 		002	Wild	F2 V	{ -3 }	(800+4)	[0000]	B	0	32
1900	Knae	I	0121	Voeorsaerr	C87657A-6	 	Ag Ni 		702	NaVa	F2 V	{ -1 }	(840-3)	[7499]	BC	0	-96

1105	Knae	I	0126	Dikhsaers	C586677-6	 	Ag Ri Ni 		927	VK	F8 V K2 V M5 V	{ 0 }	(351+3)	[]	BC	0	0
1201	Knae	I	0126	Dikhsaers	E586722-6	 	Ag Ri 	B	127	VK	F8 V K2 V M5 V	{ 0 }	(369-1)	[7777]	BC	0	-162
1447	Knae	I	0126	Dikhsaers	E586677-2	 	Ag Ri Ni 		527	Wild	F8 V K2 V M5 V	{ -1 }	(355-1)	[7571]	BC	0	-75
1508	Knae	I	0126	Dikhsaers	E586675-3	 	Ag Ri Ni 		427	Wild	F8 V K2 V M5 V	{ -1 }	(350+2)	[7565]	BC	0	30
1900	Knae	I	0126	Dikhsaers	B586678-8	 	Ag Ri Ni 		727	NaVa	F8 V K2 V M5 V	{ 1 }	(C56+1)	[9743]	BC	0	360

1105	Knae	I	0129	Ghezesurrgh	B231500-C	 	Ni Po 		903	Ve	M2 V M8 V	{ 0 }	(643-1)	[]	B	0	0
1201	Knae	I	0129	Ghezesurrgh	X231000-C	 	Di Po 		003	Ve	M2 V M8 V	{ -1 }	(600-2)	[0000]	B	0	-12
1447	Knae	I	0129	Ghezesurrgh	X231000-C	 	Di Po 		003	Wild	M2 V M8 V	{ -1 }	(600+4)	[0000]	B	0	24
1508	Knae	I	0129	Ghezesurrgh	X231000-C	 	Di Po 		003	Wild	M2 V M8 V	{ -1 }	(600+2)	[0000]	B	0	12
1900	Knae	I	0129	Ghezesurrgh	B231375-B	 	Lo Po 		703	NaVa	M2 V M8 V	{ 1 }	(621+4)	[2457]	B	0	48

1105	Knae	M	0133	Ongazaksa	B674323-5	 	Lo 		704	Ve	G1 V	{ 0 }	(720-1)	[]	B	0	0
1201	Knae	M	0133	Ongazaksa	D674289-3	 	Lo 	B	704	Ve	G1 V	{ -3 }	(710+1)	[1136]	B	0	7
1447	Knae	M	0133	Ongazaksa	D674000-3	 	Di 		004	Wild	G1 V	{ -3 }	(700+1)	[0000]	B	0	7
1508	Knae	M	0133	Ongazaksa	D674000-3	 	Di 		004	Wild	G1 V	{ -3 }	(700+3)	[0000]	B	0	21
1900	Knae	M	0133	Ongazaksa	C674588-3	 	Ag Ni 		504	NaVa	G1 V	{ -1 }	(744+1)	[5494]	BC	0	112

1105	Knae	A	0203	Sulueng	C778579-6	 	Ag Ni 		411	Va	G8 V	{ 0 }	(941+1)	[]	BC	0	0
1201	Knae	A	0203	Sulueng	E77859B-5	 	Ag Ni 	B	311	Va	G8 V	{ -2 }	(944+1)	[6321]	BC	0	144
1447	Knae	A	0203	Sulueng	E778000-5	 	Di 		011	Wild	G8 V	{ -3 }	(900+3)	[0000]	B	0	27
1508	Knae	A	0203	Sulueng	E778000-5	 	Di 		011	Wild	G8 V	{ -3 }	(900+1)	[0000]	B	0	9
1900	Knae	A	0203	Sulueng	B778354-9	 	Lo 		611	NaVa	G8 V	{ 0 }	(B20-1)	[136A]	B	0	-22

1105	Knae	A	0210	Thogzasaegha	C343698-6	 	Ni Po 		100	Va	F7 V	{ 0 }	(B56-1)	[]	B	0	0
1201	Knae	A	0210	Thogzasaegha	X343699-3	 	Ni Po 		200	Va	F7 V	{ -3 }	(B50+3)	[5367]	B	0	165
1447	Knae	A	0210	Thogzasaegha	X343000-3	 	Di Po 		000	Wild	F7 V	{ -3 }	(B00-1)	[0000]	B	0	-11
1508	Knae	A	0210	Thogzasaegha	X343000-3	 	Di Po 		000	Wild	F7 V	{ -3 }	(B00+1)	[0000]	B	0	11
1900	Knae	A	0210	Thogzasaegha	D343000-3	 	Di Po 		000	NaVa	F7 V	{ -3 }	(B00-1)	[0000]	B	0	-11

1105	Knae	E	0212	Oudae	X387622-0	 	Ag Ri Ni 		203	Va	M1 V M2 V	{ 0 }	(253+3)	[]	BC	0	0
1201	Knae	E	0212	Oudae	X38769D-0	 	Ag Ri Ni 	B	303	Va	M1 V M2 V	{ -1 }	(252+1)	[A551]	BC	0	20
1447	Knae	E	0212	Oudae	X38747A-0	 	Ni Pa 		103	Wild	M1 V M2 V	{ -3 }	(231-3)	[9171]	Bc	0	-18
1508	Knae	E	0212	Oudae	X387310-0	 	Lo 		903	Wild	M1 V M2 V	{ -3 }	(220+3)	[1163]	B	0	12
1900	Knae	E	0212	Oudae	B387684-8	 	Ag Ri Ni 		903	NaVa	M1 V M2 V	{ 1 }	(553+3)	[6726]	BC	0	225

1105	Knae	E	0218	Ivaegvagz	B76287A-5	 	Ph Ri 		904	VK	G1 V	{ 0 }	(878+4)	[]	BCe	0	0
1201	Knae	E	0218	Ivaegvagz	D762998-5	 	Hi Pr 	B	104	VK	G1 V	{ -1 }	(883-3)	[5831]	BcE	0	-576
1447	Knae	E	0218	Ivaegvagz	D762888-0	 	Ph Ri 		504	Wild	G1 V	{ -1 }	(872+1)	[A751]	BCe	0	112
1508	Knae	E	0218	Ivaegvagz	D762840-0	 	Ph Ri 		504	Wild	G1 V	{ -1 }	(875+4)	[9771]	BCe	0	1120
1900	Knae	E	0218	Ivaegvagz	E762574-2	 	Ni Pr 		204	NaVa	G1 V	{ -3 }	(840+1)	[7212]	Bc	0	32

1105	Knae	I	0225	Gurruzaengan	C866120-2	 	Ga Lo 		613	VK	K4 V	{ 0 }	(500-2)	[]	B	0	0
1201	Knae	I	0225	Gurruzaengan	E866201-1	 	Ga Lo 	B	113	VK	K4 V	{ -3 }	(510-2)	[1161]	B	0	-10
1447	Knae	I	0225	Gurruzaengan	E866000-1	 	Di Ga 		013	Wild	K4 V	{ -3 }	(500+1)	[0000]	B	0	5
1508	Knae	I	0225	Gurruzaengan	E866000-1	 	Di Ga 		013	Wild	K4 V	{ -3 }	(500-1)	[0000]	B	0	-5
1900	Knae	I	0225	Gurruzaengan	C86657B-2	 	Ag Pr Ga Ni 		413	NaVa	K4 V	{ -1 }	(541+1)	[4441]	BcC	0	20

1105	Knae	I	0226	Asrrolang	D000554-B	 	As Va Ni 		602	VK	F2 V M1 V	{ 0 }	(A45+1)	[]	B	0	0
1201	Knae	I	0226	Asrrolang	X000000-B	 	As Va Di 		002	VK	F2 V M1 V	{ -1 }	(A00-2)	[0000]	B	0	-20
1447	Knae	I	0226	Asrrolang	X000000-B	 	As Va Di 		002	Wild	F2 V M1 V	{ -1 }	(A00+2)	[0000]	B	0	20
1508	Knae	I	0226	Asrrolang	X000000-B	 	As Va Di 		002	Wild	F2 V M1 V	{ -1 }	(A00-5)	[0000]	B	0	-50
1900	Knae	I	0226	Asrrolang	A000516-G	 	As Va Ni 		102	NaVa	F2 V M1 V	{ 2 }	(A44-1)	[473G]	B	0	-160

1105	Knae	I	0229	Zoevanaegats	B6A3523-7	 	Fl Ni 		406	Ve	F2 V M7 V M8 V	{ 0 }	(644+1)	[]	B	0	0
1201	Knae	I	0229	Zoevanaegats	X6A3000-7	 	Di Fl 		006	Ve	F2 V M7 V M8 V	{ -3 }	(600+1)	[0000]	B	0	6
1447	Knae	I	0229	Zoevanaegats	X6A3000-7	 	Di Fl 		006	Wild	F2 V M7 V M8 V	{ -3 }	(600-2)	[0000]	B	0	-12
1508	Knae	I	0229	Zoevanaegats	X6A3000-7	 	Di Fl 		006	Wild	F2 V M7 V M8 V	{ -3 }	(600-1)	[0000]	B	0	-6
1900	Knae	I	0229	Zoevanaegats	D6A368C-2	 	Fl Ni 		106	NaVa	F2 V M7 V M8 V	{ -3 }	(650-4)	[B344]	B	0	-120

1105	Knae	M	0232	Knuekhoe	C63738C-6	 	Lo 		602	Ve	F2 III K3 V	{ 0 }	(620+1)	[]	B	0	0
1201	Knae	M	0232	Knuekhoe	X637000-6	 	Di 		002	Ve	F2 III K3 V	{ -3 }	(600-3)	[0000]	B	0	-18
1447	Knae	M	0232	Knuekhoe	X637000-6	 	Di 		002	Wild	F2 III K3 V	{ -3 }	(600+1)	[0000]	B	0	6
1508	Knae	M	0232	Knuekhoe	X637000-6	 	Di 		002	Wild	F2 III K3 V	{ -3 }	(600+1)	[0000]	B	0	6
1900	Knae	M	0232	Knuekhoe	B637235-8	 	Lo 		402	NaVa	F2 III K3 V	{ -1 }	(810+4)	[5159]	B	0	32

1105	Knae	M	0235	Dzueroune	C530352-9	 	De Lo Po 		400	Ve	K0 V	{ 0 }	(520+3)	[]	B	0	0
1201	Knae	M	0235	Dzueroune	X530000-9	 	De Di Po 		000	Ve	K0 V	{ -2 }	(500+1)	[0000]	B	0	5
1447	Knae	M	0235	Dzueroune	X530000-9	 	De Di Po 		000	Wild	K0 V	{ -2 }	(500+1)	[0000]	B	0	5
1508	Knae	M	0235	Dzueroune	X530000-9	 	De Di Po 		000	Wild	K0 V	{ -2 }	(500-2)	[0000]	B	0	-10
1900	Knae	M	0235	Dzueroune	E530545-6	 	De Ni Po 		700	NaVa	K0 V	{ -3 }	(542-1)	[1284]	B	0	-40

1105	Knae	M	0236	Dzaeva	A220511-F	 	De Ni Po 		104	Ve	M0 V M4 V	{ 0 }	(942+1)	[]	B	0	0
1201	Knae	M	0236	Dzaeva	X220000-F	 	De Di Po 		004	Ve	M0 V M4 V	{ -1 }	(900-3)	[0000]	B	0	-27
1447	Knae	M	0236	Dzaeva	X220000-F	 	De Di Po 		004	Wild	M0 V M4 V	{ -1 }	(900-2)	[0000]	B	0	-18
1508	Knae	M	0236	Dzaeva	X220000-F	 	De Di Po 		004	Wild	M0 V M4 V	{ -1 }	(900-1)	[0000]	B	0	-9
1900	Knae	M	0236	Dzaeva	C220786-A	 	De Na Pi Po 		604	NaVa	M0 V M4 V	{ 1 }	(966+3)	[7869]	BD	0	972

1105	Knae	M	0239	Ekador	B687777-6	 	Ag Ri Ga 		403	Ve	F0 V	{ 0 }	(469-1)	[]	BC	0	0
1201	Knae	M	0239	Ekador	D687788-4	 	Ag Ri Ga 	B	503	Ve	F0 V	{ 0 }	(469+1)	[7786]	BC	0	216
1447	Knae	M	0239	Ekador	D6877AA-0	 	Ag Ri Ga 		203	Wild	F0 V	{ 0 }	(465-3)	[8791]	BC	0	-360
1508	Knae	M	0239	Ekador	D6877AC-1	 	Ag Ri Ga 		103	Wild	F0 V	{ 0 }	(46B-2)	[2741]	BC	0	-528
1900	Knae	M	0239	Ekador	B687620-6	 	Ag Ri Ga Ni 		503	NaVa	F0 V	{ 1 }	(453-1)	[3783]	BC	0	-60

1105	Knae	M	0240	Llunankerz	B261487-A	 	Ni 		102	Ve	F5 V	{ 0 }	(A31-3)	[]	B	0	0
1201	Knae	M	0240	Llunankerz	X261130-4	 	Lo 		102	Ve	F5 V	{ -3 }	(800-2)	[1155]	B	0	-16
1447	Knae	M	0240	Llunankerz	X261000-4	 	Di 		002	Wild	F5 V	{ -3 }	(800-2)	[0000]	B	0	-16
1508	Knae	M	0240	Llunankerz	X261000-4	 	Di 		002	Wild	F5 V	{ -3 }	(800-2)	[0000]	B	0	-16
1900	Knae	M	0240	Llunankerz	D261322-6	 	Lo 		502	NaVa	F5 V	{ -3 }	(820+1)	[214A]	B	0	16

1105	Knae	A	0301	Ksouegzoe	C747685-2	 	Ag Ni 		514	Va	F0 V M8 V	{ 0 }	(456+1)	[]	BC	0	0
1201	Knae	A	0301	Ksouegzoe	E747677-2	 	Ag Ni 	B	614	Va	F0 V M8 V	{ -2 }	(454+2)	[6471]	BC	0	160
1447	Knae	A	0301	Ksouegzoe	E747000-2	 	Di 		014	Wild	F0 V M8 V	{ -3 }	(400+1)	[0000]	B	0	4
1508	Knae	A	0301	Ksouegzoe	E747000-2	 	Di 		014	Wild	F0 V M8 V	{ -3 }	(400-1)	[0000]	B	0	-4
1900	Knae	A	0301	Ksouegzoe	C747AAD-6	 	Hi In 		514	NaVa	F0 V M8 V	{ 1 }	(49D-1)	[6B57]	BE	0	-468

1105	Knae	A	0307	Arrghiks	E516313-1	 	Ic Lo 		210	Va	M5 V M5 V	{ 0 }	(720-2)	[]	B	0	0
1201	Knae	A	0307	Arrghiks	X516000-1	 	Di Ic 		010	Va	M5 V M5 V	{ -3 }	(700-4)	[0000]	B	0	-28
1447	Knae	A	0307	Arrghiks	X516000-1	 	Di Ic 		010	Wild	M5 V M5 V	{ -3 }	(700-3)	[0000]	B	0	-21
1508	Knae	A	0307	Arrghiks	X516000-1	 	Di Ic 		010	Wild	M5 V M5 V	{ -3 }	(700+5)	[0000]	B	0	35
1900	Knae	A	0307	Arrghiks	D516697-0	 	Ic Ni 		110	NaVa	M5 V M5 V	{ -3 }	(750-1)	[2351]	B	0	-35

1105	Knae	E	0311	Dzoghaen	B334583-A	 	Ni 		311	Va	A9 IV K9 V	{ 0 }	(946+1)	[]	B	0	0
1201	Knae	E	0311	Dzoghaen	X334000-A	 	Di 		011	Va	A9 IV K9 V	{ -1 }	(900+1)	[0000]	B	0	9
1447	Knae	E	0311	Dzoghaen	X334000-A	 	Di 		011	Wild	A9 IV K9 V	{ -1 }	(900-2)	[0000]	B	0	-18
1508	Knae	E	0311	Dzoghaen	X334000-A	 	Di 		011	Wild	A9 IV K9 V	{ -1 }	(900-2)	[0000]	B	0	-18
1900	Knae	E	0311	Dzoghaen	C334659-8	 	Ni Px 		611	NaVa	A9 IV K9 V	{ -2 }	(950-1)	[3495]	B	0	-45

1105	Knae	E	0312	Zoaaeng	C898620-6	 	Ag Ni 		900	Va	F5 V	{ 0 }	(354+1)	[]	BC	0	0
1201	Knae	E	0312	Zoaaeng	E898757-3	 	Ag 	B	100	Va	F5 V	{ -1 }	(366+1)	[2643]	BC	0	108
1447	Knae	E	0312	Zoaaeng	E898634-2	 	Ag Ni 		500	Wild	F5 V	{ -2 }	(350+3)	[9493]	BC	0	45
1508	Knae	E	0312	Zoaaeng	E898677-3	 	Ag Ni 		400	Wild	F5 V	{ -2 }	(351+2)	[9466]	BC	0	30
1900	Knae	E	0312	Zoaaeng	E898510-5	 	Ag Ni 		100	NaVa	F5 V	{ -2 }	(344-1)	[7395]	BC	0	-48

1105	Knae	E	0318	Ksoosuegh	C67557B-2	 	Ag Ni 		500	VK	F2 V	{ 0 }	(746+3)	[]	BC	0	0
1201	Knae	E	0318	Ksoosuegh	E675500-0	 	Ag Ni 	B	300	VK	F2 V	{ -2 }	(740-2)	[3371]	BC	0	-56
1447	Knae	E	0318	Ksoosuegh	E675000-0	 	Ba 		000	Wild	F2 V	{ -3 }	(700+1)	[0000]	B	0	7
1508	Knae	E	0318	Ksoosuegh	E675000-0	 	Ba 		000	Wild	F2 V	{ -3 }	(700+1)	[0000]	B	0	7
1900	Knae	E	0318	Ksoosuegh	A675888-5	 	Pa Pi Ph 		600	NaVa	F2 V	{ 0 }	(774-1)	[7835]	BcDe	0	-196

1105	Knae	E	0319	Tsekuegang	D550574-3	 	De Ni Po 		515	VK	K0 V M2 V	{ 0 }	(846+1)	[]	B	0	0
1201	Knae	E	0319	Tsekuegang	X5505A8-1	 	De Ni Po 	B	315	VK	K0 V M2 V	{ -3 }	(842-3)	[9211]	B	0	-192
1447	Knae	E	0319	Tsekuegang	X550000-1	 	De Di Po 		015	Wild	K0 V M2 V	{ -3 }	(800+1)	[0000]	B	0	8
1508	Knae	E	0319	Tsekuegang	X550000-1	 	De Di Po 		015	Wild	K0 V M2 V	{ -3 }	(800-2)	[0000]	B	0	-16
1900	Knae	E	0319	Tsekuegang	D550888-2	 	De Ph Po 		815	NaVa	K0 V M2 V	{ -2 }	(875-5)	[9685]	Be	0	-1400

1105	Knae	I	0324	Vounon	B510551-8	 	Ni 		902	VK	M3 V	{ 0 }	(B45-4)	[]	B	0	0
1201	Knae	I	0324	Vounon	X510000-8	 	Di 		002	VK	M3 V	{ -3 }	(B00+1)	[0000]	B	0	11
1447	Knae	I	0324	Vounon	X510000-8	 	Di 		002	Wild	M3 V	{ -3 }	(B00+1)	[0000]	B	0	11
1508	Knae	I	0324	Vounon	X510000-8	 	Di 		002	Wild	M3 V	{ -3 }	(B00+2)	[0000]	B	0	22
1900	Knae	I	0324	Vounon	E5108A9-2	 	Na Pi Ph 		202	NaVa	M3 V	{ -2 }	(976+1)	[8672]	BDe	0	378

1105	Knae	I	0325	Khaezaikue	C224447-A	 	Ni Px 		806	VK	M6 V M8 V	{ 0 }	(A31+1)	[]	B	0	0
1201	Knae	I	0325	Khaezaikue	X224000-A	 	Di Px 		006	VK	M6 V M8 V	{ -1 }	(A00-2)	[0000]	B	0	-20
1447	Knae	I	0325	Khaezaikue	X224000-A	 	Di Px 		006	Wild	M6 V M8 V	{ -1 }	(A00+1)	[0000]	B	0	10
1508	Knae	I	0325	Khaezaikue	X224000-A	 	Di 		006	Wild	M6 V M8 V	{ -1 }	(A00+1)	[0000]	B	0	10
1900	Knae	I	0325	Khaezaikue	X224457-5	 	Ni Px 		606	NaVa	M6 V M8 V	{ -3 }	(432+2)	[2163]	B	0	48

1105	Knae	M	0332	Kuevioenueng	C345457-6	 	Ni Pa 		124	Ve	F0 V M2 V	{ 0 }	(732-2)	[]	Bc	0	0
1201	Knae	M	0332	Kuevioenueng	E34518D-5	 	Lo 		624	Ve	F0 V M2 V	{ -3 }	(700+3)	[5145]	B	0	21
1447	Knae	M	0332	Kuevioenueng	E345000-5	 	Di 		024	Wild	F0 V M2 V	{ -3 }	(700+1)	[0000]	B	0	7
1508	Knae	M	0332	Kuevioenueng	E345000-5	 	Di 		024	Wild	F0 V M2 V	{ -3 }	(700-4)	[0000]	B	0	-28
1900	Knae	M	0332	Kuevioenueng	B34579A-6	 	Ag Pi 		324	NaVa	F0 V M2 V	{ 1 }	(76B+2)	[6823]	BCD	0	924

1105	Knae	M	0333	Thengoukhugh	D538A78-9	 	Hi 		800	Ve	F4 V M1 V	{ 0 }	(392+1)	[]	BE	0	0
1201	Knae	M	0333	Thengoukhugh	X538000-9	 	Di 		000	Ve	F4 V M1 V	{ -2 }	(300+2)	[0000]	B	0	6
1447	Knae	M	0333	Thengoukhugh	X538000-9	 	Di 		000	Wild	F4 V M1 V	{ -2 }	(300+1)	[0000]	B	0	3
1508	Knae	M	0333	Thengoukhugh	X538000-9	 	Di 		000	Wild	F4 V M1 V	{ -2 }	(300+3)	[0000]	B	0	9
1900	Knae	M	0333	Thengoukhugh	X538456-3	 	Ni 		500	NaVa	F4 V M1 V	{ -3 }	(330+1)	[4161]	B	0	9

1105	Knae	M	0336	Khuengzanigz	B844246-9	 	Lo 		800	Ve	F3 V	{ 0 }	(810-3)	[]	B	0	0
1201	Knae	M	0336	Khuengzanigz	D844121-5	 	Lo 		600	Ve	F3 V	{ -3 }	(800+1)	[11A4]	B	0	8
1447	Knae	M	0336	Khuengzanigz	D844000-5	 	Di 		000	Wild	F3 V	{ -3 }	(800-3)	[0000]	B	0	-24
1508	Knae	M	0336	Khuengzanigz	D844000-5	 	Di 		000	Wild	F3 V	{ -3 }	(800-2)	[0000]	B	0	-16
1900	Knae	M	0336	Khuengzanigz	A844541-B	 	Ag Ni 		500	NaVa	F3 V	{ 2 }	(847+1)	[2747]	BC	0	224

1105	Knae	M	0339	Dosaedzung	E66499D-5	 	Hi Pr 		425	Ve	K1 V M1 V	{ 0 }	(883+1)	[]	BcE	0	0
1201	Knae	M	0339	Dosaedzung	X6649DG-5	 	Hi Pr 	B	525	Ve	K1 V M1 V	{ -1 }	(889+2)	[783A]	BcE	0	1152
1447	Knae	M	0339	Dosaedzung	X6649AA-0	 	Hi Pr 		225	Wild	K1 V M1 V	{ -1 }	(889+2)	[6881]	BcE	0	1152
1508	Knae	M	0339	Dosaedzung	X6649A8-0	 	Hi Pr 		125	Wild	K1 V M1 V	{ -1 }	(885-3)	[A851]	BcE	0	-960
1900	Knae	M	0339	Dosaedzung	A664789-9	 	Ag Ri 		625	NaVa	K1 V M1 V	{ 3 }	(F6A-3)	[6A95]	BC	0	-2700

1105	Knae	M	0340	Arrggan	E671742-2	 	He Pi 		305	Ve	F8 V	{ 0 }	(867-1)	[]	BD	0	0
1201	Knae	M	0340	Arrggan	X671796-2	 	He Pi 	B	405	Ve	F8 V	{ -2 }	(866-3)	[6543]	BD	0	-864
1447	Knae	M	0340	Arrggan	X671779-0	 	He Pi 		205	Wild	F8 V	{ -2 }	(868+5)	[5554]	BD	0	1920
1508	Knae	M	0340	Arrggan	X671789-0	 	He Pi 		105	Wild	F8 V	{ -2 }	(862+2)	[B541]	BD	0	192
1900	Knae	M	0340	Arrggan	B671332-7	 	He Lo 		605	NaVa	F8 V	{ -1 }	(820+1)	[8236]	B	0	16

1105	Knae	E	0416	Aefuez	C64A87A-8	 	Ph Pi Wa 		803	VK	F5 V	{ 0 }	(C7A+1)	[]	BDe	0	0
1201	Knae	E	0416	Aefuez	X64A000-8	 	Di Pi Wa 		003	VK	F5 V	{ -3 }	(C00+2)	[0000]	BD	0	24
1447	Knae	E	0416	Aefuez	X64A000-8	 	Di Pi Wa 		003	Wild	F5 V	{ -3 }	(C00-3)	[0000]	BD	0	-36
