Hex	Name	UWP	Remarks	{ Ix }	( Ex )	[ Cx ]	N	B	Z	PBG	W	A	Stellar
0626		?841???-?	He Po Tz				-	-	-	110	C	Na	K0 V
0628		?853???-?	Po				-	-	-	822	A	Na	G6 V D
0629		?100???-?	Co Lk Sa Va				-	-	-	301	9	Na	K6 V
0630		?783???-?					-	-	-	131	C	Na	G1 V G9 V
0637		?87A???-?	Sa Wa				-	-	-	802	E	Na	K0 IV
0638		?656???-?	Ga 				-	-	-	122	D	Na	K5 V
0703	Krarr'xr!	?210???-?					-	-	-	120	B	Kk	K7 V M8 V M5 V
0704	Traak'tekal'gree	?789???-?	 				-	-	-	902	9	Kk	G8 V M7 V
0717	Nexrixkiraxoor	?623???-?	Ho Po				-	-	-	502	D	Kk	F4 V
0721	NOX!!RERO	?757???-?	Ga Ho Tr Tz				-	-	-	631	F	Kk	G9 V
0734		?000???-?	As 				-	-	-	611	B	Na	K5 III K3 V D
0735		?324???-?					-	-	-	123	E	Na	F0 V
0736		?433???-?	Lk Po Sa				-	-	-	302	9	Na	F2 V M1 V
0738		?447???-?	 				-	-	-	602	7	Na	K2 V M0 V M1 V
0740		?100???-?	Tz Va				-	-	-	422	D	Na	G9 V
0801	Uukkeer!tr'	?100???-?	Va				-	-	-	711	7	Kk	A0 V
0803	Texukir'roor	?330???-?	De Ho Lk Po Sa				-	-	-	613	H	Kk	F1 IV G7 V
0806	Rorugnaak'ktugik	?879???-?					-	-	-	500	B	Kk	K2 V M8 V
0808	Kr'hkiokagh'kii	?321???-?	He Po				-	-	-	902	E	Kk	K1 V M7 V M3 V
0813	T'xatexkonguur!'rr	?8C8???-?	Fl 				-	-	-	402	9	Kk	G3 V K7 V
0817	Ke	?641???-?	Co He Po Tz				-	-	-	532	D	Kk	K4 V
0821	Kekuungungaal	?49A???-?	Wa				-	-	-	500	8	Kk	G3 V G6 V
0822	Naa	?310???-?					-	-	-	502	9	Kk	G1 V K1 V
0827		?323???-?	Co Po				-	-	-	903	B	Na	G6 V
0828		?665???-?	Co Ga Tu				-	-	-	321	A	Na	A6 V
0830		?774???-?	 				-	-	-	320	E	Na	G3 V
0831		?241???-?	Po				-	-	-	712	9	Na	F4 V
0832		?365???-?	Tz				-	-	-	302	8	Na	M8 V D
0834		?110???-?	Ho				-	-	-	101	9	Na	F2 V
0838		?976???-?	Lk Sa				-	-	-	423	F	Na	M5 V
0904		?568???-?	Ho				-	-	-	331	8	Na	F6 V K1 V
0909	Err'ng'nukr'teerr	?8A9???-?	Fl 				-	-	-	311	B	Kk	G4 V
0910	Iignoghagneere	?9A5???-?	Co Fl 				-	-	-	101	7	Kk	F3 V
0914	At!!xot'xkee	?343???-?	Co Po				-	-	-	?31	7	Kk	G6 V
0916	K'gri	?668???-?	Lk Sa				-	-	-	501	9	Kk	F8 V
0919	Rrikaakeng	?210???-?					-	-	-	800	8	Kk	A8 V
0920	Liirrikelitixool	?160???-?	De Ho Sa				-	-	-	431	C	Kk	A0 V F7 V
0922	Iit!'kururr	?435???-?					-	-	-	112	C	Kk	F3 III F9 V K4 V K0 V
0928		?576???-?	Sa				-	-	-	101	C	Na	G5 IV M1 V D
0929		?661???-?	 				-	-	-	301	8	Na	K1 V D
0931		?320???-?	De He Po				-	-	-	433	H	Na	G8 V
0932		?25A???-?					-	-	-	430	9	Na	F0 V F7 V
0934		?858???-?	Tz				-	-	-	321	F	Na	M6 V
0937		?325???-?	Co Sa				-	-	-	601	7	Na	K1 V M9 V D
0938		?888???-?					-	-	-	421	B	Na	K1 IV
0940		?776???-?	Tz				-	-	-	633	F	Na	M1 V D
1002	Olenut	?6A6???-?	Co Fl 				-	-	-	532	C	Kk	K3 IV
1006	Ururorr	?510???-?					-	-	-	322	B	Kk	K4 V
1007	Noot	?746???-?	Co Tu				-	-	-	311	A	Kk	F7 III
1016	Xrarakr	?200???-?	Va				-	-	-	102	5	Kk	K2 V K3 V M5 V
1020	Kr!!kreel	?622???-?	He Po				-	-	-	520	E	Kk	G2 IV
1021	Kaakirrek!'l!k	?160???-?	De  				-	-	-	903	8	Kk	G7 V
1027		?375???-?					-	-	-	404	D	Na	A9 V
1028		?450???-?	Co De Po				-	-	-	421	D	Na	F2 V G6 V
1030		?560???-?	De 				-	-	-	733	D	Na	F9 V
1032		?543???-?	Po				-	-	-	402	8	Na	K2 V
1036		?6319EJ-?	Lk Po Sa				-	-	-	601	7	Na	G8 V G0 V K1 V K4 V
1039		?679???-?					-	-	-	501	9	Na	K7 V M9 V M4 V
1103	Kog	?877???-?	Lk Sa				-	-	-	301	C	Kk	K5 V D
1104	Ghakruruuk	?534???-?	Ho Sa				-	-	-	320	D	Kk	G7 V K4 V
1112	Gr'kuutareekranur	?637???-?	Co 				-	-	-	432	C	Kk	F6 V K5 V G6 V
1113	N'rraaluka	?425???-?	Co 				-	-	-	603	D	Kk	K4 V
1114	Trexaaxak!!g	?432???-?	Po Tz				-	-	-	932	8	Kk	K9 V
1131		?578???-?	Co 				-	-	-	200	9	Na	K4 V
1132		?310???-?	Ho 				-	-	-	402	C	Na	F5 V
1133		?100???-?	Va				-	-	-	310	7	Na	F2 V
1138		?677???-?	Co Lk Sa Tu				-	-	-	903	C	Na	M6 II D
1202	Kexugeer	?686???-?	Ga 				-	-	-	201	C	Kk	G4 IV
1204	Gnuxikak'	?555???-?	Ho 				-	-	-	622	D	Kk	F1 V
1205	Uru	?8A5???-?	Fl 				-	-	-	531	C	Kk	K2 V K3 V D
1206	XI'TOOTOKILUU	?647???-?	 				-	-	-	120	6	Kk	G3 V
1219	Kagikukirrir!	?362???-?					-	-	-	800	7	Kk	G7 V
1225		?300???-?	Va				-	-	-	800	7	Na	F3 V F9 V K2 V
1226		?575???-?	Ho 				-	-	-	502	E	Na	K0 III
1227		?311???-?	Co Ic Tz				-	-	-	502	9	Na	M3 V D
1228		?635???-?	Co 				-	-	-	202	7	Na	K5 V M2 V M6 V
1231		?335???-?					-	-	-	502	A	Na	G1 III
1232		?735???-?	Sa				-	-	-	600	A	Na	K8 V M6 V M0 V D
1235		?410???-?	Lk Sa				-	-	-	712	B	Na	K9 V D
1236		?6A3???-?	Co Fl 				-	-	-	202	9	Na	K0 V K9 V
1237		?310???-?	Sa				-	-	-	403	9	Na	G6 II
1238		?989???-?					-	-	-	801	5	Na	G0 IV K3 V
1301	Krurroorrok'krar!	?798???-?	Co Tz				-	-	-	920	9	Kk	K9 V
1302	Reereenguur	?598???-?	 				-	-	-	411	8	Kk	K0 V
1305	T!t	?343???-?	Po				-	-	-	502	D	Kk	F9 V
1331		?445???-?	Ho Tz				-	-	-	431	G	Na	K0 V M9 V D
1336		?354???-?	Lk Sa				-	-	-	700	8	Na	M2 V
1340		?464???-?	 				-	-	-	521	7	Na	G5 IV M1 V
1405	Rretik!!ngon	?8?2???-?	Fl He				-	-	-	?10	8	Kk	F1 V F6 V G2 V
1407	Keekoroox!gar	?647???-?					-	-	-	704	F	Kk	K4 V
1414	Ugr'naaxirr	?865???-?	Ga Lk Sa				-	-	-	312	C	Kk	M8 V
1417	Rakr'tl'	?420???-?	De He Ho  Po Sa				-	-	-	601	B	Kk	G9 V M1 V
1418	Uk	?000???-?	As				-	-	-	?24	7	Kk	F3 V
1421	Kiikaarix!rreek'	?223???-?	Po				-	-	-	700	7	KC	K2 V K9 V
1424		?755???-?	Ga 				-	-	-	602	8	Na	K5 V M0 V D
1425		?335???-?	Tz				-	-	-	602	D	Na	M9 V D
1431		?300???-?	Co Sa Va				-	-	-	600	6	Na	F4 IV K5 V
1435		?200???-?	Va				-	-	-	100	A	Na	G0 V
1437		?840???-?	Co De He Po				-	-	-	513	D	Na	G6 V
1438		?120???-?	De Po Sa				-	-	-	630	C	Na	G3 V G3 V M1 V
1440		?995???-?					-	-	-	320	C	Na	K5 V M4 V D
1501	Roorung	?665???-?	Ga Sa				-	-	-	301	9	Kk	F3 V
1504	K'k!kruraak	?6A5???-?	Co Fl Tz				-	-	-	732	A	Kk	M6 V D
1507	Kun!g'moob'	?8A3???-?	Fl Ho 				-	-	-	300	5	Kk	G1 V K5 V
1512	Munuur	?130???-?	De Po				-	-	-	201	9	Kk	F9 V
1516	Igirerr!!xi	?95A???-?	Co Wa				-	-	-	500	8	Kk	G3 V
1518	Kuxexruuk	?140???-?	De Po				-	-	-	801	8	Kk	F4 V F4 V
1519	Gkruuk	?587???-?	 				-	-	-	633	E	Kk	G4 V M9 V
1524		?495???-?					-	-	-	201	B	Na	M8 III D
1528		?467???-?					-	-	-	422	C	Na	F6 V G6 V
1537		?8A4???-?	Fl Lk Sa				-	-	-	800	7	Na	F8 V
1538		?55A???-?	Tz Wa				-	-	-	802	9	Na	F2 V
1601	K!'xruxie	?664???-?					-	-	-	512	8	Kk	K2 V D
1608	Xakrulagzupi	?FEA???-?	Oc				-	-	-	521	7	Kk	F1 V
1609	Mbukrugooghee	?677???-?	Tz				-	-	-	320	C	Kk	M0 V D
1611	Xraangeer	?746???-?	Ho Tr				-	-	-	503	A	Kk	G7 III
1623		?865???-?	Co Ga Tu				-	-	-	331	G	Na	G5 V K2 V K3 V
1634		?633???-?	Po				-	-	-	910	8	Na	F4 V D
1635		?87A???-?	Wa				-	-	-	730	A	Na	K8 V
1636		?525???-?	 				-	-	-	501	B	Na	G3 V D
1639		?537???-?	Ho 				-	-	-	700	7	Na	A6 III A4 V
1704	Ghu	?252???-?	Co Po				-	-	-	701	B	Kk	F6 V
1711	kikr'tex	?784???-?	Ho Tr				-	-	-	521	B	Kk	M3 III
1713	p'xeepukrang	?9BA???-?	Fl 				-	-	-	422	8	Kk	F8 V
1716		?256???-?	Lk Sa				-	-	-	701	6	Kk	M3 V M6 V
1717	Aaxukr'p	?453???-?	Co Po Tz				-	-	-	511	E	Kk	G2 V M4 V
1723		?669???-?	Ho 				-	-	-	520	A	Na	F6 V
1725		?7B2???-?	Fl He Tz				-	-	-	601	A	Na	M2 V
1729		?130???-?	De Po Tz				-	-	-	811	C	Na	M7 V
1732		?400???-?	Tz Va				-	-	-	500	6	Na	G3 V M2 V K0 V M7 V
1733		?150???-?	De Po				-	-	-	412	F	Na	K1 IV K1 V
1737		?259???-?	Sa				-	-	-	110	A	Na	M7 V
1738		?359???-?					-	-	-	632	D	Na	F0 V
1739		?160???-?	De Lk Sa				-	-	-	801	C	Na	K1 V
1801	KET'GN'T	?777???-?	 				-	-	-	233	E	Kk	G7 V
1805	Krakukeereegreekr'	?696???-?					-	-	-	501	9	Kk	M1 III
1812	Tuk!xk'nax!!gh	?458???-?	Tz				-	-	-	602	D	Kk	M7 V
1817	Okireekr!	?7AA???-?	Fl Sa				-	-	-	931	C	K9	G0 IV
1818	Xw'xk!!muut	?638???-?	Co 				-	-	-	103	C	K9	K3 V
1824		?675???-?					-	-	-	831	8	Na	M4 III D
1827		?444???-?	Ho Tz				-	-	-	712	C	Na	G6 V M9 V
1828		?000???-?	As Tz				-	-	-	700	7	Na	M8 V
1832		?324???-?	Tz				-	-	-	512	C	Na	F8 V G4 V
1902	HKAARUUKEX'R	?885???-?	Ga Tz				-	-	-	611	B	Kk	M3 V
1904	luur'	?655???-?	Ga Tz				-	-	-	301	9	Kk	M9 V
1907	Rurrakook!beru	?533???-?	Po				-	-	-	823	C	Kk	F5 V
1908	Gheenuk	?530???-?	Co De Lk Po Sa				-	-	-	821	B	Kk	M2 V
1914	N'XIKUK'	?641???-?	He Ho Po				-	-	-	731	C	K8	G1 V G4 V
1915	Til!r	?463???-?					-	-	-	733	F	K8	K7 V
1919	T!kitutukruk	?624???-?	Tz				-	-	-	820	C	K9	M5 V D
1923	Gikorrunaat	?587???-?					-	-	-	622	E	KC	K5 V M8 V M4 V
1924		?644???-?	Tz				-	-	-	901	6	Na	M2 V M5 V
1928		?431???-?	Po				-	-	-	332	E	Na	K5 V
1929		?576???-?	Co 				-	-	-	402	E	Na	G1 III M0 V
1931		?47A???-?	Lk Sa Wa				-	-	-	330	F	Na	M3 V D
1934		?231???-?	Na Po Sa				-	-	-	212	8	Na	F9 III
1935		?120???-?	De Po				-	-	-	701	7	Na	G9 III G4 V K0 V
1936		?300???-?	Va				-	-	-	511	F	Na	F9 V
1940		?8DA???-?					-	-	-	611	A	Na	M9 III D
2001	Krikerir	?210???-?	Tz				-	-	-	800	3	Kk	K9 V M0 V M1 V M3 V D
2002	Lek	?766???-?	Co Ga Tu				-	-	-	612	6	Kk	F2 V
2004	okengakre	?000???-?	As				-	-	-	302	D	Kk	G2 V
2011	Uu	?68A???-?	Co Tz Wa				-	-	-	521	8	Kk	M2 V
2019	T!!p!!g	?978???-?					-	-	-	601	A	K9	K2 V D
2025	R!b'xii	?9D7???-?					-	-	-	511	E	KC	G6 V
2026		?000???-?	As				-	-	-	311	9	Na	A7 III F2 V G5 V
2027		?100???-?	Ho Sa Va				-	-	-	612	9	Na	F0 V
2029		?342???-?	He Po				-	-	-	713	9	Na	F1 V G7 V K0 V
2036		?110???-?					-	-	-	101	A	Na	K4 V M5 V D
2037		?697???-?	Co Tu				-	-	-	803	D	Na	G8 V M0 V M4 V
2038		?6A4???-?	Fl Tz				-	-	-	500	6	Na	M2 V D
2104	KR'T'KIKR	?534???-?	Ho				-	-	-	701	8	Kk	K6 III K1 V
2105	Un	?AA6???-?	Fl Ho 				-	-	-	810	8	Kk	A5 IV
2106	Greriikrikukru	?9CA???-?	Co Fl 				-	-	-	510	6	Kk	G2 V K5 V M1 V
2110	Gheex!krur	?100???-?	Va				-	-	-	301	7	Kk	K1 V D
2113	Eekukuti	?621???-?	He Po				-	-	-	330	9	K8	G0 V
2114	Uk'ghoor!lir!	?666???-?	Ga Tz				-	-	-	400	7	K8	M5 V M6 V
2115	KREENGOORU	?546???-?	Lk Sa				-	-	-	404	F	K8	K3 V K1 V
2116	K!lu	?373???-?					-	-	-	800	A	K8	F2 V D
2130		?788???-?					-	-	-	122	7	Na	K7 V
2131		?500???-?	Va				-	-	-	812	D	Na	F4 III
2134		?434???-?	Lk Sa				-	-	-	102	A	Na	G2 IV M8 V K5 V
2135		?456???-?					-	-	-	631	A	Na	G8 V K9 V
2140		?248???-?	Sa				-	-	-	431	C	Na	A6 V G2 V
2204	Roo	?56A???-?	Tz Wa				-	-	-	431	9	Kk	G8 V K5 V G1 V K0 V K2 V
2205	Rarrikit!!xk	?568???-?	Co				-	-	-	723	C	Kk	K1 V M6 V D
2206	Ruuraar'lu	?332???-?	Po				-	-	-	600	7	Kk	G8 V
2208	Kungiit	?8D8???-?					-	-	-	404	D	Kk	G1 IV M8 V M7 V
2210	Kiikik'nut	?636???-?	Tz				-	-	-	?03	9	Kk	M7 V
2212	Koogr!x!	?574???-?					-	-	-	603	B	K8	F6 IV G0 V G2 V
2217	Muxeek	?766???-?	Ga Tz				-	-	-	502	9	K8	M1 V
2221	Grokriig	?CA8???-?	Fl Sa				-	-	-	511	7	KC	M3 V
2222		?100???-?	Va				-	-	-	930	D	Na	G3 V K4 V
2304	R!'l	?243???-?	Po Tz				-	-	-	430	D	Kk	M9 V
2307	Kr'gaalum!keel'r	?434???-?	Tz				-	-	-	531	F	Kk	M2 V
2310	KREEN'XKIT	?998???-?	Co Sa				-	-	-	830	B	Kk	K9 V D
2311		?630???-?	De Po				-	-	-	721	A	Na	K2 V K7 V
2319		?500???-?	Va				-	-	-	620	D	Na	K0 V M8 V M0 V
2326		?454???-?					-	-	-	613	B	Na	G3 IV D
2330		?565???-?	Co				-	-	-	232	G	Na	K2 V M9 V
2332		?485???-?					-	-	-	822	A	Na	M2 II M5 V
2334		?884???-?	Co Tu				-	-	-	633	D	Na	M4 III
2335		?422???-?	He Po				-	-	-	810	9	Na	M2 II D
2402	Ixugapukik	?495???-?	Co 				-	-	-	913	E	Kk	G0 V
2408	Gn'lerripeel'	?488???-?					-	-	-	402	9	Kk	G3 V M5 V K4 V K2 V
2413	Ex!reki	?866???-?	Ga Ho Tr Tz				-	-	-	922	C	KC	K7 V K0 V
2419		?236???-?	Lk Sa				-	-	-	402	A	Na	G8 V
2421		?210???-?	Ho Tz				-	-	-	?23	C	Na	K5 V
2427		?775???-?					-	-	-	311	9	Na	G0 V
2428		?FFA???-?	Co Oc 				-	-	-	600	7	Na	G1 IV G1 V M1 V K4 V
2432		?67A???-?	Wa				-	-	-	100	A	Na	K2 V
2439		?000???-?	As				-	-	-	633	E	Na	K1 V
2504	Rairrukung	?994???-?					-	-	-	831	C	Kk	K0 V M0 V M0 V
2505	Tekut!!g	?566???-?	Ho Tz				-	-	-	202	A	Kk	G9 V
2506	Teeratukr!r'm	?567???-?	Co  				-	-	-	302	B	Kk	K2 V M0 V
2512		?444???-?					-	-	-	231	B	Na	F0 V
2515		?895???-?	Co Tu Tz				-	-	-	433	C	Na	M2 V M8 V D
2516		?300???-?	Tz Va				-	-	-	313	F	Na	K9 V K3 V
2518		?EDA???-?	Lk Oc Sa				-	-	-	222	B	Na	M0 V M2 V D
2522		?434???-?					-	-	-	100	8	Na	K3 V
2523		?454???-?					-	-	-	434	E	Na	M9 III
2534		?437???-?					-	-	-	903	D	Na	G8 V M7 V K8 V K2 V K1 V
2540		?757???-?	Co Ga Tu				-	-	-	112	E	Na	K6 III M7 V
2604		?559???-?					-	-	-	602	E	Na	G3 V M2 V
2608		?686???-?	Co Ga Tu				-	-	-	101	C	Na	A7 III A6 V
2610		?887???-?	Ga 				-	-	-	223	B	Na	K6 V
2613		?420???-?	De He Po				-	-	-	601	C	Na	K4 V K0 V
2615		?320???-?	De He Lk Po Sa				-	-	-	203	9	Na	G3 V G1 V M1 V
2616		?635???-?					-	-	-	?01	E	Na	F7 V
2618		?335???-?	Tz				-	-	-	602	8	Na	M8 V
2619		?665???-?	Ga Sa				-	-	-	102	7	Na	G4 V
2620		?233???-?	Po Tz				-	-	-	703	E	Na	A6 V
2624		?200???-?	Co Va				-	-	-	210	C	Na	K5 V D
2628		?565???-?					-	-	-	500	8	Na	A0 V
2631		?994???-?	Tz				-	-	-	922	C	Na	M4 V M4 V
2633		?763???-?	Sa				-	-	-	331	B	Na	F9 V K9 V
2636		?654???-?	Tz				-	-	-	121	B	Na	K3 V
2638		?99A???-?	Wa				-	-	-	102	8	Na	G5 V G4 V
2640		?000???-?	As				-	-	-	?10	9	Na	K1 V M4 V
2704		?300???-?	Lk Sa Va				-	-	-	930	B	Na	F8 III
2706		?744???-?	Ho Tr				-	-	-	100	C	Na	A8 III
2708		?DC7???-?	Fl 				-	-	-	430	A	Na	K5 V
2710		?343???-?	Po				-	-	-	500	9	Na	G9 V
2711		?334???-?	Co 				-	-	-	511	9	Na	G5 V
2712		?100???-?	Va				-	-	-	623	C	Na	M0 II
2717		?575???-?	Co 				-	-	-	503	E	Na	A5 IV F7 V A8 V
2723		?633???-?	Co Po				-	-	-	431	B	Na	K0 V M4 V
2725		?425???-?	Sa				-	-	-	412	A	Na	K7 V M4 V
2730		?647???-?					-	-	-	511	D	Na	F2 V
2731		?989???-?	 				-	-	-	602	E	Na	G6 V
2735		?458???-?					-	-	-	300	9	Na	F0 V G3 V M1 V
2802		?110???-?					-	-	-	701	A	Na	K6 V
2806		?543???-?	Po				-	-	-	901	C	Na	K2 V
2809		?210???-?	Co 				-	-	-	234	F	Na	F9 IV G4 V
2812		?785???-?	Ga Tz				-	-	-	130	B	Na	K9 V M3 V
2818		?598???-?	Tz				-	-	-	500	8	Na	M7 V
2820		?610???-?					-	-	-	200	A	Na	G4 V
2822		?433???-?	Ho Po Tz				-	-	-	502	B	Na	G9 V M3 V G6 V K0 V
2823		?767???-?	Ga				-	-	-	311	F	Na	K7 V
2832		?530???-?	De Po				-	-	-	301	A	Na	G2 V G3 V G4 V
2901		?846???-?	 				-	-	-	510	8	Na	G2 IV M9 V
2902		?120???-?	De Ho Po				-	-	-	710	9	Na	F7 V G2 V G3 V
2906		?000???-?	As				-	-	-	300	5	Na	F8 III
2908		?643???-?	Co Po Tu Tz				-	-	-	530	7	Na	K9 V
2909		?568???-?	Tz				-	-	-	500	9	Na	K2 V M7 V M6 V D
2910		?532???-?	Ho Po				-	-	-	833	H	Na	G2 III M6 V
2913		?720???-?	De He Lk Po Sa				-	-	-	400	9	Na	G8 V
2918		?764???-?	Sa				-	-	-	221	E	Na	K5 V
2919		?769???-?					-	-	-	801	9	Na	G4 V
2926		?99A???-?	Co Wa				-	-	-	522	A	Na	A3 IV
2927		?610???-?					-	-	-	?02	9	Na	K7 V K8 V
2928		?79A???-?	Tz Wa				-	-	-	803	A	Na	K8 V M8 V
2929		?748???-?	Co Sa				-	-	-	301	9	Na	G1 IV
2931		?444???-?	Tz				-	-	-	200	7	Na	M1 II
2938		?224???-?	Ho 				-	-	-	400	7	Na	F2 V
2939		?400???-?	Va				-	-	-	401	A	Na	K8 V K5 V K7 V
3004		?656???-?	Ga Ho Tr				-	-	-	603	9	Na	G4 V M3 V
3005		?521???-?	He Lk Po Sa				-	-	-	401	8	Na	M2 V M2 V M0 V
3009		?267???-?	Co 				-	-	-	430	8	Na	M1 III D
3016		?977???-?	Sa				-	-	-	232	D	Na	M6 II
3023		?120???-?	De Po Sa				-	-	-	302	7	Na	M0 V D
3024		?688???-?	Ho 				-	-	-	301	C	Na	F7 V F7 V
3025		?100???-?	Co Tz Va				-	-	-	721	E	Na	K9 V D
3026		?765???-?	Ga 				-	-	-	601	8	Na	F2 III F3 V
3029		?454???-?	Co Tz				-	-	-	213	A	Na	K7 V
3031		?8A4???-?	Fl Ho				-	-	-	?23	A	Na	A3 III
3032		?300???-?	Va				-	-	-	711	B	Na	G0 V K0 V
3036		?342???-?	He Po				-	-	-	904	C	Na	F2 V
3037		?66A???-?	Wa				-	-	-	203	B	Na	G8 V M5 V G1 V
3102		?430???-?	De				-	-	-	801	8	Na	G2 IV
3105		?625???-?	 				-	-	-	902	7	Na	G5 V K5 V M7 V K6 V
3108		?200???-?	Lk Sa Va				-	-	-	501	A	Na	G6 V
3114		?232???-?	Po Sa				-	-	-	523	F	Na	F6 V K5 V F9 V
3129		?535???-?					-	-	-	801	B	Na	G2 V M5 V
3133		?310???-?					-	-	-	631	9	Na	F5 V
3140		?640???-?	De He Po				-	-	-	504	F	Na	G2 V
3201		?676???-?	Sa				-	-	-	704	9	Na	G9 V K9 V
3202		?645???-?	Co Tu Tz				-	-	-	512	8	Na	M1 II M7 V D
3203		?865???-?	Co Ga Lk Sa Tu				-	-	-	700	D	Na	K4 IV M1 V M8 V
3204		?423???-?	Ho Po				-	-	-	921	D	Na	A6 III
3206		?686???-?	Ga 				-	-	-	621	D	Na	K6 V
3207		?540???-?	De Po				-	-	-	?12	8	Na	K3 V D
3209		?566???-?	Sa				-	-	-	201	8	Na	F5 V
3215		?300???-?	Va				-	-	-	601	8	Na	G8 V
