Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
3114	Gengye	B510106-8	Lo Lk	{ -1 }	( A00+3 )	[ 419A ]	-	-	-	700	9	HvFd	G9 V
3119	Ehpou	E520106-3	De He Lo Po Tz	{ -3 }	( 700+4 )	[ 2165 ]	-	-	-	402	9	HvFd	M8 V
0123	391-809	E100000-0	Va Ba Tz	{ -3 }	( 700-5 )	[ 0000 ]	-	-	-	034	16	NaXX	M4 V
0221	Jaspas	C754345-6	Lo	{ -2 }	( 320-1 )	[ 711B ]	-	-	-	911	10	NaHu	G2 V F7 V
0325	Lermontov	C9DA698-9	Fl Ni Tz	{ -1 }	( B50+0 )	[ 753A ]	-	-	-	401	5	NaHu	M1 V M0 V
0326	Aelita	X510133-7	Lo Sa	{ -3 }	( A00+0 )	[ 1128 ]	-	-	-	112	11	NaHu	G7 V
0421	Balthazar	A8888BG-C	Ga Ph Pa Ri Fo	{ 3 }	( A79+4 )	[ 5B5B ]	-	M	R	813	13	NaHu	G6 V
0422	Melichior	C646454-6	Ni Pa	{ -2 }	( B31+0 )	[ 5225 ]	-	-	-	501	7	NaHu	K2 V F7 V
0427	Ophir	B766AB9-B	Ga Hi Tu Pz	{ 3 }	( 895+4 )	[ 8D8D ]	-	-	A	204	16	NaHu	F0 V
0527	Rubezahl	CA9A452-8	Wa Oc Ni Co	{ -2 }	( 731-4 )	[ 128A ]	-	-	-	120	7	NaHu	K2 V
1025	Flocon	C100344-9	Va Lo Co Lk	{ -1 }	( D20+0 )	[ 1287 ]	-	-	-	102	9	NaHu	M1 V
1027	Dammerung	D410477-6	Ni Co Tz	{ -3 }	( 630-1 )	[ 8166 ]	-	-	-	824	14	NaHu	M0 V K3 V
1121	Oojaa	B400104-7	Va Lo Co Tz	{ -1 }	( 700-1 )	[ 1143 ]	-	K	-	113	12	HvFd	M7 V M8 V
1326	Rea	B410106-A	Lo Co	{ 1 }	( F01+1 )	[ 2236 ]	-	K	-	333	17	HvFd	M1 II
1526	Baax	C669876-A	Ph Ri	{ 2 }	( 97C+2 )	[ BA65 ]	-	-	-	801	7	HvFd	K4 V
1623	Gyuu	X8A7632-3	Fl Ni (minor) Da	{ -3 }	( A50+0 )	[ 83A1 ]	-	-	A	102	10	HvFd	G0 V
1624	Ohcii	A68A522-B	Wa Ni Pr Fr	{ 1 }	( 843-2 )	[ 567C ]	-	-	-	231	8	HvFd	M5 V
1628	Saak	B730201-7	De Lo Po Co Tz	{ -1 }	( 710-5 )	[ 1186 ]	-	-	-	102	13	HvFd	M6 V
1722	Yefaa	B410411-9	Ni Tz	{ 0 }	( 735+0 )	[ 8497 ]	-	-	-	700	7	HvFd	M0 V
1725	Zojaa	B967871-9	Ph Pa Ri Tr	{ 2 }	( D7B+0 )	[ CA5A ]	-	-	-	913	9	HvFd	G6 V
1727	Yoteagaa	B656406-9	Ga Ni Pa Tr	{ 0 }	( D34+0 )	[ 4465 ]	-	-	-	223	15	HvFd	G2 V
1821	Fehaa	B310824-B	Ph Na Pi Tz	{ 2 }	( 670-5 )	[ AA1E ]	-	K	-	320	13	HvFd	M2 V
1822	Cold World	B575531-C	Ni Ag Co	{ 2 }	( B45-1 )	[ 671D ]	-	K	-	912	16	HvFd	F6 V
1823	Gyee	D100216-7	Va Lo	{ -3 }	( A10+0 )	[ 3143 ]	-	-	-	302	5	HvFd	K3 V M4 V
1827	Wee	B4A4544-B	Fl Ni Tz	{ 1 }	( 946-1 )	[ 764B ]	-	-	-	334	16	HvFd	M0 V G4 V K2 V K9 V
1921	Fee	A400105-A	Va Lo Co	{ 1 }	( A01-5 )	[ 229A ]	-	-	-	913	11	HvFd	K8 V M9 V
1922	Gaah	B310102-7	Lo Co Tz Fo	{ -1 }	( 500-5 )	[ 1106 ]	-	-	R	613	13	HvFd	M8 V
2025	Nahoh	CAB9204-4	Fl Lo Sa	{ -2 }	( 810+2 )	[ 1144 ]	-	-	-	701	11	HvFd	M1 V
2121	Eaaaf	C300214-6	Va Lo	{ -2 }	( 310+3 )	[ 5111 ]	-	-	-	602	7	HvFd	G6 V
2122	Tyoeh	C654405-A	Ni Pa	{ 0 }	( 834-1 )	[ 146E ]	-	-	-	222	9	HvFd	F6 V
2123	Eeg	B630265-6	De Lo Po (minor) O:1821 Da	{ -1 }	( 611+5 )	[ 1154 ]	-	-	A	112	9	HvFd	A2 V
2124	Seh	D100302-3	Va Lo	{ -3 }	( 720+4 )	[ 5181 ]	-	-	-	312	12	HvFd	K6 V F0 V
2129	Phyeaa	C667875-C	Ga Ph Pa Ri Tr Tz	{ 2 }	( 874+0 )	[ 7A7D ]	-	-	-	101	9	HvFd	K8 V M9 V
2225	Tez	B544506-9	Ni Ag	{ 1 }	( E47-3 )	[ 163C ]	-	-	-	131	10	HvFd	G8 V
2321	Xea	B845462-7	Ni Pa HumaW Mr	{ -1 }	( 932-3 )	[ 7388 ]	-	K	-	931	15	HvFd	G5 V
2324	Ahvea	E100104-4	Va Lo Tz	{ -3 }	( 600+1 )	[ 1153 ]	-	-	-	413	13	HvFd	M5 V
2325	Roifa	C585413-7	Ni Pa Co Tz	{ -2 }	( 632-2 )	[ 3256 ]	-	-	-	521	8	HvFd	M8 V M4 V
2425	Ezi	D300101-3	Va Lo Co Tz	{ -3 }	( 400+0 )	[ 1154 ]	-	-	-	201	4	HvFd	M3 V K6 V
2527	Vyah	B000204-A	As Va Lo	{ 1 }	( 711+3 )	[ 5355 ]	-	-	-	100	8	HvFd	B7 IV
2721	Duu	A4A7206-8	Fl Lo Co	{ -1 }	( C10-2 )	[ 116D ]	-	E	-	134	15	HvFd	A2 V
2727	Siyza	B542204-A	He Lo Po Ho Sa	{ 1 }	( E11-1 )	[ 2398 ]	-	-	-	822	14	HvFd	G2 V
2728	Eangea	B310212-6	Lo Tz	{ -1 }	( B10+0 )	[ 2194 ]	-	K	-	402	7	HvFd	M4 V
2823	Ochzyu	C4A4666-5	Fl Ni Lk (minor) O:2519 Da	{ -2 }	( 651+0 )	[ 5454 ]	-	-	A	102	10	HvFd	K8 V M9 V
2830	Dohj	D410404-6	Ni	{ -3 }	( 632+5 )	[ 511B ]	-	-	-	402	9	HvFd	G3 V
2924	Yeeng	E500000-0	Va Ba	{ -3 }	( 900-5 )	[ 0000 ]	-	-	-	002	12	HvFd	M4 V
2927	Cuulyang	C410205-4	Lo Co Tz	{ -2 }	( 710+2 )	[ 2136 ]	-	-	-	121	13	HvFd	M1 V
3024	Geyipyy	C100403-8	Va Ni Ho Tz	{ -2 }	( 930+0 )	[ 6236 ]	-	-	-	202	10	HvFd	K6 V M3 V
3025	Vyah	C9A4434-9	Fl Ni	{ -1 }	( 834+2 )	[ 735A ]	-	E	-	202	9	HvFd	F8 V
3130	Gozehk	C542201-5	He Lo Po Co	{ -2 }	( A10-5 )	[ 6128 ]	-	-	-	303	11	HvFd	G0 V
0139	Epsilon Leporis	C300579-9	Va Ni	{ -1 }	( 841-2 )	[ 8428 ]	-	K	-	411	11	NaHu	K4 III
0239	727-694	X410000-0	Ba	{ -3 }	( 900-5 )	[ 0000 ]	-	-	-	003	10	NaXX	A1 V G8 V
0332	Spangel	X200122-9	Va Lo Tz	{ -2 }	( B00+1 )	[ 1128 ]	-	-	-	833	16	NaHu	M1 V M6 V
0338	Constance	C999668-7	Ni O:0639	{ -1 }	( 950-1 )	[ A557 ]	-	KM	-	512	8	NaHu	F1 V K2 V
0432	Jerico	B56999B-A	Hi Pr Co Pz	{ 4 }	( 58A+4 )	[ BD5D ]	-	KM	A	502	7	NaHu	F2 V M8 V
0539	Balor	C100330-9	Va Lo	{ -1 }	( E20+2 )	[ 324A ]	-	K	-	421	14	NaHu	M0 V
0540	Secora	E310145-9	Lo Tz	{ -2 }	( F00+3 )	[ 5168 ]	-	-	-	813	16	NaHu	M5 V K7 V
0639	Fuyu	B756999-C	Ga Hi Tu Sa	{ 3 }	( F8C+0 )	[ 7C4D ]	-	-	-	204	13	NaHu	G0 V
0831	Kalt	B750959-C	De Hi Po Co Lk	{ 3 }	( 987+2 )	[ 8C59 ]	-	-	-	212	12	NaHu	M8 V
1140	518-736	X310000-0	Ba Tz	{ -3 }	( 900-5 )	[ 0000 ]	-	-	-	002	10	NaXX	M0 V M0 V
1231	491-465	E675000-0	Ba	{ -3 }	( 600-5 )	[ 0000 ]	-	-	-	021	14	NaXX	G0 V
1440	Moxi	C300320-A	Va Lo Lk	{ 0 }	( 920+0 )	[ 836C ]	-	K	-	412	6	NaHu	K8 V M1 V
1539	Brenna	B9D9779-A	Fl Co	{ 2 }	( G6C+1 )	[ 5917 ]	-	-	-	514	13	NaHu	G1 V
1636	Slough	X8DA448-A	Fl Ni Tz	{ -1 }	( E30-1 )	[ 23AE ]	-	-	-	511	5	NaHu	M9 V
1836	Amber	A9679DF-7	Hi Pr Fo	{ 1 }	( 886+2 )	[ 5A78 ]	-	-	R	902	11	NaHu	F1 V M3 V
1837	Welter	D3A8767-5	Fl Tz O:2032	{ -2 }	( 667+2 )	[ 4565 ]	-	-	-	231	13	NaHu	M9 V
1839	Magda Prime	C555674-6	Ni Ag	{ -1 }	( B51+5 )	[ A548 ]	-	-	-	102	9	NaHu	G7 V M8 V
1840	Molle	C854387-5	Lo	{ -1 }	( B20+4 )	[ 6246 ]	-	KM	-	512	9	NaHu	K7 V G1 V
2032	Oryx	A8A3778-C	Fl	{ 2 }	( 96B+1 )	[ 594F ]	-	-	-	103	11	NaHu	F4 V
2033	Ninoiphl	E310127-9	Lo Sa	{ -2 }	( 500-2 )	[ 2176 ]	-	-	-	230	11	NaHu	K0 V
2035	Genoga	E99A324-9	Wa Lo Tz	{ -2 }	( B20-4 )	[ 213A ]	-	-	-	222	8	NaHu	M4 V A6 V
2039	Andromache	E685552-4	Ga Ni Ag Pr	{ -2 }	( A44+0 )	[ 6351 ]	-	-	-	321	7	NaHu	K7 V
