Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	W	Allegiance	Stars
0140	Four Corners	ACB2741-9	Fl He	{+1}	(C67-3)	[886A]	B	N	-	105	8	Im	G5 V
0202	Wakata	CDB2586-6	Fl Ni Px	{-2}	(A41+1)	[6334]	B	-	-	201	2	Im	K5 V K5 V
0203	Tultepec	ADB5C8C-F	Fl Hi In	{+4}	(ABF+1)	[FF2F]	fEB	N	-	705	8	Im	K5 V
0207	Nijar	C20068C-A	Va Ni Na	{+0}	(C55-4)	[968D]	B	-	-	207	11	Im	M5 V M5 V
0217	Zhujiezhen	C200476-9	Va Ni	{-1}	(E30-4)	[735B]	B	S	-	506	10	Im	M5 V M5 V
0219	River Falls	B200644-B	Va Ni Na	{+1}	(F53+1)	[175C]	B	S	-	806	7	Im	M5 V
0223	Hayward	D6A2499-6	Fl He Ni Px	{-3}	(330+2)	[7116]	B	-	-	703	8	Im	G5 V
0224	North Dumfries	C200200-C	Va Lo	{+0}	(D10+1)	[126C]	B	-	-	307	7	Im	D
0233	Gagarin	CAB4521-7	Fl Ni	{-2}	(844+1)	[333B]	B	-	-	104	8	Im	K5 V
0235	Kalach	B6A2744-B	Fl He	{+2}	(B67+2)	[598E]	B	N	-	312	13	Im	A5 V A5 V
0236	Coccaglio	C200565-A	Va Ni	{+0}	(843+1)	[452B]	B	-	-	305	6	Im	M5 V
0238	Depardieu	A6A3886-C	Fl Ph	{+2}	(C7E+1)	[6A7A]	eB	-	-	913	8	Im	K0 V
0301	Ashford	B8A289B-A	Fl He Ph	{+3}	(D7C+3)	[BB4A]	eB	NS	-	205	10	Im	M0 V D
0303	Bad Konig	C200564-B	Va Ni	{+0}	(F41+1)	[556B]	B	-	-	305	7	Im	M0 V
0312	Bela Cruz	C964258-5	Lo	{-2}	(710-3)	[412A]	B	-	-	504	8	Im	G5 V
0313	Makarov	C410225-B	Lo	{+0}	(810-1)	[22AA]	B	-	-	700	8	Im	M0 III
0316	Schuchardt	CCB7259-8	Fl Lo	{-2}	(B10-4)	[1167]	B	S	-	104	8	Im	K5 V
0319	Settimo San Pietro	A300875-A	Va Ph Na Pi	{+2}	(E76-4)	[8A4D]	eDB	N	-	907	8	Im	D
0326	Mississauga	C000543-9	As Va Ni	{-1}	(F41+1)	[3479]	B	-	-	813	9	Im	G0 V
0332	Yataro	C510322-A	Lo	{+0}	(820+3)	[3348]	B	-	-	103	8	Im	M0 V
0334	Fragagnano	C200769-A	Va Na Pi	{+1}	(765+4)	[785E]	DB	S	-	805	8	Im	M0 V
0336	Lemoore Station	E6A7477-8	Fl Ni	{-3}	(C30-3)	[411A]	B	-	-	902	9	Im	F0 V
0339	Garson	B200758-A	Va Na Pi	{+2}	(D67+2)	[498C]	DB	-	-	904	8	Im	K5 V
0340	Santa Maria da Ser	B200CBC-C	Va Hi Na In	{+4}	(DBB+1)	[CF4A]	fEB	-	-	607	7	Im	D
0401	Anyuan	C000542-7	As Va Ni	{-2}	(943-4)	[8337]	B	-	-	916	7	Im	D
0405	Bannockburn	A2009B8-D	Va Hi Na In	{+5}	(E8E+1)	[CE3D]	fEB	NS	-	606	13	Im	M0 V M5 V M5 V
0408	Thonon-les-Bains	D200466-7	Va Ni	{-3}	(930+2)	[7116]	B	S	-	522	6	Im	M5 V
0411	Narukospa	C956351-8	Lo	{-2}	(A20+1)	[7148]	B	-	-	304	8	Im	G5 V
0413	Magangue	C7A6510-7	Fl Ni	{-2}	(943+3)	[5322]	B	S	-	303	7	Im	M0 V
0415	Mambusao	B6A5653-9	Fl Ni	{+0}	(F55-1)	[2615]	B	S	-	824	8	Im	G5 V
0418	Batalden	B6A767A-A	Fl Ni	{+1}	(B54+2)	[5769]	B	-	-	113	7	Im	K5 V
0419	Wandsworth	B7A0886-B	He Ph	{+2}	(B77+2)	[8A6E]	eB	-	-	202	8	Im	G0 V
0423	Allentown	A200878-E	Va Ph Na Pi	{+2}	(E79+1)	[7A8F]	eDB	N	-	904	6	Im	M5 V
0427	Aviles	C000212-8	As Va Lo	{-2}	(710-4)	[314C]	B	S	-	822	8	Im	K0 V
0428	Elena	B8A3652-B	Fl Ni	{+1}	(B57-2)	[174F]	B	-	-	702	4	Im	M5 V M5 V
0432	Cigales	C200541-6	Va Ni	{-2}	(241-2)	[4383]	B	-	-	705	7	Im	M5 V
0438	Innsbruck	C200116-A	Va Lo	{+0}	(B00+2)	[114E]	B	-	-	705	7	Im	M0 V
0439	Nogales	C200355-8	Va Lo	{-2}	(920+3)	[2148]	B	S	-	514	8	Im	M0 V
0440	Bloomingdale	C00025A-8	As Va Lo	{-2}	(C10-4)	[114B]	B	S	-	714	8	Im	G5 V
0501	Simohiro	C200376-6	Va Lo	{-2}	(720-5)	[1158]	B	S	-	703	7	Im	M0 V
0509	Coventry	DAB3444-6	Fl Ni	{-3}	(730+2)	[7117]	B	S	-	503	7	Im	M0 V
0510	Bashi	CAB0000-0	He Ba	{-2}	(600+2)	[0000]	B	-	-	003	8	Im	G0 V
0514	Rizhao	C200300-C	Va Lo	{+0}	(C20-1)	[3349]	B	S	-	105	6	Im	M5 V
0517	Gomez Farias	DCB5445-3	Fl Ni	{-3}	(730-4)	[8161]	B	-	-	315	11	Im	K5 V M5 V
0518	Mahdalynivka	C300378-9	Va Lo	{-1}	(F20+1)	[5258]	B	S	-	506	8	Im	D
0525	Victoria	C200220-A	Va Lo	{+0}	(C10-2)	[627A]	B	S	-	416	10	Im	F0 V M5 V
0537	Manati	B200763-8	Va Na Pi	{+0}	(B63+2)	[5729]	DB	-	-	606	7	Im	D
0538	Yucheng	C8B4551-9	Fl Ni	{-1}	(C42+4)	[2419]	B	S	-	804	8	Im	K5 V
0539	Ilomantsi	C200210-8	Va Lo	{-2}	(F10+2)	[516A]	B	S	-	116	10	Im	M5 V M5 V
0540	Palmyra	D4A1355-A	Fl He Lo	{-1}	(C20-3)	[5269]	B	-	-	405	6	Im	M5 V
0604	Chantdugros	C8A7405-7	Fl Ni	{-2}	(430-1)	[4247]	B	S	-	714	7	Im	M0 V
0607	Seeligeria	D9A9446-7	Fl Ni	{-3}	(730+1)	[2197]	B	-	-	304	8	Im	K0 V
0614	Gunlod	E5A0248-7	He Lo	{-3}	(A10-5)	[417A]	B	-	-	706	7	Im	D
0616	Eastwood	B20078A-A	Va Na Pi	{+2}	(F69-1)	[991A]	DB	-	-	816	11	Im	M5 V M5 V
0620	Corby	CBB2488-9	Fl He Ni Px	{-1}	(C32+2)	[437B]	B	S	-	603	8	Im	K0 V
0621	Sagarejo	D6A3242-3	Fl Lo	{-3}	(C10+1)	[1136]	B	S	-	704	8	Im	K5 V
0625	Reginopolis	D200468-6	Va Ni	{-3}	(730+4)	[4126]	B	-	-	304	10	Im	M0 V M5 V
0627	Hess	A200AED-F	Va Hi Na In	{+4}	(F9D+5)	[8E6F]	fEB	N	A	106	8	Im	M0 V
0630	Dengzhou	C882535-4	Ni Pr	{-2}	(843-3)	[2384]	cB	S	-	703	9	Im	F5 V
0634	Wyandanch	C200478-6	Va Ni	{-2}	(530+3)	[6245]	B	S	-	604	6	Im	M5 V
0635	Roermond	A8A69DF-D	Fl Hi In	{+4}	(E8A+1)	[6D7A]	fEB	N	A	414	8	Im	G0 V
0638	Lubin	B7A37A8-7	Fl	{+0}	(A69+2)	[7725]	B	S	-	703	9	Im	F5 V
0701	Elmwood	D8A648A-7	Fl Ni	{-3}	(330+1)	[1178]	B	S	-	612	10	Im	M0 V M5 V
0703	Efrosia	D9A1100-9	Fl He Lo	{-2}	(800-4)	[112A]	B	S	-	513	8	Im	G5 V
0707	Dover	A100677-F	Va Ni Na	{+1}	(F54+2)	[B74F]	B	-	-	106	7	Im	D
0708	Gabe	B8A2867-B	Fl He Ph	{+2}	(C7B-2)	[4A7E]	eB	-	-	103	8	Im	G0 V
0711	Ang Thong	E200369-4	Va Lo	{-3}	(820+1)	[5135]	B	-	-	524	9	Im	F5 V
0714	Ashleyess	C200230-6	Va Lo	{-2}	(710-4)	[1114]	B	S	-	605	6	Im	M5 V
0717	Nelson	D7A2477-4	Fl He Ni Px	{-3}	(A31+4)	[6148]	B	-	-	704	8	Im	G5 V
0718	San	A20089B-B	Va Ph Na Pi	{+2}	(B76+3)	[CA3B]	eDB	-	-	106	8	Im	M0 V
0719	Nizhnij	B5B087B-A	He Ph	{+2}	(C75+1)	[3A7E]	eB	-	-	105	8	Im	K5 V
0722	Brilon	EBB7200-4	Fl Lo	{-3}	(810-1)	[2143]	B	-	-	605	7	Im	K5 V
0724	Gertrudolf	CCB6378-5	Fl Lo	{-2}	(820-1)	[7185]	B	S	-	803	8	Im	K5 V
0726	Cassilandia	B200698-9	Va Ni Na	{+0}	(B55-4)	[A657]	B	-	-	303	6	Im	M5 V
0731	Verdello	D7B3365-5	Fl Lo	{-3}	(320+5)	[3133]	B	S	-	812	9	Im	F0 V
0739	William	C5B7575-5	Fl Ni	{-2}	(842+1)	[5395]	B	-	-	905	8	Im	G5 V
0740	Aomori	C4A1302-9	Fl He Lo	{-1}	(D20+1)	[421A]	B	-	-	715	8	Im	M0 V
0804	Marlton	A650687-8	De Ni Po	{-1}	(A53-2)	[4519]	B	-	-	903	9	Im	F0 V
0807	Sheridan	B200651-D	Va Ni Na	{+1}	(C53-2)	[376C]	B	-	-	707	7	Im	D
0808	Graetz	A20079A-E	Va Na Pi	{+2}	(F68+4)	[797F]	DB	N	-	304	7	Im	M5 V
0815	Wuding	A10089B-C	Va Ph Na Pi	{+2}	(F7A+2)	[AA9D]	eDB	N	-	307	11	Im	M5 V M5 V
0825	Kravtsov	E000568-9	As Va Ni	{-2}	(841-1)	[6326]	B	-	-	214	8	Im	K0 V
0828	Gyangze	E200332-6	Va Lo	{-3}	(520+3)	[1157]	B	-	-	305	8	Im	M0 V
0830	Balam	E200573-6	Va Ni	{-3}	(542-1)	[3236]	B	-	-	919	12	Im	M0 V D
0833	Botricello	B2007A8-B	Va Na Pi	{+2}	(E6C+5)	[4938]	DB	-	-	314	7	Im	M0 V
0836	Jimma	C200456-A	Va Ni	{+0}	(D36+1)	[145A]	B	-	-	704	6	Im	M5 V
0839	Altenburg	B200798-8	Va Na Pi	{+0}	(F64+2)	[6776]	DB	N	-	507	8	Im	D
0840	Dianepark	B6B1776-A	Fl He	{+2}	(E6B+3)	[895D]	B	S	-	305	6	Im	M5 V
0905	Sahel	C200365-7	Va Lo	{-2}	(920+1)	[517B]	B	-	-	705	8	Im	M0 V
0909	Atsushimori	E8A3201-5	Fl Lo	{-3}	(710+1)	[3168]	B	-	-	904	7	Im	K5 V
0911	Kehychivka	BCB4788-B	Fl	{+2}	(D67+1)	[6988]	B	-	-	413	9	Im	F0 V
0916	Golant	C884503-9	Ni Ag Pr	{+0}	(A43-4)	[5556]	CcB	S	-	112	10	Im	A0 V
0917	Sancti Spiritus	C776357-9	Lo	{-1}	(B20-1)	[5236]	B	S	-	414	9	Im	G0 V
0918	Orem	C200566-8	Va Ni	{-2}	(741+1)	[3354]	B	-	-	204	7	Im	D
0924	San Francisco	E200132-5	Va Lo	{-3}	(600-3)	[1116]	B	-	-	704	7	Im	M0 V
0925	Calpulalpan	C8A7877-9	Fl Ph	{+0}	(975+5)	[9878]	eB	S	-	400	4	Im	G5 V G5 V
0926	La Libertad	X000000-0	As Va Ba	{-3}	(A00-1)	[0000]	B	-	R	023	8	Im	G0 V
0934	Megumi	C200486-B	Va Ni	{+0}	(A31+1)	[441A]	B	-	-	115	8	Im	M0 V
0935	Jesus Nazareno	B2006A8-C	Va Ni Na	{+1}	(D54+4)	[276F]	B	-	-	605	6	Im	M5 V
0936	Stakhanov	C7A258A-A	Fl He Ni	{+0}	(A42-3)	[1585]	B	S	-	310	8	Im	K0 III
0939	Alexander Bay	C20037B-8	Va Lo	{-2}	(620+1)	[3188]	B	-	-	503	6	Im	M5 V
1003	Wombwell	C200520-7	Va Ni	{-2}	(740+1)	[5333]	B	-	-	504	6	Im	M5 V
1004	Insuratei	B6A0648-9	He Ni	{+0}	(951+1)	[8619]	B	S	-	313	8	Im	K0 V
1009	Pea Ridge	BAA379B-8	Fl	{+0}	(768-4)	[A729]	B	N	-	714	8	Im	G5 V
1015	Komaki	C200240-6	Va Lo	{-2}	(510+1)	[1185]	B	-	-	805	8	Im	M0 V
1017	Wuminchun	B000667-D	As Va Ni Na	{+2}	(A57-1)	[5849]	B	NS	-	412	9	Im	A5 V
1018	Tracyton	B200776-8	Va Na Pi	{+0}	(A69-2)	[871C]	DB	-	-	905	8	Im	M0 V
1021	Treze Tilias	E200337-8	Va Lo	{-3}	(B20+5)	[2187]	B	-	-	104	8	Im	K5 V M5 V
1022	Sanlucar de Barram	B200676-A	Va Ni Na	{+1}	(E57-2)	[774C]	B	N	-	405	10	Im	M0 V M5 V
1028	Hutchinson	D6A5556-6	Fl Ni Px	{-3}	(B42-2)	[7284]	B	-	-	108	9	Im	D D D
1030	Lachat	E200401-A	Va Ni	{-1}	(C34+1)	[1318]	B	-	-	605	7	Im	M0 V
1031	Bandar Lampung	AAB17A9-D	Fl He	{+2}	(767+1)	[796E]	B	N	-	604	9	Im	F0 V
1033	El Cerrito	C8A5300-6	Fl Lo	{-2}	(320-2)	[4114]	B	-	-	403	9	Im	F5 V
1035	Princeton	C5A0300-9	He Lo	{-1}	(620-2)	[4257]	B	-	-	913	8	Im	K0 V
1036	Lerdo de Tejada	D200321-6	Va Lo	{-3}	(820+2)	[4149]	B	-	-	714	7	Im	M0 V
1039	Onderlick	B2007CC-C	Va Na Pi	{+2}	(E69+2)	[896C]	DB	-	-	704	6	Im	M5 V
1103	Huazhou	C8A749B-6	Fl Ni	{-2}	(730+3)	[8281]	B	-	-	402	9	Im	F0 III
1106	Kuala Belait	E775257-6	Lo	{-3}	(C10-4)	[4112]	B	-	-	501	9	Im	F0 V
1107	Royal Leamington S	AAB1CFF-E	Fl He Hi In	{+4}	(9BE+5)	[EF6A]	fEB	-	A	304	12	Im	G0 V M5 V
1110	Kalvarija	C200533-6	Va Ni	{-2}	(340-2)	[6334]	B	S	-	403	12	Im	F0 V G5 V
1112	Acquaviva	C200432-6	Va Ni	{-2}	(931-2)	[621A]	B	S	-	807	11	Im	M5 V M5 V
1113	San Diego	C200723-9	Va Na Pi	{+0}	(B67-4)	[973A]	DB	-	-	305	12	Im	G0 V G5 V
1115	Braunstone	C781720-4	Ri	{+0}	(96C+3)	[A786]	CB	-	-	602	9	Im	F5 V
1116	Himeji	BCB3669-A	Fl Ni Px	{+1}	(854+1)	[4797]	B	S	-	205	8	Im	K0 V
1117	Tunguskhaya	EBB3252-6	Fl Lo	{-3}	(510+5)	[1164]	B	-	-	902	7	Im	K5 V
1118	Maringa	C200467-A	Va Ni	{+0}	(935-2)	[145A]	B	-	-	605	8	Im	M0 V
1120	Panthos	C7A0657-9	He Ni	{-1}	(A52-4)	[7536]	B	-	-	503	8	Im	K0 V
1121	Laetitia	D200110-4	Va Lo	{-3}	(700-1)	[5111]	B	-	-	115	7	Im	M5 V
1126	Murnau am Staffels	E200000-0	Va Ba	{-3}	(900-1)	[0000]	B	-	-	014	6	Im	M5 V
1130	Pharr	E9A6420-4	Fl Ni	{-3}	(731-4)	[3116]	B	-	-	513	9	Im	F5 V
1136	Seijin	A5A099C-A	He Hi In	{+4}	(88E-2)	[5D5A]	fEB	S	-	621	6	Im	M5 V
1137	Matinhos	DAB4342-8	Fl Lo	{-3}	(720+4)	[7139]	B	-	-	603	7	Im	K5 V
1140	Lynwood	C653522-9	Ni Po	{-1}	(F41+1)	[4458]	B	-	-	314	10	Im	G0 V M5 V
1206	Cesky Tesin	C655565-8	Ga Ni Ag	{-1}	(644+2)	[8488]	CB	S	-	102	9	Im	A5 V
1212	Lusitania	E200343-9	Va Lo	{-2}	(F20+2)	[115A]	B	-	-	417	8	Im	D
1214	Le Gentil	C200555-B	Va Ni	{+0}	(A44+2)	[253E]	B	-	-	806	11	Im	M5 V M5 V
1217	Mozzecane	E200000-0	Va Ba	{-3}	(900-5)	[0000]	B	-	-	004	9	Im	F5 V M5 V
1218	Pleasant Hill	B2009EF-A	Va Hi Na In	{+5}	(F8E-2)	[6E6A]	fEB	NS	A	707	7	Im	D
1220	Hardheim	B200767-8	Va Na Pi	{+0}	(F66-1)	[574C]	DB	-	-	905	6	Im	M5 V
1223	Aisai	C200578-7	Va Ni	{-2}	(740+1)	[6375]	B	-	-	105	8	Im	K5 V
1224	Maseru	C6A5587-9	Fl Ni Px	{-1}	(844+1)	[745C]	B	-	-	804	6	Im	M5 V
1226	Kidderminster	A7B49AA-B	Fl Hi In	{+4}	(B88-2)	[AD5A]	fEB	N	-	203	8	Im	G5 V
1229	Nesvorny	C200755-A	Va Na Pi	{+1}	(A69-1)	[6828]	DB	-	-	604	8	Im	M0 V
1235	Starrfield	D200423-9	Va Ni	{-2}	(F30+2)	[4288]	B	S	-	70D	14	Im	D D
1237	Yasnogorsk	C6B1457-9	Fl He Ni Px	{-1}	(A34-4)	[3348]	B	-	-	805	8	Im	K0 V
1238	Fallada	C200377-7	Va Lo	{-2}	(720+1)	[3198]	B	-	-	114	13	Im	G0 V G5 V
1239	Kraslice	B200622-B	Va Ni Na	{+1}	(F52-1)	[876D]	B	-	-	316	9	Im	M5 V M5 V
1240	Clarkson	D9D3577-6	Ni	{-3}	(743-1)	[6255]	B	S	-	615	8	Im	K5 V
1301	Castel	D972242-5	He Lo	{-3}	(810+5)	[2164]	B	-	-	901	9	Im	F0 V
1307	Swansea	B300620-8	Va Ni Na	{-1}	(D51+1)	[4518]	B	N	-	206	7	Im	D
1310	Groves	D200325-9	Va Lo	{-2}	(D20-1)	[112A]	B	S	-	606	8	Im	M0 V
1311	Tashi	C6D1533-A	Ni	{+0}	(743+4)	[654D]	B	-	-	803	9	Im	F5 V
1315	Kansas	A6A0997-A	He Hi In	{+4}	(889+1)	[9D76]	fEB	N	-	502	7	Im	K5 V
1316	Korf	C7B7300-9	Fl Lo	{-1}	(B20+2)	[5257]	B	-	-	104	6	Im	M5 V
1324	Arico el Nuevo	A000655-C	As Va Ni Na	{+1}	(A56+4)	[678B]	B	-	-	823	8	Im	K0 V
1336	Exmouth	A000B9A-F	As Va Hi Na In	{+4}	(9AF-2)	[8F4F]	fEB	N	-	724	8	Im	K0 V
1339	Birjand	C300643-8	Va Ni Na	{-2}	(F50+2)	[7476]	B	S	-	713	7	Im	K5 V
1402	Waihi	C999358-6	Lo	{-2}	(720-3)	[6193]	B	-	-	400	9	Im	M0 III
1407	Oberndorf bei Salz	A4A0653-F	He Ni	{+1}	(A56-1)	[472D]	B	-	-	904	8	Im	M0 V
1410	Littleborough	A200768-B	Va Na Pi	{+2}	(F68+5)	[A917]	DB	N	-	407	7	Im	D
1412	Zaanstad	E200310-5	Va Lo	{-3}	(920-1)	[3147]	B	-	-	517	11	Im	M5 V M5 V
1417	Pluneret	E200324-6	Va Lo	{-3}	(720+3)	[2126]	B	-	-	714	7	Im	M0 V
1418	Homs	C8B6310-6	Fl Lo	{-2}	(720+1)	[6149]	B	S	-	103	6	Im	M5 V
1419	Hadejia	DAB2588-7	Fl He Ni Px	{-3}	(842+1)	[4254]	B	-	-	802	9	Im	F0 V
1420	Poerink	A5B4665-D	Fl Ni	{+1}	(657+3)	[474C]	B	N	-	913	9	Im	G0 V
1422	Beaumont	B6A07AA-9	He	{+1}	(E69+1)	[5887]	B	-	-	903	8	Im	G5 V
1425	Marcolandia	C200577-A	Va Ni	{+0}	(D45-1)	[6556]	B	-	-	705	8	Im	M0 V
1428	Romentino	C7B2431-8	Fl He Ni	{-2}	(933-2)	[425B]	B	-	-	513	8	Im	K0 V
1434	Anaurilandia	C200566-7	Va Ni	{-2}	(940-3)	[3368]	B	S	-	614	6	Im	M5 V
1502	Fuerte Olimpo	D8A3576-4	Fl Ni Px	{-3}	(C40+1)	[6258]	B	S	-	903	9	Im	F0 V
1504	University Park	D200643-4	Va Ni Na	{-3}	(550-1)	[4394]	B	S	-	407	7	Im	D
1507	Corjeuti	C7B46B9-9	Fl Ni Px	{-1}	(955+1)	[8648]	B	-	-	302	7	Im	M0 V
1509	Edmundston	C6B1565-6	Fl He Ni	{-2}	(844+1)	[5375]	B	-	-	303	9	Im	F0 V
1510	Apostolove	C200454-C	Va Ni	{+0}	(E33-1)	[243C]	B	-	-	504	7	Im	M0 V
1512	Peach Bottom	E200226-8	Va Lo	{-3}	(F10-1)	[1187]	B	-	-	816	10	Im	M5 V M5 V
1515	Bermarmi	A7B2FCC-F	Fl He Hi In	{+4}	(8EB-1)	[FF7F]	fEB	-	-	200	3	Im	F0 V F5 V
1519	Horonobe	C6B3554-B	Fl Ni	{+0}	(D42+5)	[759A]	B	-	-	713	8	Im	K0 V
1520	Bossier City	C200473-8	Va Ni	{-2}	(A34+4)	[525C]	B	-	-	305	6	Im	M5 V
1531	Monte San Giusto	C6A3544-A	Fl Ni	{+0}	(C44-2)	[553A]	B	-	-	303	8	Im	K0 V
1535	Branchburg	A00088B-F	As Va Ph Na Pi	{+2}	(878+1)	[DA3F]	eDB	N	-	314	8	Im	K0 V
1537	Khabarovsk	BBB6667-9	Fl Ni	{+1}	(E52+1)	[6749]	B	NS	-	106	11	Im	M0 V M5 V
1540	Terkan	C200322-7	Va Lo	{-2}	(520+2)	[6138]	B	-	-	104	6	Im	M5 V
1602	Ait Ban	A669664-D	Ni Ri	{+2}	(A53-2)	[688C]	CB	-	-	103	6	Im	M5 V
1603	Leigh	A658788-8	Ag	{+1}	(D69+1)	[4818]	CB	N	-	105	7	Im	M5 V
1604	Robinson	B8779A9-8	Hi In	{+2}	(98A+4)	[9B56]	EB	-	-	203	8	Im	G5 V
1605	Penarroya-Pueblonu	A200834-E	Va Ph Na Pi	{+3}	(E77-3)	[8B3E]	eDB	NS	-	204	6	Im	M5 V
1607	Dimbokro	E200251-5	Va Lo	{-3}	(510+1)	[31A6]	B	-	-	804	7	Im	M0 V
1611	Chantonnay	D300459-8	Va Ni	{-3}	(A33-2)	[5134]	B	S	-	204	8	Im	K0 V
1612	Connie	C200201-7	Va Lo	{-2}	(B10-3)	[1184]	B	-	-	406	7	Im	M5 V
1613	Soledade	E200000-0	Va Ba	{-3}	(700+1)	[0000]	B	-	-	017	10	Im	M5 V M5 V
1615	Avellaneda	B000868-A	As Va Ph Na Pi	{+2}	(E7A-4)	[8A7C]	eDB	-	-	716	8	Im	D
1617	La Troncal	B200689-A	Va Ni Na	{+1}	(F55+2)	[173C]	B	-	-	408	8	Im	D
1618	Tlemcen	D300210-9	Va Lo	{-2}	(A10+5)	[1158]	B	S	-	103	6	Im	M5 V
1622	Festin	C5A5210-8	Fl Lo	{-2}	(A10+3)	[515B]	B	-	-	205	7	Im	M0 V
1624	Tutin	C764265-6	Lo	{-2}	(810-1)	[2154]	B	-	-	113	9	Im	G0 V
1626	Csabai	A985898-A	Ph Ri	{+3}	(B7A+4)	[7A4A]	eB	S	-	714	11	Im	G5 V G5 V
1635	Oak Grove	B8A0676-A	He Ni	{+1}	(D57+2)	[576D]	B	-	-	304	8	Im	K0 V
1701	Yeung	B100788-B	Va Na Pi	{+2}	(B65-2)	[B92A]	DB	-	-	905	6	Im	M5 V
1703	San Leandro	C000235-9	As Va Lo	{-1}	(D10+1)	[1148]	B	S	-	324	14	Im	K0 V K5 V
1705	Viracocha	A200852-F	Va Ph Na Pi	{+2}	(B7C+3)	[AA5F]	eDB	-	-	204	6	Im	M5 V
1708	Colombelles	D7D5545-8	Ni	{-3}	(E40+2)	[6239]	B	S	-	316	12	Im	G5 V K5 V
1713	Thekla	B6D588C-A	Ph	{+2}	(E76-2)	[4A6A]	eB	-	-	313	9	Im	F5 V
1714	Turon	AAB66AA-C	Fl Ni	{+1}	(C55-2)	[7749]	B	-	-	713	8	Im	K5 V
1718	Santo Antonio do P	E200167-6	Va Lo	{-3}	(800+2)	[1156]	B	-	-	503	6	Im	M5 V
1720	Atherstone	E78A213-7	Wa Lo	{-3}	(510+1)	[2198]	B	-	-	702	8	Im	K0 V
1721	Carles	C200200-C	Va Lo	{+0}	(F10-4)	[526D]	B	-	-	206	8	Im	M0 V
1723	Chengguan	C200537-9	Va Ni	{-1}	(B44+2)	[6489]	B	S	-	204	6	Im	M5 V
1724	Andrea	A100630-D	Va Ni Na	{+1}	(753+1)	[373F]	B	-	-	804	6	Im	M5 V
1727	Khushab	D200423-8	Va Ni	{-3}	(831+1)	[6137]	B	-	-	804	6	Im	M5 V
1729	Karatepe	C6B2456-7	Fl He Ni Px	{-2}	(732-1)	[1289]	B	S	-	312	8	Im	G5 V
1731	Sao Joao del Rei	A20089E-D	Va Ph Na Pi	{+2}	(E7B-2)	[AA5E]	eDB	-	-	104	7	Im	M0 V
1733	Schulz	C200678-8	Va Ni Na	{-2}	(A54+3)	[9428]	B	-	-	504	7	Im	M0 V
1735	Pilar	A200987-E	Va Hi Na In	{+5}	(C88-2)	[EE4E]	fEB	NS	-	206	10	Im	M5 V M5 V
1738	Gignac	C5A1543-9	Fl He Ni	{-1}	(744+2)	[4439]	B	S	-	903	8	Im	K0 V
1739	Augustesen	D8A7544-7	Fl Ni	{-3}	(642+1)	[2256]	B	S	-	513	8	Im	G5 V
1802	Az Zawiyah	C200430-6	Va Ni	{-2}	(832-2)	[3282]	B	-	-	203	6	Im	M5 V
1805	Ueferji	A3009DE-B	Va Hi Na In	{+4}	(F8E+1)	[8D6B]	fEB	S	A	226	11	Im	G5 V K5 V
1806	Silvino Lobos	EBB6489-6	Fl Ni	{-3}	(630+1)	[6148]	B	-	-	104	7	Im	M0 V
