Sector	SS	Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Worlds	Allegiance	Stellar
Varan	B	1409	Coathlan	E599446-7	Ni	{-3}	(734+1)	[914B]	B	 		700	12	Na	F3 V M4 V
Varan	B	1501	B-1501	X435000-0	Ba Co	{-3}	(400+0)	[0000]		 		010	8	Na	G5 V
Varan	B	1502	B-1502	X210000-0	Ba	{-3}	(800+0)	[0000]		 		032	17	Na	K0 II K8 V
Varan	B	1506	B-1506	X765000-0	Ga Ba	{-3}	(500+0)	[0000]		 		003	14	Na	G0 V M9 VI M0 VI
Varan	B	1508	B-1508	X211000-0	Ic Ba Tz	{-3}	(700+0)	[0000]		 		022	8	Na	GD
Varan	B	1606	B-1606	X220000-0	De Ba Po	{-3}	(600+0)	[0000]		 		003	15	Na	F5 II
Varan	B	1607	B-1607	X150000-0	De Ba Po Ho	{-3}	(400+0)	[0000]		 		001	6	Na	M1 II
Varan	C	1701	C-1701	X565000-0	Ba	{-3}	(300+0)	[0000]		 		030	12	Na	F7 V
Varan	C	1703	C-1703	X201000-0	Ic Va Ba Lk Sa	{-3}	(500+0)	[0000]		 		002	10	Na	M7 V
Varan	C	1708	C-1708	X557000-0	Ba	{-3}	(500+0)	[0000]		 		000	4	Na	K2 II Bd
Varan	C	1801	C-1801	X89A000-0	Wa Ba Tz	{-3}	(700+0)	[0000]		 		000	10	Na	M5 V M5 V
Varan	C	1807	C-1807	X332000-0	Ba Po	{-3}	(600+0)	[0000]		 		002	12	Na	G3 V M5 V
Varan	C	1809	C-1809	X669000-0	Ba	{-3}	(500+0)	[0000]		 		002	10	Na	K6 V M4 V
Varan	C	1902	C-1902	X738000-0	Ba Tz	{-3}	(600+0)	[0000]		 		020	10	Na	M5 V
Varan	C	1904	C-1904	X375000-0	Ba	{-3}	(400+0)	[0000]		 		032	15	Na	M0 II M1 V
Varan	C	1906	C-1906	X498000-0	Ba Tz	{-3}	(400+0)	[0000]		 		020	13	Na	K9 V M9 VI
Varan	C	1910	C-1910	X210000-0	Ba	{-3}	(600+0)	[0000]		 		002	6	Na	A4 V G8 V
Varan	C	2002	C-2002	X201000-0	Ic Va Ba Tz	{-3}	(C00+0)	[0000]		 		012	11	Na	KD M7 VI
Varan	C	2004	C-2004	X343000-0	Ba Po	{-3}	(800+0)	[0000]		 		000	12	Na	F1 V
Varan	C	2005	C-2005	X8A6000-0	Fl Ba Sa	{-3}	(B00+0)	[0000]		 		002	9	Na	G6 V K7 V
Varan	C	2009	C-2009	X555000-0	Ba	{-3}	(800+0)	[0000]		 		010	12	Na	G5 V
Varan	C	2102	C-2102	X224000-0	Ba Po Tz	{-3}	(700+0)	[0000]		 		002	11	Na	MD Bd
Varan	C	2104	C-2104	X100000-0	Va Ba	{-3}	(400+0)	[0000]		 		000	9	Na	F5 III
Varan	C	2109	C-2109	X230000-0	De Ba Po Ho	{-3}	(700+0)	[0000]		 		001	6	Na	K6 III M1 V K0 V K6 V
Varan	C	2110	C-2110	X67A000-0	Wa Ba Co	{-3}	(500+0)	[0000]		 		032	14	Na	G5 V K6 V M9 VI
Varan	C	2206	C-2206	X876000-0	Ba Lk Sa	{-3}	(B00+0)	[0000]		 		001	5	Na	G5 V
Varan	C	2304	C-2304	X98A000-0	Wa Ba	{-3}	(500+0)	[0000]		 		014	13	Na	F6 V
Varan	C	2402	C-2402	X432000-0	Ba Po	{-3}	(900+0)	[0000]		 		000	11	Na	F1 V
Varan	C	2403	C-2403	X592000-0	He Ba	{-3}	(900+0)	[0000]		 		002	10	Na	G5 V M8 VI
Varan	C	2405	C-2405	X446000-0	Ba	{-3}	(500+0)	[0000]		 		001	11	Na	F9 V
Varan	C	2408	C-2408	X499000-0	Ba	{-3}	(B00+0)	[0000]		 		014	15	Na	F8 V M8 V M7 V
Varan	C	2409	C-2409	X310000-0	Ba	{-3}	(A00+0)	[0000]		 		001	11	Na	K5 V
Varan	D	2506	D-2506	XD9A000-0	Ba	{-3}	(800+0)	[0000]		 		030	13	Na	K6 V
Varan	D	2602	D-2602	X200000-0	Va Ba	{-3}	(B00+0)	[0000]		 		032	12	Na	K7 V Bd
Varan	D	2603	D-2603	X491000-0	He Ba	{-3}	(A00+0)	[0000]		 		002	13	Na	G0 V
Varan	D	2607	D-2607	X536000-0	Ba Sa	{-3}	(300+0)	[0000]		 		002	9	Na	K5 V MD
Varan	D	2610	D-2610	X342000-0	He Ba Po	{-3}	(B00+0)	[0000]		 		032	12	Na	K0 V K3 VI M6 V
Varan	D	2703	D-2703	X695000-0	Ba	{-3}	(900+0)	[0000]		 		000	13	Na	F0 V K3 VI
Varan	D	2706	D-2706	X465000-0	Ba	{-3}	(900+0)	[0000]		 		022	10	Na	G8 V MD
Varan	D	2707	D-2707	X455000-0	Ba Co	{-3}	(800+0)	[0000]		 		014	18	Na	K0 III K0 IV
Varan	D	2804	D-2804	X460000-0	De Ba Co	{-3}	(600+0)	[0000]		 		003	8	Na	G7 V K3 V
Varan	D	2807	D-2807	X6B2000-0	Fl Ba	{-3}	(C00+0)	[0000]		 		010	10	Na	F8 V
Varan	D	2901	D-2901	X322000-0	He Ba Po Tz	{-3}	(700+0)	[0000]		 		012	10	Na	M3 VI
Varan	D	2904	D-2904	X6B6000-0	Fl Ba Lk Sa	{-3}	(700+0)	[0000]		 		021	11	Na	F7 V M3 V M1 VI F5 VI
Varan	D	2909	D-2909	X478000-0	Ba	{-3}	(500+0)	[0000]		 		020	15	Na	F3 V
Varan	D	3001	D-3001	X402000-0	Ic Va Ba Tz	{-3}	(500+0)	[0000]		 		003	14	Na	M1 V
Varan	D	3009	D-3009	X648000-0	Ba	{-3}	(700+0)	[0000]		 		002	7	Na	A9 IV
Varan	D	3010	D-3010	X9D9000-0	Ba	{-3}	(600+0)	[0000]		 		002	10	Na	K5 V
Varan	D	3102	D-3102	X77A000-0	Wa Ba	{-3}	(500+0)	[0000]		 		002	11	Na	F8 V K2 VI F7 V K5 VI
Varan	D	3105	D-3105	X685000-0	Ba Tu	{-3}	(A00+0)	[0000]		 		014	17	Na	G0 V
Varan	D	3106	D-3106	X342000-0	He Ba Po	{-3}	(700+0)	[0000]		 		002	13	Na	F3 V M1 VI G9 VI
Varan	D	3108	D-3108	X7A5000-0	Fl Ba Co	{-3}	(500+0)	[0000]		 		004	10	Na	F7 V G4 VI
Varan	D	3110	D-3110	X363000-0	Ba Co	{-3}	(700+0)	[0000]		 		001	6	Na	G8 V
Varan	D	3201	D-3201	X596000-0	Ba Tz	{-3}	(300+0)	[0000]		 		000	6	Na	M7 VI
Varan	D	3203	D-3203	X63A000-0	Wa Ba Sa	{-3}	(B00+0)	[0000]		 		010	9	Na	M0 V M7 V
Varan	D	3205	D-3205	X78A000-0	Wa Ba	{-3}	(700+0)	[0000]		 		030	9	Na	K8 V
Varan	D	3207	D-3207	X97A000-0	Wa Ba	{-3}	(800+0)	[0000]		 		020	7	Na	F5 V
Varan	E	0113	E-0113	X224000-0	Ba Po	{-3}	(400+0)	[0000]		 		032	15	Na	K4 V
Varan	E	0118	E-0118	X7A3000-0	Fl Ba	{-3}	(500+0)	[0000]		 		021	10	Na	K2 V
Varan	E	0119	E-0119	X576000-0	Ba Co	{-3}	(A00+0)	[0000]		 		021	15	Na	F3 V
Varan	E	0120	E-0120	X545000-0	Ba	{-3}	(700+0)	[0000]		 		002	6	Na	K2 V M7 V M5 VI M8 VI
Varan	E	0215	E-0215	X245000-0	Ba Tz	{-3}	(400+0)	[0000]		 		002	14	Na	M0 V M7 III M6 V
Varan	E	0311	E-0311	X554000-0	Ba Po Tz	{-3}	(400+0)	[0000]		 		004	11	Na	M3 V Bd
Varan	E	0314	E-0314	X9A4000-0	Fl Ba Tz	{-3}	(600+0)	[0000]		 		024	9	Na	MD
Varan	E	0315	E-0315	X261000-0	Ba Tz	{-3}	(533+1)	[2196]		 		022	15	Na	M3 V Bd
Varan	E	0317	E-0317	X529000-0	Ba Tz	{-3}	(800+0)	[0000]		 		000	12	Na	M1 V
Varan	E	0319	E-0319	X744000-0	Ba Po	{-3}	(700+0)	[0000]		 		002	10	Na	G8 V
Varan	E	0320	E-0320	X886000-0	Ga Ba	{-3}	(300+0)	[0000]		 		000	9	Na	F5 V
Varan	E	0419	E-0419	X423000-0	Ba Po	{-3}	(600+0)	[0000]		 		022	8	Na	G9 V
Varan	E	0613	E-0613	X200000-0	Va Ba	{-3}	(800+0)	[0000]		 		004	12	Na	G8 V
Varan	E	0614	E-0614	X000000-0	As Ba	{-3}	(600+0)	[0000]		 		002	10	Na	K4 V
Varan	E	0619	E-0619	X592000-0	He Ba	{-3}	(700+0)	[0000]		 		011	11	Na	G7 V
Varan	E	0713	E-0713	X231000-0	Ba Po	{-3}	(600+0)	[0000]		 		000	8	Na	G8 IV
Varan	E	0719	E-0719	X403000-0	Ic Va Ba	{-3}	(600+0)	[0000]		 		002	12	Na	A1 II
Varan	E	0811	E-0811	X302000-0	Ic Va Ba	{-3}	(800+0)	[0000]		 		010	7	Na	F3 V F9 V
Varan	E	0812	E-0812	X588000-0	Ba	{-3}	(B00+0)	[0000]		 		022	14	Na	A3 V
Varan	E	0813	E-0813	X66A000-0	Wa Ba Co Tz	{-3}	(900+0)	[0000]		 		010	7	Na	K8 VI Bd
Varan	E	0818	E-0818	X8AA000-0	Fl Ba	{-3}	(700+0)	[0000]		 		002	10	Na	F8 V M4 V M0 V
Varan	F	0911	F-0911	X64A000-0	Wa Ba	{-3}	(500+0)	[0000]		 		003	11	Na	F3 V
Varan	F	0914	F-0914	X000000-0	As Ba	{-3}	(500+0)	[0000]		 		002	13	Na	A4 V K3 VI
Varan	F	0917	F-0917	X334000-0	Ba Po Tz	{-3}	(300+0)	[0000]		 		000	5	Na	M0 VI Bd
Varan	F	0919	F-0919	X444000-0	Ba Po	{-3}	(700+0)	[0000]		 		024	12	Na	G3 V M5 V
Varan	F	1012	F-1012	X201000-0	Ic Va Ba Co	{-3}	(B00+0)	[0000]		 		014	12	Na	G2 V M3 V
Varan	F	1013	F-1013	X777000-0	Ba	{-3}	(500+0)	[0000]		 		000	6	Na	F2 V M6 V
Varan	F	1014	F-1014	X467000-0	Ba	{-3}	(A00+0)	[0000]		 		002	9	Na	F3 V F7 V F7 VI
Varan	F	1015	F-1015	X636000-0	Ba Tz	{-3}	(400+0)	[0000]		 		020	10	Na	M0 V
Varan	F	1111	F-1111	X220000-0	De Ba Po Tz	{-3}	(900+0)	[0000]		 		000	11	Na	M0 V K3 V
Varan	F	1114	F-1114	X100000-0	Va Ba	{-3}	(B00+0)	[0000]		 		003	11	Na	G9 V
Varan	F	1118	F-1118	X557000-0	Ba	{-3}	(600+0)	[0000]		 		002	9	Na	G7 V
Varan	F	1119	F-1119	X848000-0	Ba Sa	{-3}	(500+0)	[0000]		 		000	10	Na	F4 III G2 V K2 V G1 V
Varan	F	1212	F-1212	X336000-0	Ba	{-3}	(900+0)	[0000]		 		023	13	Na	F5 V M4 V
Varan	F	1216	F-1216	X300000-0	Va Ba Tz	{-3}	(900+0)	[0000]		 		020	11	Na	M2 V
Varan	F	1217	F-1217	XBE4000-0	Ba	{-3}	(B00+0)	[0000]		 		032	12	Na	K7 V
Varan	F	1218	F-1218	X787000-0	Ga Ba	{-3}	(600+0)	[0000]		 		000	5	Na	F2 V G9 VI
Varan	F	1311	F-1311	X300000-0	Va Ba Co	{-3}	(900+0)	[0000]		 		003	13	Na	F0 V
Varan	F	1315	F-1315	X9A5000-0	Fl Ba Co	{-3}	(400+0)	[0000]		 		011	13	Na	G6 V M6 III G4 V
Varan	F	1317	F-1317	XDCA000-0	Fl Ba	{-3}	(900+0)	[0000]		 		003	12	Na	A9 V FD
Varan	F	1411	F-1411	X226000-0	Ba Lk Sa	{-3}	(700+0)	[0000]		 		012	15	Na	G5 V K7 VI GD
Varan	F	1412	F-1412	X7A8000-0	Fl Ba Tz	{-3}	(500+0)	[0000]		 		013	15	Na	M2 V
Varan	F	1414	F-1414	X85A000-0	Wa Ba Lk Sa	{-3}	(800+0)	[0000]		 		014	14	Na	F3 V
Varan	F	1416	F-1416	X661000-0	Ba Co	{-3}	(A00+0)	[0000]		 		002	13	Na	A7 Ia
Varan	F	1512	F-1512	X877000-0	Ba	{-3}	(500+0)	[0000]		 		012	6	Na	F1 V
Varan	F	1517	F-1517	B648000-0	Ba Co	{-3}	(800+0)	[0000]		 		033	18	Na	G3 V K0 VI
Varan	G	1714	Arndoftdon	B546555-B	Ni Ag Co	{0}	(B42+1)	[5378]	BC	S		913	7	Vn	G4 V M6 V
Varan	G	1814	Myll Fimu	B130226-C	De Lo Po Co Sa	{-1}	(810+1)	[015C]	B	M		713	14	Vn	M0 V
Varan	G	1817	Ennailma	D527476-D	Ni Sa	{-1}	(536+1)	[4177]	B	 		921	10	Vn	G8 V
Varan	G	1820	Gambol	E666440-F	Ga Ni Pa	{-1}	(831+0)	[8163]	Bc	 		203	13	Vn	F6 V
Varan	G	1912	G-1912	X433000-0	Ba Po	{-3}	(C00+0)	[0000]		 		004	13	Na	G6 V M3 V
Varan	G	1918	Lyin	B400655-E	Va Ni Na Tz	{-1}	(C55+0)	[85AE]	B	M		504	13	Vn	M0 V
Varan	G	2015	Polef	C353355-D	Lo Po	{-1}	(B20+4)	[7146]	B	G		401	9	Vn	F9 V
Varan	G	2016	Quotent	C475327-D	Lo	{-1}	(820+1)	[4070]	B	S		500	9	Vn	K2 V M4 V
Varan	G	2019	Ventur	B511787-F	Ic Na Pi Tz	{0}	(666+2)	[8539]	BD	 		210	6	Vn	M2 V
Varan	G	2020	Dar Maft	C886612-F	Ga Ni Ag Ri	{1}	(956+3)	[6586]	BC	S		520	11	Vn	F5 V M6 V M2 V
Varan	G	2112	G-2112	X77A000-0	Wa Ba	{-3}	(500+0)	[0000]		 		020	10	Na	G6 V
Varan	G	2116	Kane	A3328A8-D	Ph Na Po Co Cp	{2}	(B9D+3)	[BD9C]	Be	N		125	12	Vn	F4 V
Varan	G	2120	Loree	E536477-F	Ni Pa Co Sa	{-1}	(635+1)	[8172]	Bc	 		724	17	Vn	M0 V
Varan	G	2211	G-2211	X240000-0	De Ba Po Co Tz	{-3}	(300+0)	[0000]		 		032	13	Na	M1 V M7 V
Varan	G	2216	Xentyle	B636678-D	Ni Ag Tz	{0}	(556+1)	[455A]	BC	 		321	13	Vn	M1 V
Varan	G	2311	G-2311	X230000-0	De Ba Po	{-3}	(400+0)	[0000]		 		023	14	Na	K6 V
Varan	G	2413	G-2413	X777000-0	Ba	{-3}	(500+0)	[0000]		 		014	12	Na	F3 V M2 V
Varan	G	2414	G-2414	X441000-0	He Ba Po	{-3}	(800+0)	[0000]		 		023	14	Na	F5 V
Varan	G	2419	Ranke Enfyle	E3006A5-E	Va Ni Na	{-1}	(451+2)	[3367]	B	 		323	16	Vn	K6 V M8 V
Varan	H	2511	H-2511	X200000-0	Va Ba	{-3}	(A00+0)	[0000]		 		010	13	Na	K2 V
Varan	H	2516	H-2516	X564000-0	Ba Ho Lk Sa	{-3}	(800+0)	[0000]		 		000	3	Na	M0 III
Varan	H	2517	H-2517	X546000-0	Ba	{-3}	(500+0)	[0000]		 		000	12	Na	K6 V Bd
Varan	H	2613	Sentsabal	X000000-0	As Ba	{-3}	(700+0)	[0000]		 		040	13	Sw	K4 V
Varan	H	2616	H-2616	X867000-0	Ga Ba	{-3}	(400+0)	[0000]		 		010	10	Na	K5 V
Varan	H	2711	H-2711	X700000-0	Va Ba	{-3}	(900+0)	[0000]		 		022	11	Na	F6 V K4 V
Varan	H	2713	Wellaway	X000000-0	As Ba	{-3}	(600+0)	[0000]		 		030	13	Sw	G2 V
Varan	H	2716	Jolene	X000000-0	As Ba	{-3}	(B00+0)	[0000]		 		000	12	Sw	K0 V
Varan	H	2812	Kayah	X000000-0	As Ba	{-3}	(900+0)	[0000]		 		000	7	Sw	F1 V F7 VI
Varan	H	2813	Undine	X000000-0	As Ba	{-3}	(400+0)	[0000]		 		002	10	Sw	M3 V K4 V
Varan	H	2817	H-2817	X362000-0	Ba Tz	{-3}	(900+0)	[0000]		 		002	14	Na	M4 V
Varan	H	2912	Merica	X000000-0	As Ba	{-3}	(500+0)	[0000]		 		020	7	Sw	M0 V Bd
Varan	H	2913	Bybel	X000000-0	As Ba	{-3}	(600+0)	[0000]		 		022	14	Sw	M2 V M7 V
Varan	H	2914	Returne	X000000-G	As Di	{-1}	(G00+0)	[0000]		 	R	033	16	Sw	G2 V M3 VI
Varan	H	2917	Zever	X000000-0	As Ba	{-3}	(B00+0)	[0000]		 		002	8	Sw	M9 V M5 VI
Varan	H	3014	Anphobec	X000000-0	As Ba	{-3}	(900+0)	[0000]		 		021	15	Sw	F7 V K7 V K5 V
Varan	H	3015	Bahb	X000000-0	As Ba	{-3}	(400+0)	[0000]		 		000	8	Sw	M3 V
Varan	H	3111	H-3111	X764000-0	Ba	{-3}	(A00+0)	[0000]		 		000	7	Na	A9 V
Varan	H	3113	Palaten	X000000-0	As Ba	{-3}	(500+0)	[0000]		 		002	8	Sw	K5 VI
Varan	H	3115	Vacoten	X000000-4	As Di	{-3}	(B00+0)	[0000]		 		030	11	Sw	K6 V MD
Varan	H	3119	H-3119	X000000-0	As Ba	{-3}	(700+0)	[0000]		 		000	5	Na	K9 V
Varan	H	3211	H-3211	X000000-0	As Ba	{-3}	(300+0)	[0000]		 		022	15	Na	F4 V KD F4 V
Varan	H	3214	Thackerus	X000000-0	As Ba	{-3}	(500+0)	[0000]		 		002	13	Sw	A7 V
Varan	H	3215	Jeanna	X000000-0	As Ba	{-3}	(500+0)	[0000]		 		012	12	Sw	G5 V
Varan	H	3216	H-3216	X979000-0	Ba	{-3}	(500+0)	[0000]		 		022	15	Na	A1 II F6 V
Varan	H	3217	H-3217	X420000-0	He Ba Po Tz	{-3}	(B00+0)	[0000]		 		000	8	Na	M7 V Bd
Varan	H	3220	H-3220	X338000-0	Ba Co	{-3}	(800+0)	[0000]		 		001	9	Na	F8 V
Varan	I	0122	I-0122	X633000-0	Ba Po	{-3}	(800+0)	[0000]		 		033	13	Na	G5 V
Varan	I	0125	I-0125	X500000-0	Va Ba Tz	{-3}	(300+0)	[0000]		 		001	10	Na	M1 V K4 V
Varan	I	0128	I-0128	X686000-0	Ga Ba	{-3}	(600+0)	[0000]		 		002	11	Na	K2 V
Varan	I	0222	I-0222	X310000-0	Ba Co Tz	{-3}	(900+0)	[0000]		 		020	7	Na	M3 V
Varan	I	0224	I-0224	X434000-0	Ba Po	{-3}	(600+0)	[0000]		 		002	12	Na	K2 V
Varan	I	0225	I-0225	X443000-0	Ba Po Tz	{-3}	(900+0)	[0000]		 		030	7	Na	M3 V
Varan	I	0226	I-0226	X120000-0	De Ba Po Lk Sa	{-3}	(900+0)	[0000]		 		002	10	Na	G0 VI M5 VI
Varan	I	0324	I-0324	X515000-0	Ic Ba	{-3}	(400+0)	[0000]		 		001	10	Na	G9 V
Varan	I	0328	I-0328	X7A7000-0	Fl Ba Lk Sa	{-3}	(700+0)	[0000]		 		020	10	Na	F7 V
Varan	I	0330	I-0330	X78A000-0	Wa Ba	{-3}	(900+0)	[0000]		 		012	7	Na	A6 II
Varan	I	0424	I-0424	X7B5000-0	Fl Ba Co	{-3}	(500+0)	[0000]		 		000	7	Na	A6 II G8 V
Varan	I	0425	I-0425	X220000-0	De Ba Po Co	{-3}	(B00+0)	[0000]		 		022	14	Na	K1 III
Varan	I	0426	I-0426	X98A000-0	Wa Ba	{-3}	(500+0)	[0000]		 		000	9	Na	K3 III
Varan	I	0428	I-0428	X231000-0	Ba Po	{-3}	(300+0)	[0000]		 		000	7	Na	G7 V M8 III G0 VI
Varan	I	0430	I-0430	X783000-0	Ba	{-3}	(600+0)	[0000]		 		032	13	Na	F6 V K9 VI
Varan	I	0528	I-0528	X669000-0	Ba	{-3}	(700+0)	[0000]		 		002	10	Na	F7 V
Varan	I	0622	I-0622	X534000-0	Ba Po	{-3}	(700+0)	[0000]		 		012	13	Na	K2 V M1 VI
Varan	I	0726	Sendorna	A484340-A	Lo Cp	{2}	(A20+3)	[554C]	B	A		523	11	Vn	F6 V
Varan	I	0829	Ryfe	E5356F9-7	Ni Ag Px	{-2}	(B73+0)	[973B]	BC	N	R	202	12	Vn	F6 V
Varan	J	0922	Methrandir	C554979-B	Hi Po	{1}	(E89+1)	[7A7E]	BE	 		724	13	Vn	F8 V
Varan	J	0924	Petto Glif	A685345-B	Ga Lo	{1}	(B20+3)	[246F]	B	F		123	11	Vn	F8 V
Varan	J	0925	Dalem	C646779-B	Ag Pi	{1}	(567+1)	[488E]	BCD	S		210	11	Vn	F5 V
Varan	J	0927	Iversool	A100320-B	Va Lo Tz	{1}	(G20+1)	[646F]	B	S		423	17	Vn	M0 V
Varan	J	0929	Mhoram	A78A367-B	Wa Lo	{1}	(B20+3)	[148E]	B	 		124	13	Vn	G6 V
Varan	J	1022	Skal	E99A875-C	Wa Ph Pi	{0}	(D76+2)	[581G]	BDe	 		823	14	Vn	F6 V M5 V
Varan	J	1024	Hersay	D565524-C	Ni Ag Pr	{0}	(F43+0)	[755C]	BcC	S		915	13	Vn	F5 V
Varan	J	1025	Xeranda	B100210-C	Va Lo Tz	{-1}	(610+2)	[015F]	B	 		813	9	Vn	M2 V
Varan	J	1027	Uberd	A231357-C	Lo Po Tz Px	{1}	(D20+2)	[147L]	B	 		125	17	Vn	M0 V
Varan	J	1029	Thoren	D86A520-C	Wa Ni Pr	{-1}	(B41+1)	[843G]	Bc	 		403	10	Vn	F4 V M6 V
Varan	J	1124	Blayk	B86A512-C	Wa Ni Pr Co	{-1}	(G44+0)	[144D]	Bc	M		523	14	Vn	F9 V
Varan	J	1125	Sarg	B200457-C	Va Ni	{-1}	(732+3)	[634M]	B	S		801	10	Vn	K6 V M3 V
Varan	J	1221	Jorene	E556967-D	Hi	{1}	(B85+2)	[CA8D]	BE	 		303	10	Vn	F7 V
Varan	J	1222	Yara	B786389-D	Ga Lo Sa	{-1}	(C20+0)	[026H]	B	 		913	8	Vn	F2 V M3 V
Varan	J	1223	Drood	C541642-D	He Ni Po Co Sa	{-1}	(955+1)	[454F]	B	M		222	15	Vn	F3 V
Varan	J	1227	Aresta	A120422-D	De Ni Po	{1}	(C31+4)	[456D]	B	N		411	11	Vn	K6 V M6 D
Varan	J	1326	Nuroc	E410775-D	Na Pi	{0}	(D66+2)	[A74J]	BD	 		512	13	Vn	A4 V
Varan	J	1330	Erienion	C656235-C	Ga Lo Sa	{-1}	(A10+0)	[018H]	B	 		215	14	Vn	F5 V
Varan	J	1422	Kesrith	A567747-E	Ag Ri Co Cp	{4}	(86A+3)	[8B4B]	BC	F		502	8	Vn	G5 V K9 VI
Varan	J	1427	Cail Brinn	C544200-D	Lo Po	{-1}	(E10+2)	[114D]	B	M		304	8	Vn	F5 V
Varan	J	1428	Wyzert	C331483-D	Ni Po	{-1}	(B33+2)	[436C]	B	M		823	12	Vn	G3 V
Varan	J	1430	Kishene	B230648-C	De Ni Na Po Px Sa	{-1}	(B52+2)	[854F]	B	S		220	14	Vn	F6 IV M1 V
