Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0212	Qianienshietl	B77669C-A	D	Ni Ag		104	ZhJp	M3 V	{ 3 }	(D55+5)	[492B]		10
0213	Lofenzh	E55A000-0		Wa Ba O:0214		021	ZhJp	F3 V M2 V	{ -3 }	(600+1)	[0000]		8
0214	Ivin	A98A659-D		Wa Ni Ri		111	ZhJp	F5 V	{ 2 }	(B55-1)	[989F]		12
0216	Azzdedr	E3118A9-8		Ic Ph Na Pi		610	ZhJp	F6 V M5 V	{ -2 }	(775-2)	[9689]		7
0223	Aqanzzhdiabl	D211404-9		Ic Ni		903	ZhJp	F6 V M3 V	{ -2 }	(B32+1)	[122A]		10
0224	Qievjach	C76A528-A		Wa Ni Pr		504	ZhJp	F1 V	{ 0 }	(946+1)	[354B]		11
0228	Liatsrza	E445424-8		Ni Pa		813	ZhJp	G4 V	{ -3 }	(F31-4)	[5156]		15
0229	Ieazhizh	B677997-B		Hi In (minor)		602	ZhJp	F6 V	{ 4 }	(989+3)	[AD47]		10
0232	Oqpri	B9A578A-9		Fl		401	ZhJp	K4 V M5 V	{ 1 }	(A6A+1)	[784C]		11
0234	Biazims	B586ABB-E		Hi		113	ZhJp	G5 V	{ 3 }	(D9E+1)	[BD9G]		14
0235	Rafatlianzh	E336445-7		Ni		514	ZhJp	A5 V	{ -3 }	(833-3)	[9185]		11
0240	Taplbrieqlets	A676000-0		Ba		010	ZhJp	M2 V	{ -1 }	(500+1)	[0000]		8
0302	Iadvada	A77389B-C	KM	Ph Pi		304	ZhJp	M5 V	{ 3 }	(B7D+3)	[CB7C]		13
0303	Yal Vri	B534677-B		Ni		323	ZhJp	G9 V M7 V	{ 1 }	(C55-1)	[675E]		11
0307	Tlenshiebr	B749000-0		Ba Di(minor)		002	ZhJp	K3 V M9 V	{ -1 }	(A00-2)	[0000]		8
0308	Azhia Naz	A574551-E	KM	Ni Ag		305	ZhJp	M7 V M7 V	{ 3 }	(D46+1)	[789C]		14
0315	Vladefef	C100A55-D		Va Hi Na In		824	ZhJp	F0 V	{ 3 }	(B9B+2)	[6D7C]		15
0317	Blel	C242435-7		Ni Po		222	ZhJp	G7 V M0 V	{ -2 }	(833+1)	[3278]		11
0319	Sazhiebr	B372000-0		He Ba		014	ZhJp	M7 V	{ -1 }	(200+2)	[0000]		13
0322	Echshiaanzh	B529ADC-D		Hi In		604	ZhJp	F1 V	{ 4 }	(D9E+1)	[EE6H]		10
0326	Biezi	D237577-8		Ni		704	ZhJp	M1 V M4 V	{ -3 }	(940+3)	[1235]		10
0335	Vianch	C668585-6		Ni Ag Pr		802	ZhJp	G0 V M7 V	{ -1 }	(741-3)	[945B]		12
0336	Mekrash	A768AAA-E	D	Hi		523	ZhJp	M7 V	{ 4 }	(G9A-4)	[EE5C]		10
0338	Feiaz	A456426-B		Ni Pa		601	ZhJp	M2 V M7 V	{ 1 }	(635+1)	[356D]		13
0339	Tlatonsh	C667649-6		Ga Ni Ag Ri	U	710	ZhJp	K9 V	{ 0 }	(756+1)	[1668]		13
0340	Zhiadlnere	B584797-8		Ag Ri		804	ZhJp	F2 V	{ 2 }	(668+1)	[B988]		11
0403	Ievrinj	D95A400-9		Wa Ni		100	ZhJp	G4 V	{ -2 }	(633+3)	[428B]		11
0406	Dlopansh	A582431-D	D	Ni		312	ZhJp	M5 V	{ 2 }	(A35-1)	[563C]		9
0409	Zdieq	D77769A-6		Ni Ag		710	ZhJp	M8 V	{ -2 }	(950-1)	[3414]		9
0411	Ezhdiar	E230511-7		De Ni Po		910	ZhJp	M1 V M4 V	{ -3 }	(742-2)	[6248]		8
0414	Dablfliansh	D344000-0		Ba		010	ZhJp	M7 V M8 V	{ -3 }	(900+2)	[0000]		6
0416	Vol	C41487C-9		Ic Ph Pi		520	ZhJp	F2 V	{ 0 }	(57B+5)	[8878]		7
0418	Dashipr	A675AFC-E	KM	Hi In		523	ZhJp	M5 V	{ 5 }	(E97+1)	[EF6E]		17
0419	Flatliaanch	B303640-C		Ic Va Ni Na		903	ZhJp	M1 V M7 V M8 V	{ 1 }	(F53-3)	[777F]		14
0420	Ovloplats	C344735-7		Ag Pi		504	ZhJp	K7 V	{ 0 }	(869+1)	[6735]		8
0421	Zhdintsadr	D628AAB-A	KM	Hi In		904	ZhJp	M3 V	{ 3 }	(99B+1)	[FD7B]		9
0425	Shtanso	B65A56A-C		Wa Ni O:0322		303	ZhJp	K2 V M8 V	{ 1 }	(B46+1)	[361D]		9
0428	Ierdratodr	C150559-9	KM	De Ni Po		604	ZhJp	K5 V M4 V	{ 0 }	(A43-2)	[7585]		8
0431	Zhdianzrl	A223000-0		Ba Po		024	ZhJp	K3 V M4 V	{ -1 }	(600-1)	[0000]		19
0432	Jiedrzdiets	B234000-0		Ba		004	ZhJp	M7 V	{ -1 }	(700+1)	[0000]		11
0437	Antsrpr	B200484-C	KM	Va Ni		613	ZhJp	K6 V	{ 2 }	(F37-2)	[569F]		12
0440	Fiapr	A442996-E		He Hi In Po		524	ZhJp	F1 V	{ 4 }	(F8C+1)	[AD5D]		14
0507	Sianbistiaql	C362502-A		Ni Pr		913	ZhJp	F7 V	{ 0 }	(F41+2)	[8528]		17
0512	Denzhimie	A595555-C		Ni Ag		202	ZhJp	F9 V M4 V	{ 2 }	(443+1)	[779D]		14
0514	Yaskekue	B687653-B	M	Ga Ni Ag Ri		523	Dr	M7 V	{ 3 }	(B54-3)	[7929]		8
0516	Ple'shtenzh	C333556-B		Ni Po		722	ZhJp	M9 V	{ 0 }	(G45-3)	[457D]		11
0517	Qlonjia	C969000-0		Ba		023	ZhJp	F7 V M4 V	{ -2 }	(400-1)	[0000]		9
0518	Kel	B335525-B		Ni Droy1		504	ZhJp	K7 V	{ 1 }	(944+1)	[766A]		11
0521	Kenshjievr	C9A479C-8		Fl		223	ZhJp	M7 V	{ -1 }	(B6A-2)	[5689]		11
0522	Zharkash	E468524-7		Ni Ag Pr		112	ZhJp	G2 IV	{ -2 }	(543-1)	[5352]		11
0523	Vedrenie'	A788558-D	KM	Ni Ag Pr Droy3		804	ZhJp	F9 IV	{ 3 }	(D49-3)	[582B]		14
0525	Shezhanzdra	E587000-0		Ba		003	ZhJp	K7 V	{ -3 }	(500+1)	[0000]		7
0526	Qlentileche	A887957-E	D	Ga Hi Pr		712	ZhJp	F3 V	{ 4 }	(78E+1)	[9D4A]		10
0528	Iaflianiaqr	D687536-7		Ga Ni Ag Pr Chir5		903	ZhJp	K1 V	{ -2 }	(444-1)	[2357]		11
0530	Zhdekr	A7A6527-D	KM	Fl Ni		804	ZhJp	M4 V	{ 2 }	(B46-5)	[374H]		11
0531	Kevstetyie	B354000-0		Ba		004	ZhJp	F5 V	{ -1 }	(500-1)	[0000]		16
0535	Flotl	C7C1586-A	KM	Fl He Ni		803	ZhJp	M5 V	{ 1 }	(E44-3)	[7618]		7
0536	Aja	A78A986-D		Wa Hi Pr		813	ZhJp	F7 V M4 V	{ 3 }	(A8A+1)	[5C5G]		12
0537	Krievla	B676876-7		Ph Pa Pi		204	ZhJp	F4 V	{ 0 }	(A79+2)	[884A]		11
0602	Tliavrianch	B68969C-B		Ni Ri		600	ZhJp	M5 V	{ 2 }	(456-1)	[987A]		8
0603	Drepadze	B8598AA-B	KM	Ph		925	ZhJp	G4 V	{ 3 }	(979+1)	[8B99]		15
0606	Oiedr	E624000-0		Ba		023	ZhJp	G7 V	{ -3 }	(700+1)	[0000]		15
0607	Iatlbench	BA9A576-B		Oc Ni		504	ZhJp	M8 V	{ 1 }	(844-1)	[863C]		14
0609	Vravrchtia	B132656-C		Ni Na Po		204	ZhJp	K7 V	{ 1 }	(A54+1)	[378B]		13
0610	Jrbrianch	B79A454-D	KM	Wa Ni		700	ZhJp	M2 V M3 V	{ 2 }	(733+1)	[463D]		11
0611	Safrapl	A370857-E		De He Ph Pi		222	ZhJp	F1 V M4 V	{ 2 }	(C7C+3)	[AA3C]		11
0614	Driechi	A234476-E	KM	Ni		703	ZhJp	M2 V	{ 2 }	(B34+1)	[267D]		9
0617	Enzhiavl	C788A98-A		Hi		902	ZhJp	F9 V	{ 2 }	(79A+1)	[CC4A]		8
0620	Detsplieshia	C585200-5		Lo ChirW		814	ZhJp	F9 V M1 V	{ -2 }	(A10-1)	[5177]		15
0622	Plobradash	C538528-9		Ni		610	ZhJp	G3 V M6 V	{ -1 }	(543-2)	[14AC]		7
0628	Iazqatl	C000000-0		As Va Ba		013	ZhJp	M4 V	{ -2 }	(600-3)	[0000]		12
0629	Da'bits	E468727-5		Ag Ri		304	ZhJp	F3 V	{ 0 }	(867-1)	[A731]		9
0634	Zebrafmiadl	C3457A5-7		Ag Pi		711	ZhJp	F5 V M7 V	{ 0 }	(868+2)	[4765]		8
0637	Idr Jdel	CA96000-0		Ba		003	ZhJp	F3 V	{ -2 }	(C00-2)	[0000]		12
0639	Zhelizhins	X440000-0		De He Ba Po	F	030	ZhJp	M5 II	{ -3 }	(600-1)	[0000]		12
0701	Dav	C738554-B		Ni		802	ZhJp	M4 II	{ 0 }	(A42-1)	[553A]		12
0702	Jdedbrrchie	E562441-7		Ni		903	ZhJp	M3 V M5 V	{ -3 }	(B32-4)	[5114]		11
0703	Brolyeze	B48476A-B		Ag Ri O:0603		813	ZhJp	F8 V	{ 4 }	(B68-1)	[9B2D]		12
0707	Drianiadriel	A966000-0		Ba		013	ZhJp	F1 IV	{ -1 }	(600-3)	[0000]		13
0709	Oviaansh	C536441-7		Ni		222	ZhJp	M7 V	{ -2 }	(633+1)	[2225]		14
0711	Benshqra	A377663-B		Ni Ag O:0611		122	ZhJp	M9 V	{ 2 }	(953+1)	[684B]		9
0715	Mrkr	C646000-0		Ba		014	ZhJp	F7 V	{ -2 }	(C00+4)	[0000]		14
0716	Ilvliel	D642510-5		He Ni Po		412	ZhJp	F4 V	{ -3 }	(641+1)	[7256]		13
0718	Tiedr	X423000-0		Ba Po	F	004	ZhJp	K3 V M9 V	{ -3 }	(B00+3)	[0000]		10
0720	Avria	C466651-A	KM	Ni Ag Ri		713	ZhJp	F5 V	{ 3 }	(B59+1)	[89AB]		10
0721	Jdavriatsebl	E7838AB-4		Ph Ri (minor)	U	304	ZhJp	K7 V M5 V	{ -1 }	(977-5)	[7765]		9
0728	Lirraif	C678000-0		Ba		005	ZhJp	M7 V	{ -2 }	(600-1)	[0000]		18
0732	Chibre	B552431-A		Ni Po		703	ZhJp	F7 V	{ 1 }	(E35+1)	[252A]		13
0733	Eshnaievr	C466653-8		Ni Ag Ri		400	ZhJp	B5 V	{ 0 }	(355+1)	[B629]		10
0734	Shifrtliaz	C445524-9		Ni Ag		813	ZhJp	K4 V M9 V	{ 0 }	(F44-3)	[153A]		12
0736	Dronjfezhish	B737000-0		Ba		003	ZhJp	M3 V	{ -1 }	(200+1)	[0000]		12
0737	Zdonzhvietl	B589668-9	KM	Ni Ri Mr		420	ZhJp	K3 III	{ 2 }	(554+3)	[682E]		11
0738	Inzhdepl Driep	B5009A9-C		Va Hi Na In		805	ZhJp	F3 V	{ 4 }	(E8A-2)	[BD78]		12
0740	Chtek	D889678-3		Ni Ri	U	300	ZhJp	K1 V	{ -2 }	(350+1)	[A474]		8
0805	Dradi	CAFA444-C		Oc Ni		301	ZhJp	M0 V	{ 0 }	(733+1)	[941B]		6
0806	Pakrashziavr	C200433-B		Va Ni		301	ZhJp	M3 V	{ 0 }	(435+1)	[548F]		6
0808	Zi Sebria	C250575-9	KM	De Ni Po		203	ZhJp	M5 V	{ 0 }	(D46+3)	[356D]		7
0811	Iatiaiepr	C6648CD-5		Ph Pa Ri Di(minor)		603	ZhJp	F5 V	{ 0 }	(87B+1)	[6865]		12
0812	Braqlia	B9C5000-0		Fl Ba		023	ZhJp	G3 V	{ -1 }	(B00-1)	[0000]		14
0814	Qrialdats	C587655-9		Ni Ag Ri		520	ZhJp	F3 V M9 V	{ 1 }	(C52+1)	[876A]		11
0815	Plejditsie	B000457-D	KM	As Va Ni		123	ZhJp	F5 V	{ 2 }	(C37+1)	[864F]		13
0820	Qriokro	E325453-7		Ni		300	ZhJp	K3 III	{ -3 }	(633-2)	[412B]		7
0822	Flia'sar	C7A2776-9		Fl He		612	ZhJp	F7 III	{ 0 }	(76B-2)	[A766]		7
0824	Iazdonts	AAC97C7-C	KM	Fl		404	ZhJp	F4 V	{ 3 }	(B67+3)	[6A7A]		8
0829	Qriam	B673885-9	KM	Ph Pi		631	ZhJp	A1 V	{ 2 }	(C7B-2)	[8A58]		15
0831	Klikivr	E0007A9-9		As Va Na Pi		312	ZhJp	M2 V	{ -1 }	(966-3)	[B666]		14
0833	Viat	D683463-5	KM	Ni O:0934		203	ZhJp	K5 V M3 V	{ -2 }	(531+3)	[6255]		13
0836	Tanjbrelo	C367543-8	KM	Ni Ag Pr		704	ZhJp	M5 V	{ 0 }	(D43+4)	[4545]		8
0901	Kiarbonjivr	A635000-0		Ba Di(minor)		012	ZhJp	M6 V M8 V	{ -1 }	(B00-1)	[0000]		12
0902	Etl	AAC587B-D		Fl Ph		313	ZhJp	G5 V	{ 2 }	(F7A-4)	[9A6D]		9
0905	Anchjdant	C79A78A-A		Wa Pi Di(minor)		603	ZhJp	F9 V M1 V	{ 1 }	(D6D+2)	[7819]		10
0909	Evzhdianz	A555641-C	KM	Ni Ag		302	ZhJp	F6 V M0 V	{ 3 }	(957-1)	[891H]		6
0913	Tlavliei	C586876-8	KM	Ph Pa Ri		511	ZhJp	F5 V	{ 1 }	(97D+1)	[7958]		10
0914	Kaflde	B89A769-C		Wa Pi O:0915		112	ZhJp	M3 V	{ 2 }	(A68+2)	[894C]		8
0915	Ialpa	A766745-C		Ga Ag Ri		223	ZhJp	K1 IV K8 V	{ 4 }	(B6C-1)	[5B6D]		12
0918	Rpepzdefr	B56A420-C	KM	Wa Ni		103	ZhJp	M4 V	{ 2 }	(C37+3)	[465C]		14
0919	Kobrchtenzh	B200000-0		Va Ba		005	ZhJp	M5 V	{ -1 }	(900+2)	[0000]		11
0921	Jdiepleqr	E5239B6-8		Hi Na In Po		401	ZhJp	F9 V	{ 0 }	(78C-4)	[89A7]		7
0922	Dlechfria'	CAC897A-A	KM	Fl Hi In		804	ZhJp	G7 III	{ 4 }	(989+1)	[5D48]		15
0924	Flienjmiench	B887696-9		Ga Ni Ag Ri		401	ZhJp	M3 V	{ 2 }	(753-5)	[585A]		10
0925	Kiflladl	E353532-4		Ni Po		104	ZhJp	K6 V	{ -3 }	(841+4)	[5266]		11
0927	Yashetlavr	C000AFF-E		As Va Hi Na In	U	524	ZhJp	M2 V M7 V	{ 3 }	(F95-2)	[CD6C]		15
0928	I'di	B7B4728-B		Fl		914	ZhJp	M4 V	{ 2 }	(C66+1)	[99AF]		11
0931	Velieirbe	C2339B9-B		Hi Na Po		205	ZhJp	G4 V	{ 2 }	(B88+5)	[AB56]		17
0932	Dliamtiaqe	B240657-C		De Ni Po		404	ZhJp	F0 V M4 V	{ 1 }	(952+1)	[9779]		15
0934	Chikrdapr	A666787-C		Ga Ag Ri Droy2		104	ZhJp	G0 V	{ 4 }	(A6C+1)	[2B9A]		11
0937	Kiadlensh	A793486-A		Ni		400	ZhJp	F0 V	{ 1 }	(B37+1)	[5556]		8
0938	Ilaiaiashie	B578ABB-D		Hi In		722	ZhJp	F4 V	{ 4 }	(F9A-2)	[CE7G]		16
0939	Enchiap	A466796-C		Ag Ri		404	ZhJp	K3 V	{ 4 }	(96C-2)	[8B1H]		11
1004	Blablet	B776753-9	KM	Ag Pi		410	ZhJp	F7 V	{ 3 }	(D6B-1)	[5A39]		7
1005	Tsotliedrant	A672432-C		He Ni		904	ZhJp	M9 V	{ 1 }	(C32+3)	[355H]		14
1008	Yia'rnch	CAB2547-A		Fl He Ni		404	ZhJp	K6 III	{ 0 }	(B45-4)	[553B]		9
1013	Jeazhivr	D441448-7		He Ni Po		124	ZhJp	G2 V	{ -3 }	(433+2)	[2145]		16
1014	Achoqr	D354777-5		Ag		805	ZhJp	M7 III	{ -1 }	(865+1)	[2686]		11
1018	Tinsh	AAB6855-D	KM	Fl Ph		911	ZhJp	G4 V M9 V	{ 3 }	(87C+3)	[CB4E]		13
1019	Kiail	B45769D-A		Ni Ag		523	ZhJp	K6 IV M7 V	{ 2 }	(A57+1)	[4878]		18
1021	Iaprprietl	A888876-C		Ph Pa Ri Droy3		202	ZhJp	K8 V	{ 3 }	(87A+3)	[8B8D]		10
1022	Zhodri	E797666-5		Ni Ag O:1021		702	ZhJp	F2 V M3 V	{ -2 }	(B53-1)	[6469]		11
1024	Jivladavl	B67855A-A		Ni Ag Chir4		400	ZhJp	G4 V M3 V	{ 2 }	(847-1)	[676E]		6
1025	Diapche	C675684-8		Ni Ag		615	ZhJp	F2 V	{ -1 }	(E50+1)	[5548]		16
1026	Blieme	C848562-9	KM	Ni Ag O:0927	U	601	ZhJp	F3 V M6 V	{ 1 }	(B46+4)	[765B]		7
1029	Sotszhdiao	C7A098C-B		He Hi In		605	ZhJp	F2 V M9 V	{ 3 }	(E8E+1)	[CC5A]		11
1030	Briaji	C53789D-9		Ph		504	ZhJp	F1 V	{ 0 }	(D76+1)	[D85A]		11
1033	Tiepl	E849000-0		Ba		000	ZhJp	F2 V	{ -3 }	(700+4)	[0000]		5
1034	Ia Sishetlel	B100000-0		Va Ba		012	ZhJp	K0 V	{ -1 }	(600-3)	[0000]		10
1039	Eshdlients	B767642-9		Ga Ni Ag Ri		903	ZhJp	F2 V	{ 2 }	(A56+1)	[487B]		15
1102	Sinzazhda	A566000-0		Ba		000	ZhJp	G8 V M7 V	{ -1 }	(700+1)	[0000]		6
1104	Viribr	B7B4000-0		Fl Ba		000	ZhJp	F1 V M4 V	{ -1 }	(700+1)	[0000]		13
1107	Tianjshier	A6A5643-D	KM	Fl Ni		225	ZhJp	F2 V	{ 2 }	(E58+1)	[885H]		16
1109	Eplstiash	C522000-0		He Ba Po		000	ZhJp	G2 V	{ -2 }	(600-3)	[0000]		10
1110	Enshklame	B7A4789-A		Fl Di(exotic minor)		814	ZhJp	F9 V	{ 2 }	(A69+4)	[698C]		14
1116	Flo'fliezhie	D56587B-3		Ph Pa Ri (minor)	U	712	ZhJp	G9 V	{ -1 }	(278+3)	[9745]		11
1119	Piabldal	C230000-0		De Ba Po		014	ZhJp	G4 V	{ -2 }	(600-1)	[0000]		12
1121	Zhdintre	B54477A-8		Ag Pi		200	ZhJp	M4 V	{ 1 }	(968-1)	[785D]		4
1123	Shtenzh Qlotl	A544A75-E	KM	Hi In		702	ZhJp	F1 V	{ 5 }	(C9G+1)	[AF4A]		12
1126	Dlia'abl	B798569-9		Ni Ag O:1127		404	ZhJp	F8 V M4 V M0 V	{ 1 }	(E47+1)	[3668]		14
1127	Priatsziarr	A558757-C		Ag		300	ZhJp	G4 V	{ 3 }	(56D+2)	[6A1F]		11
1128	Tians Da' Jefr	B494A9C-E	KM	Hi In		613	ZhJp	F8 V M9 V M2 V	{ 5 }	(D9G-4)	[EF7G]		12
1131	Voibr	A58765B-B	KM	Ni Ag Ri		804	ZhJp	K4 V	{ 4 }	(859+3)	[BA9F]		15
1134	Senshiak	C212000-0		Ic Ba		002	ZhJp	A1 V	{ -2 }	(700-2)	[0000]		6
1140	Driensho	D355652-4		Ni Ag		820	ZhJp	F1 V M4 V M1 V	{ -2 }	(753+2)	[4461]		14
1201	Ejriens	B477000-0		Ba O:1301		005	ZhJp	F0 V	{ -1 }	(800+5)	[0000]		13
1203	Briavniedl	E759451-7		Ni		403	ZhJp	F6 V	{ -3 }	(C32-2)	[3165]		8
1204	Chiashov	A5348BA-D	D	Ph		423	ZhJp	F0 V	{ 3 }	(E7C-1)	[5B8E]		10
1206	Anchfial	A534000-0		Ba		003	ZhJp	M0 V M0 V	{ -1 }	(400-2)	[0000]		11
1207	Nochvi	B888655-A		Ni Ag Ri		102	ZhJp	G1 V	{ 3 }	(A58-3)	[49AA]		10
1208	Diabriefa	C786533-8		Ga Ni Ag Pr Droy2		623	ZhJp	F1 V M6 V	{ -1 }	(D41+4)	[144C]		14
1210	Ontsavre'	B334511-C		Ni		600	ZhJp	M2 V M4 V	{ 1 }	(445-5)	[361H]		8
1211	Fia Vlenchta	B61489C-B	KM	Ic Ph Pi		222	ZhJp	K0 V	{ 3 }	(C79-2)	[8B2A]		10
1217	Kaythe	A485555-E	M	Ni Ag Pr		424	Dr	G0 V	{ 2 }	(E43+2)	[575J]		15
1221	Ferchoblvel	C656659-7		Ga Ni Ag		103	ZhJp	K6 V M4 V	{ -1 }	(855+4)	[8547]		12
1222	Chti'di	C38487C-9		Ph Pa Ri		902	ZhJp	M2 V	{ 1 }	(A77-1)	[8949]		11
1225	Lantizh Ant	B65458A-A		Ni Ag		400	ZhJp	K9 V	{ 2 }	(543+2)	[57A9]		9
1226	Iqletsi	B768676-9		Ni Ag Ri		514	ZhJp	G6 V	{ 2 }	(A57+1)	[2834]		12
1230	Plazdiets	C66875A-8		Ag Ri		603	ZhJp	F4 V M0 V	{ 1 }	(764-4)	[9879]		12
1235	Jesezyienjie	A578956-E	D	Hi In		603	ZhJp	F3 V	{ 5 }	(A8F+3)	[CE3B]		10
1236	Revr	C344683-8		Ni Ag		104	ZhJp	M0 V	{ -1 }	(853+1)	[9514]		17
1238	Azhiapsta	C966616-5	KM	Ni Ag Ri		111	ZhJp	F9 V	{ 1 }	(B55-4)	[7774]		11
1239	Brezdrontlie	C322000-0		He Ba Po		012	ZhJp	K7 V M6 V	{ -2 }	(500+1)	[0000]		10
1240	Iakroshia	D798796-6		Ag Pi		421	ZhJp	F6 V M7 V	{ -1 }	(B68+2)	[8677]		11
1301	Pibiansia	A77669C-C	KM	Ni Ag		101	ZhJp	F0 V	{ 3 }	(858+1)	[993F]		8
1304	Tlrnzh	E223000-0		Ba Po		025	ZhJp	M4 V M7 V	{ -3 }	(700+1)	[0000]		11
1307	Rafieqr	B68A651-C		Wa Ni Ri		300	ZhJp	F4 V	{ 2 }	(553+1)	[7817]		7
1310	Ialil	A516627-C	KM	Ic Ni		904	ZhJp	K6 V	{ 2 }	(B55+2)	[788E]		11
1313	Jdizialia	B454000-0		Ba		002	ZhJp	A1 V	{ -1 }	(500-5)	[0000]		8
1314	Zdarapel	E766000-0		Ga Ba		031	ZhJp	A1 V	{ -3 }	(900-2)	[0000]		16
1315	Enssazi'	A523000-0		Ba Po		014	ZhJp	M0 V M9 V	{ -1 }	(C00-4)	[0000]		18
1316	Iaplpa'tlal	D323566-9		Ni Po O:1315		512	ZhJp	F3 III M3 V	{ -2 }	(744-1)	[6348]		13
1319	Tliaqbrav	A876974-E	KM	Hi In		402	ZhJp	K8 V M5 V	{ 5 }	(B8D-2)	[AE6H]		11
1321	Plietsvie	E556688-4		Ni Ag		720	ZhJp	F0 V M7 V	{ -2 }	(550-5)	[7457]		9
1323	Iashintdria	A354535-E	KM	Ni Ag		203	ZhJp	K0 V	{ 3 }	(948+1)	[184H]		9
1324	Kiroadr	C567687-7		Ni Ag Ri		703	ZhJp	F9 V M8 V	{ 0 }	(756+1)	[7654]		15
1325	Tiak	A569697-A	D	Ni Ri		304	ZhJp	F0 V	{ 3 }	(B59-2)	[894A]		11
1326	Frianjekrizh	B89AA58-E		Wa Hi In		103	ZhJp	F2 V	{ 4 }	(C9C-2)	[FE1B]		11
1328	Zdrint	AA899A6-D		Hi Pr		903	ZhJp	G1 V M9 V	{ 3 }	(B8B+2)	[8C1G]		12
1329	EQASHTEPLI	A8786A7-B	KM	Ni Ag		805	ZhJp	K8 V	{ 3 }	(A58-4)	[397C]		15
1330	Zhdonchiano	C89A453-9	KM	Wa Ni		421	ZhJp	K8 V M3 V	{ 0 }	(734-2)	[444D]		11
1334	Ayssthon	A346856-E	M	Ph Pa Pi		111	Dr	B5 III	{ 2 }	(D75-1)	[3A4A]		11
1338	Tlaibra	E557726-2		Ag		215	ZhJp	K7 V	{ -1 }	(962-1)	[6666]		19
1340	Jifaofr	C758777-7	KM	Ag		812	ZhJp	F1 V M6 V	{ 1 }	(765-3)	[C843]		12
1402	Dlozhti	AA88594-B		Ni Ag Pr		413	ZhJp	F7 V	{ 2 }	(E44+1)	[676B]		11
1403	Ablnits	C446612-8	KM	Ni Ag		223	ZhJp	F2 V M4 V M9 V	{ 0 }	(A53+4)	[4665]		16
1406	Tlinzhfrrfr	B242000-0		Ba Po		004	ZhJp	K0 V	{ -1 }	(800-2)	[0000]		12
1407	Chtiatstats	B558442-7		Ni Pa		611	ZhJp	K9 V M9 V	{ -1 }	(932+1)	[7315]		12
1409	Zhdibliav	C87A774-9	KM	Wa Pi		104	ZhJp	F8 V M9 V	{ 1 }	(A63-1)	[A87C]		15
1410	Pechbre'r	B513000-0		Ic Ba		020	ZhJp	F2 II	{ -1 }	(200-4)	[0000]		5
1412	Chieplans	B5979BB-C	KM	Hi In		925	ZhJp	F3 V M5 V M3 V	{ 5 }	(D8E-1)	[BE6G]		18
1421	Tlozhdevr	E364796-5		Ag Ri (minor)		402	ZhJp	G3 V	{ 0 }	(869-3)	[6795]		11
1422	Aiv	B8B6639-B		Fl Ni		223	ZhJp	G7 V M9 V	{ 1 }	(F56+1)	[974C]		13
1423	Briazdle	A312000-0		Ic Ba O:1323		004	ZhJp	M2 V M8 V	{ -1 }	(500+1)	[0000]		12
1428	Mimklefliez	B966A9A-A	KM	Hi		712	ZhJp	F6 V M9 V	{ 4 }	(A98-1)	[7E19]		12
1431	Dalziaash	B556555-B		Ni Ag		204	ZhJp	M4 V	{ 2 }	(E43+2)	[A75D]		13
1435	Itlezhshadr	C544677-5		Ni Ag		401	ZhJp	F2 V	{ -1 }	(754+1)	[5547]		7
