Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
0619	Shakiavinch	X7B1000-0		Fl He Ba	F	003	ZhMe	K9 VI M4 VI K1 VI	{ -3 }	(600+2)	[0000]		11
0620	Shajzdenchta	C5699DB-9		Hi Pr		123	ZhMe	M9 V BD BD M3 VI	{ 1 }	(D89-3)	[CA26]		14
0714	Fozhenkiebld	E857874-4		Ga Ph Pa		200	ZhMe	M6 II M6 VI BD	{ -2 }	(478-3)	[C691]		9
0715	Iepldliap	C575868-8		Ph Pa Pi		213	ZhMe	G5 V M9 VI M8 VI	{ -1 }	(F72+3)	[673C]		13
0717	Ipla	C683430-6		Ni		401	ZhMe	M9 V	{ -2 }	(730+0)	[1236]		10
0720	Dliafryek	X635000-0		Ba	F	011	ZhMe	F9 V	{ -3 }	(600+1)	[0000]		7
0811	Pliabriadlpa	A764655-C		Ni Ag Ri		214	ZhMe	M1 V BD	{ 3 }	(D58+4)	[59AC]		15
0812	Qe'em	X893000-0		Ba	F	014	ZhMe	M5 V	{ -3 }	(800+0)	[0000]		14
0815	Zhdechpo	X673000-0		Ba	F	023	ZhMe	G7 V M1 VI M1 VI	{ -3 }	(800+1)	[0000]		11
0817	Etsdrnshdi	C66AAC7-B		Wa Hi		121	ZhMe	A9 V F8 V	{ 2 }	(699+1)	[5C78]		11
0818	Tleqlianzh	D000789-8		As Va Na Pi		623	ZhMe	K4 V	{ -2 }	(B67-1)	[7529]		11
0819	Reqlzhdea	X000000-0		As Va Ba	F	000	ZhMe	K6 V	{ -3 }	(600-1)	[0000]		9
0911	Zhde'shtinj	B547647-A	KM	Ni Ag		125	ZhMe	A7 V A3 V	{ 3 }	(C54-4)	[8948]		14
0913	Jichdrietl	B5539B8-7		Hi Po		923	ZhMe	K0 V	{ 1 }	(988-2)	[AA95]		12
0915	Shiantie	C566845-8		Ph Pa Ri		834	ZhMe	K3 IV K9 VI BD	{ 0 }	(D72+0)	[C85A]		16
0917	Tlrdla	B6668C7-8		Ga Ph Pa Ri		413	ZhMe	G1 V G0 VI G3 VI	{ 1 }	(87D+2)	[C936]		13
0918	Echzi	A0008CE-C		As Va Ph Na Pi		514	ZhMe	M4 V	{ 2 }	(975+5)	[5A39]		13
0919	Ninzhshter	A7626AD-B		Ni Ri		112	ZhMe	K5 V BD	{ 2 }	(655+1)	[8819]		12
1011	Entsshodrep	B68A999-C		Wa Hi Pr		221	ZhMe	K9 VI K2 VI M0 VI	{ 3 }	(88A-4)	[8C4E]		11
1012	Iaedl	A632445-D	D	Ni Po		433	ZhMe	K3 V	{ 2 }	(C36+0)	[362A]		13
1014	Ilrevchtin	B000799-B		As Va Na Pi		123	ZhMe	G4 V D	{ 2 }	(G67+0)	[693E]		15
1017	Chiejaze	A766554-C	D	Ga Ni Ag Pr		925	ZhMe	G9 V	{ 3 }	(D46-3)	[787F]		16
1019	Srdlvra	C676636-5		Ni Ag		434	ZhMe	F3 V	{ -1 }	(951-4)	[8526]		15
1020	Stebrzhda	X000000-0		As Va Ba	F	023	ZhMe	K8 III BD	{ -3 }	(700-5)	[0000]		10
1113	Riaqlnelal	A100697-E	KM	Va Ni Na		124	ZhMe	A8 V	{ 2 }	(E55+0)	[485D]		15
1120	Atljiel	X665000-0		Ga Ba	F	010	ZhMe	M5 V	{ -3 }	(500+0)	[0000]		12
1211	Brachiach	D789730-7		Ri		903	ZhMe	K4 V	{ -1 }	(564-2)	[A658]		9
1215	Jetlchte	C737553-B		Ni		105	ZhMe	M0 VI	{ 0 }	(D43+0)	[556E]		14
1217	Jrntzhdanj	C532521-9	KM	Ni Po		300	ZhMe	F6 V M4 V G7 V	{ 0 }	(446+1)	[7559]		11
1219	Pianzhedrbapl	C686877-8	KM	Ga Ph Pa Ri		704	ZhMe	G9 V D	{ 1 }	(C77-1)	[8988]		13
1220	Ia'saie	B575457-9		Ni Pa		124	ZhMe	F7 VI	{ 0 }	(E34+5)	[744B]		14
1311	Stakre	C000797-A	KM	As Va Na Pi		924	ZhMe	F5 VI	{ 2 }	(968+2)	[998D]		16
1314	Briaqrefle	A644658-C	KM	Ni Ag		602	ZhMe	F3 V	{ 3 }	(957+2)	[697B]		15
1315	Ezh Zhdapldr	B643768-9		Pi Po		112	ZhMe	F8 IV	{ 1 }	(A67-3)	[5865]		12
1317	Zdachooj	A42669E-C	D	Ni		104	ZhMe	A7 IV	{ 2 }	(C53-2)	[8858]		10
1318	Oiefrienzh	B649664-A		Ni		504	ZhMe	G5 IV D	{ 1 }	(B53+0)	[272C]		13
1319	Chiasiavl	C73699C-B		Hi		114	ZhMe	K1 V BD	{ 2 }	(98A-1)	[8B6B]		12
1320	Dazshte'tiabr	A554798-8	D	Ag	U	703	ZhMe	K5 V	{ 2 }	(764-2)	[591C]		10
1411	Tachets-10	X665000-0		Ga Ba	F	013	ZhMe	G1 V M2 VI	{ -3 }	(900+0)	[0000]		10
1412	Yiaqlopr	C474584-6	KM	Ni Ag		700	ZhMe	G9 V	{ 0 }	(544+1)	[4566]		7
1413	Lenzhshieqls	B654644-A		Ni Ag		104	ZhMe	M4 V BD M4 VI	{ 2 }	(G57-1)	[2815]		15
1418	Zhdiblet	C441422-A		He Ni Po		202	ZhMe	G6 III	{ 0 }	(831-3)	[5436]		8
1419	Ieblplamef	B757457-C		Ga Ni Pa		623	ZhMe	K0 V D D	{ 1 }	(G35+3)	[95A9]		13
1511	Dlezeble	A545A8C-B		Hi In		604	ZhMe	F5 V	{ 4 }	(A98+2)	[6E1A]		14
1512	Zdad-83	X7B4000-0		Fl Ba	F	010	ZhMe	G1 IV M4 V M3 V	{ -3 }	(300+0)	[0000]		8
1514	Neshabitllen	B542678-A	KM	He Ni Po		911	ZhMe	M1 II	{ 2 }	(B58-1)	[7848]		13
1515	Tsochtia	B98A8CD-B		Wa Ph Ri		300	ZhMe	G0 IV D K1 V	{ 3 }	(47A-1)	[6B5C]		11
1516	Ialiq	C74748A-9	KM	Ni Pa		203	ZhMe	M5 III BD	{ 0 }	(734-2)	[5495]		8
1518	Leshem	C500599-A		Va Ni		712	ZhMe	K4 V	{ 0 }	(546+0)	[252D]		9
1520	Zotstlie	A669888-B	KM	Ph Ri Cp		602	ZhMe	F9 V M2 V	{ 4 }	(57B-4)	[6C79]		13
1613	Shteqrtsiepfa	E674598-7		Ni Ag		424	ZhMe	G2 V	{ -2 }	(540+1)	[83A9]		16
1614	Vintzhedij	D612661-7		Ic Ni Na		100	ZhMe	G1 V	{ -3 }	(952+2)	[6399]		13
1616	Ildlrvlr	B86A759-9		Wa Ri		124	ZhMe	F5 V F5 VI M5 VI	{ 2 }	(A6A+1)	[893A]		11
1711	Zhdatstlensh	C549530-8		Ni		911	ZhMe	G6 V	{ -2 }	(A43+0)	[5344]		13
1712	Pinshia	C877620-8		Ni Ag		405	ZhMe	G8 VI	{ -1 }	(C54+0)	[855A]		16
1816	Tlientsinj	C6346BB-6		Ni		501	ZhMe	A5 Ib A1 V G1 V F8 V	{ -2 }	(551+3)	[4418]		10
1817	Datlieqzde	X100000-0		Va Ba	F	010	ZhMe	G1 V D	{ -3 }	(700-2)	[0000]		6
2013	Pliezheon	X433000-0		Ba Po	F	023	ZhMe	K6 II M0 V	{ -3 }	(600+0)	[0000]		16
2014	Chtrnjshedlt	B97A887-A	KM	Wa Ph Pi		323	ZhMe	G8 V G5 VI G2 VI K8 V	{ 3 }	(D7C-2)	[5B5B]		14
2018	Chopvre	D547674-6		Ni Ag		803	ZhMe	G8 V	{ -2 }	(752+1)	[7449]		8
2020	Staztiafl	E653432-4		Ni Po		213	ZhMe	G2 V	{ -3 }	(530+1)	[1141]		12
2117	Evlna	D777543-7		Ni Ag		320	ZhMe	K4 V	{ -2 }	(741+2)	[3324]		9
2211	Chtiamanzh	A526772-B	KM	Pi	U	224	ZhMe	F9 V G2 VI	{ 3 }	(D6B+0)	[6A4G]		13
2213	Plievliants	C65858C-8		Ni Ag		234	ZhMe	F6 V	{ -1 }	(C42+0)	[1445]		11
2218	Evlstia	B565967-9	KM	Hi Pr		701	ZhMe	G3 V K0 VI	{ 3 }	(A85+1)	[AC5D]		8
2314	Iabli	C583445-5		Ni		214	ZhMe	G8 V K0 VI K8 VI	{ -2 }	(630+0)	[6273]		13
2315	Vrrtlfeqr	E1009AB-9		Va Hi Na In		104	ZhMe	F9 VI K5 VI	{ 1 }	(98C+0)	[6A9D]		9
2316	Kliastia	C548679-8		Ni Ag		203	ZhMe	G7 IV M0 V	{ -1 }	(C53+0)	[3557]		15
2318	Rtetsdlep	A9A8754-D		Fl		301	ZhMe	G7 V K0 VI	{ 2 }	(669+4)	[A95F]		10
2319	Chtieqladl	CA9A559-B	KM	Oc Ni		213	ZhMe	K0 V	{ 1 }	(G47-2)	[4679]		7
2320	Qeplbliansh	A8B4663-B	KM	Fl Ni		724	ZhMe	M0 V	{ 2 }	(857-3)	[6859]		12
2412	Drintstlenzh	C534899-8		Ph		203	ZhMe	F7 VI K8 VI	{ -1 }	(A76+3)	[5744]		7
2415	Sitsyrb	B43466A-B	KM	Ni		524	ZhMe	G2 V K4 V	{ 2 }	(H57+1)	[688C]		15
2417	Ianzhqrol	B735731-6				224	ZhMe	K9 V	{ 0 }	(A6C+2)	[6796]		14
2419	Flebzhdij	D679520-8		Ni		821	ZhMe	K3 V D K5 V	{ -3 }	(D41-2)	[9227]		10
2513	Shtiblol	C6549A8-8		Hi		800	ZhMe	K6 V	{ 0 }	(582+0)	[994D]		5
2516	Denshpabltli	A8A0510-D	KM	He Ni		220	ZhMe	G0 V	{ 2 }	(C45+1)	[277F]		11
2517	Zhashtrbr	A9CA8AE-C	KM	Fl Ph		103	ZhMe	G4 V M4 V	{ 3 }	(978+4)	[CB38]		8
2518	Tseshsteqrint	B97A420-D		Wa Ni		404	ZhMe	F9 V K0 VI	{ 1 }	(B33+0)	[758D]		11
2520	Dinchshivl	C448553-A		Ni Ag		203	ZhMe	F9 III	{ 1 }	(742-1)	[8659]		13
2611	Zhezhviev	B8A7A56-E		Fl Hi In		900	ZhMe	K3 IV K0 V	{ 4 }	(69B+3)	[7E7A]		7
2612	Blirqr	C679694-9		Ni		102	ZhMe	K0 V M8 VI	{ -1 }	(E50-2)	[4539]		13
2613	Bliampienshd	A510666-D		Ni Na		623	ZhMe	F6 V G7 VI G1 VI	{ 1 }	(G56-1)	[575G]		8
2619	Peprka	B65A99A-D	KM	Wa Hi		602	ZhMe	G1 V M4 VI K7 V D	{ 4 }	(C8D-5)	[AD6C]		10
2711	Yanazhvlieql	C444422-6		Ni Pa		104	ZhMe	M5 V BD	{ -2 }	(433-2)	[7236]		14
2713	Drenskiashen	AA65545-8		Ni Ag Pr		714	ZhMe	K4 V	{ 0 }	(D43+1)	[3569]		15
2716	Ejiajdapl	B668530-B	KM	Ni Ag Pr		224	ZhMe	K3 V M0 VI	{ 3 }	(B44+4)	[487A]		10
2719	Iezdeshrbr	C665622-6	KM	Ga Ni Ag Ri		400	ZhMe	F2 V G1 VI F4 V	{ 1 }	(556-1)	[A778]		7
2720	Ivistopr	A535645-B		Ni		412	ZhMe	K1 V K3 VI	{ 1 }	(A57+3)	[576B]		12
2811	Ezh Yiereja	A5376A7-C	KM	Ni		221	ZhMe	F6 VI	{ 2 }	(A56+4)	[989F]		7
2815	Iplshtidrfivr	A86877A-B	D	Ag Ri Cp		203	ZhMe	K4 V M3 VI M1 VI	{ 5 }	(66E+1)	[7C7G]		13
2816	Zianchs-42	X645000-0		Ba	F	012	ZhMe	M7 II	{ -3 }	(700-3)	[0000]		9
2818	Iadrdre	A527848-C	KM	Ph Pi		323	ZhMe	F6 V K5 V	{ 3 }	(D77+1)	[AB6B]		15
2913	Jitsdezdinsh	B458655-8		Ni Ag		302	ZhMe	G3 V G0 VI G7 V	{ 0 }	(D53-1)	[4656]		9
2914	Briabrvlria	B4479B8-C		Hi In		202	ZhMe	G4 V	{ 4 }	(989+3)	[9D3A]		10
2916	Krntsrv	D97868A-6		Ni Ag		400	ZhMe	A2 Ib F7 V	{ -2 }	(851+1)	[B466]		7
2918	Stiamrfr	B652777-8	KM	Po		523	ZhMe	F4 V	{ 1 }	(C6A+0)	[C878]		16
3012	Zenchdref	A647669-8	KM	Ni Ag		125	ZhMe	K3 III	{ 1 }	(E54-2)	[3787]		12
3014	Anzhej	A525655-E		Ni		312	ZhMe	K7 V M3 VI K0 VI	{ 1 }	(C52-2)	[474E]		12
3020	Tlibrdish	A654769-C	KM	Ag		635	ZhMe	M6 V BD BD	{ 4 }	(K6B-2)	[BB5D]		14
3112	Vrecha	C524887-8		Ph Pi		110	ZhMe	G6 VI G8 VI G0 VI	{ -1 }	(771+0)	[374C]		8
3113	Bievransh	X528000-0		Ba	F	012	ZhMe	G1 IV M3 V	{ -3 }	(B00+4)	[0000]		12
3114	Naiaqrtla	B531754-A	KM	Na Po		322	ZhMe	M3 V D D BD	{ 3 }	(A69+1)	[2A4D]		15
3116	Zhiedlazdi	A87A666-B		Wa Ni		724	ZhMe	M6 II D M0 V	{ 1 }	(H54+0)	[676A]		14
3119	I'de	B51089D-9		Ph Na Pi		110	ZhMe	M9 V	{ 1 }	(978+3)	[995B]		6
3216	Iekrzh	A652546-D		Ni Po		312	ZhMe	M4 V BD BD	{ 1 }	(D44+2)	[867G]		14
0226	Pokrchtiens	A88479C-B	KM	Ag Ri		112	ZhMe	K4 V M5 VI	{ 5 }	(96F+0)	[AC87]		11
0227	Pleshtseikr	E657465-5		Ga Ni Pa	U	500	ZhMe	A4 V F7 VI	{ -3 }	(330-1)	[1161]		8
0228	Ieplzensh-1	X100000-0		Va Ba	F	002	ZhMe	K5 V M0 VI	{ -3 }	(A00-5)	[0000]		12
0322	Denshfafrenzh	C45A654-9	KM	Wa Ni		101	ZhMe	G9 V K0 VI	{ 0 }	(452+0)	[3689]		5
0323	Erpr	X635000-0		Ba	F	020	ZhMe	M2 V BD BD	{ -3 }	(600+0)	[0000]		11
0325	Dajda	B313987-E		Ic Hi Na In		203	ZhMe	G5 V M4 VI	{ 4 }	(78B-1)	[DD7C]		8
0330	Chienzhva	B65299A-B		Hi Po		324	ZhMe	M3 V	{ 3 }	(A8C+4)	[CC47]		15
0421	Diachtiazh	C646544-6		Ni Ag		101	ZhMe	G6 V	{ -1 }	(742-1)	[6427]		14
0424	Proshtlastiej	C100454-B		Va Ni		522	ZhMe	G7 V	{ 0 }	(936+1)	[946A]		16
0427	Rdlie	D767644-1		Ga Ni Ag Ri		602	ZhMe	G0 IV	{ -1 }	(351+1)	[5541]		13
0428	Chtantne	DA8A7AA-6		Oc Ri		102	ZhMe	K1 IV M7 V	{ -1 }	(567-4)	[8625]		6
0521	Ishjivr	AAA67A9-C	KM	Fl		510	ZhMe	K4 V	{ 3 }	(A6A-3)	[4A7A]		5
0522	Jekrshel	B422A64-E	KM	He Hi Na In Po Cp		100	ZhMe	G5 V M8 VI	{ 5 }	(B9B-2)	[6F9J]		3
0524	Jebrr	B766888-7	KM	Ga Ph Pa Ri		321	ZhMe	F5 V	{ 2 }	(976+3)	[4A16]		8
0525	Dletavldar	C5525AD-7		Ni Po		924	ZhMe	K8 V	{ -2 }	(541+2)	[3397]		15
0528	Tledliepliet	B59A847-B		Wa Ph Pi		111	ZhMe	G0 V M9 VI	{ 2 }	(579-5)	[4A7D]		11
0621	Zdonshshtiql	A47956A-E		Ni		124	ZhMe	F7 V	{ 1 }	(F47-1)	[568H]		15
0622	Vriae	B656434-7	KM	Ga Ni Pa		603	ZhMe	G6 V M3 V	{ 0 }	(533+1)	[4454]		9
0625	Zhdoie	B167565-C		Ni Ag Pr		701	ZhMe	G4 IV	{ 2 }	(845+0)	[978A]		8
0626	Zdeblets	A635732-A	KM			324	ZhMe	G7 V	{ 3 }	(D6C-1)	[5A4B]		13
0630	Tlevria-92	X644000-0		Ba	F	013	ZhMe	G8 VI M3 VI	{ -3 }	(900+5)	[0000]		12
0723	Iebe	D698500-7		Ni Ag		305	ZhMe	K2 V M5 VI	{ -2 }	(642+1)	[6358]		13
0725	Ozfefli	A565966-E	KM	Hi Pr		412	ZhMe	K2 V M0 VI	{ 4 }	(A87-3)	[AD8E]		11
0726	Nedrieatl	E56A689-5		Wa Ni Ri		300	ZhMe	K0 V	{ -2 }	(751+0)	[6432]		5
0727	Zhdafshtefle	A577478-C	KM	Ni Pa	U	313	ZhMe	K7 V M1 V	{ 2 }	(833+0)	[166B]		9
0729	Ieflanchzhdia	A437796-C	KM			222	ZhMe	K1 IV	{ 3 }	(C69+3)	[7A6E]		13
0821	Prendif	X798000-0		Ba	F	024	ZhMe	F2 V K3 VI K4 VI	{ -3 }	(B00+3)	[0000]		10
0925	Kechiaql	A420A54-G	D	De He Hi Na In Po Cp		624	ZhMe	K3 VI	{ 6 }	(B99-2)	[5G8C]		14
0930	Tlieldro	D427578-8		Ni		824	ZhMe	G4 VI	{ -3 }	(B40-2)	[825B]		14
1223	Oflchtenzh	C636478-A		Ni		305	ZhMe	A9 Ia	{ 0 }	(A36+1)	[547A]		13
1224	Yonshiab	C654788-6		Ag		110	ZhMe	G1 V K1 VI	{ 0 }	(965-4)	[6778]		11
1321	Zhdiplekrsht	X546000-0		Ba	F	010	ZhMe	G3 V	{ -3 }	(400-2)	[0000]		11
1329	Sible'sr	A4236B8-C	KM	Ni Na Po		123	ZhMe	G1 V G9 VI	{ 2 }	(B56+3)	[4858]		13
1428	Zhdiechplets	E312767-7		Ic Na Pi		304	ZhMe	K4 V	{ -2 }	(867-1)	[4537]		14
1530	Dlildrinz	B464841-B		Ph Pa Ri		123	ZhMe	M4 V	{ 3 }	(A7C-1)	[5B7A]		13
1626	Ikrfle	C5519DD-5		Hi Po	U	713	ZhMe	A1 V K3 VI F4 V	{ 0 }	(687+2)	[C911]		14
