Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W
Stor	A	0510	Erranar	B5A19DD-9	KM	Bo Fl Fo He Hi In 	R	100	Ge	G9 V 	{ 4 }	(289-3)	[486E]		3
Stor	A	0602	Zed Prime	C566776-8	S	Ag Pz Ri Sa 	A	124	NaHu	G7 V G8 V K8 V M0 V D 	{ 1 }	(F6D-2)	[6369]		18
Stor	A	0603	100-915	X100000-0		Ba Fr Tz Va 		000	NaXX	M5 V BD 	{ -3 }	(200-5)	[0000]		5
Stor	A	0604	Urruussu	X200000-0		Ba Fo Fr Sa Va 	R	001	NaXX	K8 V M3 V 	{ -3 }	(200-5)	[0000]		8
Stor	A	0605	Repanyon	X558000-0		Ba Ho Tz 		033	NaXX	M6 V 	{ -3 }	(200-5)	[0000]		13
Stor	A	0606	Grellokh	X888000-0		Ba Co Fo 	R	002	NaXX	K9 V 	{ -3 }	(200-5)	[0000]		6
Stor	A	0608	7AA-679	X7AA000-0		Ba Fl 		003	NaXX	G4 V 	{ -3 }	(200-5)	[0000]		8
Stor	A	0609	Nevissa	D552222-7		Lo Po 		824	NaHu	K4 V M5 V 	{ -3 }	(910+5)	[7122]		11
Stor	A	0610	301-921	E301000-0		Ba Fr Ic Va 		003	NaXX	M5 V M8 V 	{ -3 }	(200-5)	[0000]		11
Stor	A	0701	Ulchamuru	C57A785-8	E	Co Pi Tz Wa (Chamru) 		423	NaXX	K7 V K8 V 	{ -1 }	(868+2)	[6147]		11
Stor	A	0702	Garpassi	BA69536-8	K	Ni Pr Zaru9 		221	NaHu	K5 V M4 V 	{ -1 }	(E41-1)	[6145]		16
Stor	A	0704	Raskennen	C899A77-B		Hi In Pz (Zaru) 	A	122	NaHu	K0 V M2 V 	{ 3 }	(D99-3)	[C846]		11
Stor	A	0710	Ladrasso	AAB5859-C	K	Fl Ho Ht Ph 		502	NaHu	M3 III K5 V 	{ 2 }	(B7B-1)	[756A]		12
Stor	A	0802	Fuuramma	E776100-7		Lo Tz 		300	NaHu	M5 V 	{ -3 }	(400-2)	[6168]		9
Stor	A	0803	Bandor	B879566-C	K	Da Ht Ni ZaruW O:0704	A	500	NaHu	K9 V 	{ 1 }	(947-1)	[116C]		5
Stor	A	0809	Yarvaan	B877888-B	MS	Fr Pa Ph Pi Tz 		724	NaHu	M7 V 	{ 2 }	(F7B+1)	[8549]		15
Stor	A	0810	Karbassi	A545943-B	M	Co Hi In Zaru3		400	NaHu	G9 V K8 V 	{ 4 }	(389-1)	[686D]		6
Stor	B	0903	Yarballa	E777400-6		Co Ni Pa Tu Zaru4		220	NaHu	G6 V M7 V 	{ -3 }	(930-1)	[7166]		8
Stor	B	0905	Aiken	BAA68AE-B		Fl Ho Ph Pz Zaru6	A	224	NaHu	G8 V M3 V 	{ 2 }	(J77+1)	[7526]		12
Stor	B	0908	Burnaddett	D978588-5		Ag Lt Ni Tz Zaru5		803	NaHu	M5 V 	{ -2 }	(344+1)	[A166]		8
Stor	B	1002	Lysien	C787121-6		Co Ga Lo Tu Tz 		722	NaHu	K3 V M7 V BD M7 V BD 	{ -2 }	(C00+5)	[615A]		8
Stor	B	1004	Garfa Lun	E200000-0		Ba Fr Sa Va 		002	NaHu	F6 V 	{ -3 }	(200-5)	[0000]		9
Stor	B	1005	Belphaen	C545955-9		Co Hi In Tz 		702	NaHu	M2 V 	{ 2 }	(488-1)	[9637]		13
Stor	B	1006	Tlinkamas	X9A9731-3		Co Fl Fo Lt Tz (Quamish) 	R	904	NaXX	M3 V 	{ -2 }	(C61+1)	[A198]		10
Stor	B	1010	Herron	E866000-0		Ba Co Ga Tu 		000	NaXX	M1 V M4 V 	{ -3 }	(200-5)	[0000]		5
Stor	B	1108	Nartaenyean	X733000-0		Ba Po Tz 		000	NaXX	G7 V 	{ -3 }	(200-5)	[0000]		7
Stor	B	1109	Korbi Lun	E211000-0		Ba Co Ic Sa 		004	NaXX	K4 V 	{ -3 }	(200-5)	[0000]		9
Stor	B	1110	Rais	C9C9354-B	S	Fl Lo 		402	NaHu	F8 V G0 V G5 V 	{ 0 }	(720+3)	[6168]		10
Stor	B	1207	Farashan	X778753-0	C	Ag Fo Lt Pi Tz (Guixi) 	R	703	NaXX	K6 V 	{ -1 }	(267-1)	[8195]		11
Stor	B	1304	Red Burn	X7C9000-0		Ba Fl 		000	Ar	F7 V 	{ -3 }	(200-5)	[0000]		8
Stor	B	1308	Laguna	X663674-3		Fo Lt Ni Ri Tz 	R	824	NaHu	K9 V M0 V M3 V 	{ -2 }	(B52+2)	[B148]		14
Stor	B	1309	Darin	D688579-5		Ag Co Lt Ni Pr MR		732	NaHu	M4 V 	{ -2 }	(942+1)	[A175]		8
Stor	B	1310	975-654	X975000-0		Ba Co Sa Tu 		003	NaXX	K4 V M5 V K4 V 	{ -3 }	(200-5)	[0000]		8
Stor	B	1403	Aurea	A3419C9-C	K	Cx He Hi Ht In Po 		123	Ar	G9 V M1 V 	{ 4 }	(78A+1)	[6848]		8
Stor	B	1405	Etriea	B898210-B	K	Lo 		304	Ar	K9 V K9 V 	{ 1 }	(D11-1)	[7148]		15
Stor	B	1406	Libre	D6AA320-8		Fl Ho Lo Tz 		700	NaHu	M1 V M2 V 	{ -3 }	(420+5)	[7147]		5
Stor	B	1502	Van Lessma	A000513-D	M	As Co Ht Ni Va 		712	Ar	G0 V G7 V 	{ 1 }	(F42-1)	[113B]		10
Stor	B	1505	Shandilar	B69A558-C	M	Co Ht Ni Wa 		121	Ar	M7 V BD 	{ 1 }	(D42-2)	[4117]		11
Stor	B	1602	Krannert	C8A88AC-A		Fl Fr Ph Pz Sa 	A	403	NaHu	A5 V 	{ 1 }	(A79+1)	[9447]		11
Stor	B	1603	Danforth	C995468-9		Ni Pa O:1403		921	Ar	K1 V K5 V 	{ -1 }	(A31+1)	[514D]		11
Stor	B	1605	Jericho	BA85367-B	KM	Co Da Lo O:1403	A	503	Ar	G5 V M4 V 	{ 2 }	(F22-5)	[6177]		6
Stor	B	1607	Gizella	B943665-A	M	Fr Ni Po O:1403		200	Ar	M1 V BD 	{ 1 }	(C54-1)	[B24A]		12
Stor	C	1705	At'ts'tu	X69A79B-0	C	Fo Lt Pi Wa (At'ts'tii) 	R	804	NaXX	K9 V K9 V 	{ -2 }	(565+1)	[B173]		16
Stor	C	1708	Arros	B000565-C	M	As Fr Ht Ni Va O:1403		613	Ar	G7 V G9 V 	{ 1 }	(845-1)	[117B]		9
Stor	C	1807	Nilse Station	B000310-C		As Ht Lo Va 		802	Ar	K8 V M9 V M5 V 	{ 1 }	(421+5)	[5159]		6
Stor	C	1808	Tyn	X7C4000-0		Ba Bo Fl 		022	Ar	G1 V G7 V 	{ -3 }	(200-5)	[0000]		10
Stor	C	1810	Scytha	X975676-0		Ag Fo Lt Ni (Slungill) 	R	602	NaXX	M3 V 	{ -2 }	(254-2)	[B195]		10
Stor	C	1902	Requim	B6689DH-7		Fo Hi Ho Pr Tz 	R	601	NaHu	K7 V 	{ 1 }	(A88+1)	[4568]		6
Stor	C	1906	Embra	XB897BC-2		Fo Ho Lt Ri Tz (Imirici) 	R	610	NaXX	M5 V BD 	{ -1 }	(C64-2)	[5187]		10
Stor	C	1909	Bascan	A9A6363-C	K	Co Fl Ht Lo Sa O:1403		301	Ar	K4 V 	{ 1 }	(321+3)	[614A]		10
Stor	C	2002	8A2-319	X8A2000-0		Ba Bo Fl He 		000	NaXX	K5 V 	{ -3 }	(200-5)	[0000]		4
Stor	C	2010	Kankras	XAA6000-0		Ba Fl Ho 		001	NaXX	M6 V 	{ -3 }	(200-5)	[0000]		4
Stor	C	2107	Nanlun	B411789-C		Fr Ht Ic Na Pi Sa 		112	NaHu	G1 V K5 V 	{ 2 }	(565+1)	[944A]		10
Stor	C	2201	435-720	E435000-0		Ba 		004	NaXX	M2 V 	{ -3 }	(200-5)	[0000]		11
Stor	C	2205	534-971	X534000-0		Ba Co 		003	NaXX	K7 V M2 V 	{ -3 }	(200-5)	[0000]		13
Stor	C	2209	Riesling	D977779-6		Ag Pi Tz 		324	NaHu	K9 V M7 V 	{ -1 }	(465-3)	[7167]		10
Stor	C	2210	Trippel	E5A7000-0		Ba Fl Fr 		004	NaXX	G5 V K5 V K7 V 	{ -3 }	(200-5)	[0000]		9
Stor	C	2302	Brinkman	E200000-0		Ba Fr Sa Va 		002	NaXX	F6 V D 	{ -3 }	(200-5)	[0000]		7
Stor	C	2305	Champian	DAB589A-3	E	Bo Fl Lt Ph Tz (Mucalin) 		900	NaXX	M5 V M5 V 	{ -2 }	(C77-1)	[8148]		5
Stor	C	2402	Argent	C962320-7		Ho Lo Tz 		103	NaHu	M5 V 	{ -2 }	(B20+5)	[815B]		10
Stor	C	2404	Suttern	D323435-9	S	An Ho Ni Po Tz 		303	NaHu	M3 V 	{ -2 }	(C30+1)	[615C]		8
Stor	C	2405	Sargasso	D86A456-5		Co Lt Ni Wa 		203	NaHu	M0 V 	{ -3 }	(A31+5)	[714A]		10
Stor	D	2601	410-352	E410000-0		Ba Fr 		001	NaXX	K2 V D M5 V 	{ -3 }	(200-5)	[0000]		6
Stor	D	2605	Eloise	C867535-5		Ag Co Ga Lt Ni Pr Tu 		722	NaHu	K7 V 	{ -1 }	(744-3)	[5178]		9
Stor	D	2607	897-200	X897000-0		Ba Co Tu Tz 		021	NaXX	M3 V M9 V 	{ -3 }	(200-5)	[0000]		12
Stor	D	2610	Brandon	D000400-C		As Fr Ht Ni Va 		723	NaHu	M6 V BD 	{ -1 }	(C34+1)	[4148]		9
Stor	D	2706	300-692	E300000-0		Ba Bo Tz Va 		000	NaXX	M5 V 	{ -3 }	(200-5)	[0000]		3
Stor	D	2708	Noah	X756578-5		Ag Fo Ga Lt Ni 	R	201	NaHu	M1 V 	{ -2 }	(240+1)	[31AA]		8
Stor	D	2709	Eberg	C200425-A		Co Ni Va 		201	NaHu	G5 V M2 V 	{ 0 }	(336+2)	[515A]		8
Stor	D	2804	999-718	E999000-0		Ba Co Tz 		024	NaXX	K7 V 	{ -3 }	(200-5)	[0000]		10
Stor	D	2807	Melvil	D876688-4		Ag Co Lt Ni Tu 		202	NaHu	M1 V 	{ -2 }	(252+1)	[3169]		7
Stor	D	2810	Burgin	CAA7535-A		Co Fl Ni 		602	NaHu	K8 V M3 V K8 V 	{ 0 }	(A41+1)	[7148]		11
Stor	D	2905	Quinluna	XBA66AB-1	C	Fl Fo Lt Ni (Kunodu) 	R	102	NaXX	G8 V 	{ -3 }	(C50-3)	[6165]		9
Stor	D	2907	Phoenix	B5A1455-D	E	Fl He Ho Ht Ni RsG Hive2 		904	NaHu	G6 V D 	{ 1 }	(B34+1)	[317B]		8
Stor	D	3001	Sapphire Disk	X000000-0		As Ba Fo Va 	R	012	NaXX	B4 V 	{ -3 }	(200-5)	[0000]		15
Stor	D	3002	Giskard	E300000-0		Ba Fr Sa Va 		024	NaXX	M4 V M9 V 	{ -3 }	(200-5)	[0000]		10
Stor	D	3101	Skyfair	BA7A332-C		Da Ho Ht Lo Oc Tz Hive3 Zaru4 	A	403	CsHv	K2 V 	{ 1 }	(F21+3)	[515B]		9
Stor	D	3103	200-768	X200000-0	E	Ba Bo Sa Va 		021	NaXX	M5 V 	{ -3 }	(200-5)	[0000]		6
Stor	D	3104	Simar	C200453-C		Fr Ht Ni Sa Va 		724	NaHu	M6 V 	{ 0 }	(833+3)	[117G]		14
Stor	D	3109	Ekkar	A595459-E	KV	Ht Ni Pa Tz Hive2 Ithk3 		820	CsHv	M3 V 	{ 2 }	(634-2)	[2139]		6
Stor	D	3201	Margin	C866232-6		Ga Ho Lo Tr Tz 		413	NaHu	M6 V 	{ -2 }	(C10-3)	[4153]		8
Stor	D	3203	Malth	CB7847A-A		Da Ho Ni Pa Tz 	A	410	NaHu	M3 V 	{ 0 }	(D32+1)	[219B]		8
Stor	D	3204	Antil	D873542-6		Co Ni Tu 		521	NaHu	K7 V 	{ -3 }	(840+1)	[5178]		9
Stor	D	3208	Larren	D445531-5		Ag Lt Ni 		612	NaHu	M0 V 	{ -2 }	(240+2)	[3188]		11
Stor	E	0113	Ordennon	D9779AA-4		Hi In Lt Tz 		903	NaHu	M1 V 	{ 0 }	(78B-2)	[4479]		9
Stor	E	0211	Datong	C335555-7		Co Da Ni 	A	520	NaHu	M3 V 	{ -2 }	(441-3)	[1199]		8
Stor	E	0215	6A6-429	X6A6000-0		Ba Fl Fr 		022	NaXX	M8 V BD 	{ -3 }	(200-5)	[0000]		14
Stor	E	0216	Ganbellcor	CA63410-9	M	Co Ni 		700	NaHu	G7 V 	{ -1 }	(835+5)	[5128]		5
Stor	E	0217	79A-615	X79A000-0		Ba Co Wa 		000	NaXX	K7 V 	{ -3 }	(200-5)	[0000]		5
Stor	E	0219	Gabbon	C623300-8		Lo Po 		800	NaHu	G6 V 	{ -2 }	(520+1)	[2143]		8
Stor	E	0312	Urfan	C694A9A-B		Hi Ho In Tr (Sooluk) 		322	NaXX	K7 V 	{ 3 }	(699-4)	[5879]		7
Stor	E	0314	Ephran	B99A455-A		Ho Ni Wa 		721	NaHu	M1 V 	{ 1 }	(E33+4)	[412A]		9
Stor	E	0318	Arloop	B44668A-C	MS	Ag Co Ht Ni 		403	NaHu	K3 V 	{ 2 }	(854+1)	[A31C]		9
Stor	E	0320	Shanlun	C31169B-7		Co Da Ic Na Ni Sa 	A	202	NaHu	K9 III K4 V K3 V 	{ -2 }	(352-2)	[415A]		5
Stor	E	0412	78A-297	X78A000-0		Ba Fr Tz Wa 		004	NaXX	M5 V 	{ -3 }	(200-5)	[0000]		7
Stor	E	0413	625-601	X625000-0		Ba Co Tz 		002	NaXX	M4 V 	{ -3 }	(200-5)	[0000]		7
Stor	E	0414	Durango	D5129AD-9		Co Hi Ic In Na 		103	NaHu	G8 V K0 V K8 V 	{ 1 }	(585-4)	[5589]		11
Stor	E	0418	Halfway	D778200-5		Co Lo Lt 		104	NaHu	K8 V 	{ -3 }	(910+4)	[7145]		10
Stor	E	0420	210-484	X210000-0		Ba Fr 		022	NaXX	K3 V M0 V K5 V 	{ -3 }	(200-5)	[0000]		8
Stor	E	0512	Ramni	A400731-C	KM	Ht Na Pi Va 		203	NaHu	K2 V 	{ 3 }	(568+1)	[955C]		8
Stor	E	0514	Hermosa	C9A7546-8		Co Fl Ni Tz 		822	NaHu	M9 V 	{ -2 }	(C42+1)	[119B]		11
Stor	E	0516	Yaslin	C7B0400-9		Bo He Ni 		103	Bp	K8 V 	{ -1 }	(A30+4)	[7169]		7
Stor	E	0612	Ordinal	CA77331-7		Co Lo Tz 		623	NaHu	M3 V 	{ -2 }	(920-1)	[1177]		13
Stor	E	0614	Meguropa	C776534-8		Ag Fr Ni 		303	Bp	M0 V 	{ -1 }	(A45+1)	[8157]		8
Stor	E	0615	Bareen	A679887-B	KM	Cx Ph Pi Tz 		101	Bp	M2 V M2 V M9 V 	{ 3 }	(478+2)	[8636]		8
Stor	E	0616	Karto Lun	C210368-B	M	Co Lo Sa O:0615		303	Bp	M7 V 	{ 0 }	(520+3)	[6128]		10
Stor	E	0711	Gaterra	AAA0998-C	M	Bo He Hi Ht In Zaru2		220	NaHu	G9 V 	{ 4 }	(48A+1)	[6827]		7
Stor	E	0712	Duat	DCA7979-7	C	Bo Fl Hi In (Irba) 		823	NaXX	M5 V 	{ 0 }	(987+1)	[E46B]		16
Stor	E	0713	547-401	X547000-0		Ba Ho 		004	NaXX	M0 V 	{ -3 }	(200-5)	[0000]		7
Stor	E	0715	Trios	EABA7A9-4		Co Fl Lt (Albula) 		932	NaXX	M2 V BD 	{ -2 }	(B66-1)	[2189]		12
Stor	E	0717	Elma	B479844-B	M	Co Ph Pi 		602	NaHu	M3 V 	{ 2 }	(A7A+1)	[553C]		8
Stor	E	0718	Rosamontana	C876442-8		Co Ni Pa Tu Tz 		303	Bp	M2 V 	{ -2 }	(D32+1)	[414C]		11
Stor	E	0719	Nellis	E676000-0		Ba Co Tu 		014	Bp	F9 V BD 	{ -3 }	(200-5)	[0000]		10
Stor	E	0720	Castralon	AAA4569-B	K	Bo Fl Ni O:0615		123	Bp	K2 V M5 V BD 	{ 1 }	(D43+1)	[415A]		11
Stor	E	0813	Brettaegon	E67A752-5	C	Lt Pi Wa 		223	NaHu	G7 V 	{ -2 }	(A66+3)	[4168]		12
Stor	E	0814	Karpen Belt	B000757-B	KM	As Bo Na Pi Va 		600	Bp	G3 V K9 V 	{ 3 }	(C6D+1)	[758A]		5
Stor	E	0816	Yaren	B874457-B		Co Ni Pa Tu 		424	Bp	K3 V 	{ 1 }	(F32+3)	[614A]		13
Stor	E	0817	Unbar	EAA3000-0		Ba Bo Fl Tz 		002	Bp	G5 V 	{ -3 }	(200-5)	[0000]		7
Stor	F	0911	Uritrudi	D879722-3		Co Lt Pi 		105	NaHu	K7 V D M0 V 	{ -2 }	(A62+1)	[C175]		10
Stor	F	0914	Valence	C98A368-B	M	Lo Tz Wa O:0615		102	Bp	M5 V 	{ 0 }	(A20+1)	[3149]		11
Stor	F	1012	Yessil	D662223-4		Lo Lt 		401	NaHu	K0 V 	{ -3 }	(310+5)	[4169]		9
Stor	F	1018	Bendahl	ABD988B-C	KM	Ht Ph Tz Zaru2 		300	NaHu	M5 V 	{ 3 }	(C7B-2)	[564A]		6
Stor	F	1019	6AA-651	E6AA000-0		Ba Fl Fr 		001	NaXX	G7 V G7 V K5 V 	{ -3 }	(200-5)	[0000]		10
Stor	F	1020	Burban	C877754-5	M	Ag Ho Lt Pi Tr 		304	NaHu	M4 V 	{ 0 }	(368+3)	[7268]		7
Stor	F	1114	Eos	E9A4000-0		Ba Fl 		004	NaXX	G7 V K8 V M5 V 	{ -3 }	(200-5)	[0000]		14
Stor	F	1117	Brondig	D549734-6		Pi Tz 		103	NaHu	K8 V K9 V 	{ -2 }	(568-1)	[4168]		11
Stor	F	1120	9A6-610	X9A6000-0		Ba Fl Fr 		000	NaXX	K1 V 	{ -3 }	(200-5)	[0000]		5
Stor	F	1212	Irbonnari	C410348-C		Fr Ht Lo Sa 		404	NaHu	M1 V 	{ 0 }	(820+2)	[517D]		7
Stor	F	1213	Sirocco	C761475-8		Ho Ni Tz 		802	NaHu	M8 V M8 V 	{ -2 }	(A34+1)	[7179]		7
Stor	F	1216	Damon	B200444-C		Bo Ht Ni Sa Va 		703	NaHu	M0 V 	{ 1 }	(536+3)	[915G]		6
Stor	F	1219	Nebraska	B974776-8		Ag Ho Pi Tr 		222	NaHu	K5 V 	{ 1 }	(E64+1)	[C338]		10
Stor	F	1220	544-498	X544000-0		Ba Ho Tz 		012	NaXX	M5 V 	{ -3 }	(200-5)	[0000]		11
Stor	F	1311	Karpal	B7A7788-8	M	Fl Pz Sa 	A	723	NaHu	K0 V M7 V 	{ 0 }	(967+2)	[6258]		9
Stor	F	1313	Huygens	D7A259C-8		Da Fl Fr He Ni 	A	800	NaHu	M3 V M8 V M7 V 	{ -3 }	(740-2)	[5147]		10
Stor	F	1412	Darington	B855553-B	KM	Ag Ga Ho Ni Tr Tz 		822	NaHu	K9 V 	{ 3 }	(D47-2)	[435B]		12
Stor	F	1414	Cerulean	B7A3200-D	S	Fl Fr Ht Lo 		600	NaHu	B9 VI BD 	{ 1 }	(811+4)	[314C]		7
Stor	F	1420	Re'anorb	C6A466B-9	M	Da Fl Ni O:1423	A	904	Me	K8 V 	{ -1 }	(653-1)	[2146]		12
Stor	F	1513	Larrissa	B857736-8	M	Ag Co Ga Tu Tz 		200	NaHu	M8 V 	{ 1 }	(964-1)	[7325]		3
Stor	F	1515	Prospect	C67A256-B		Co Lo Wa 		424	NaHu	G4 V K7 V D 	{ 0 }	(B10+4)	[3159]		9
Stor	F	1518	Orandur	A87A88A-C	K	Co Cx Ht Ph Pi Tz Wa 		502	Ou	M2 V 	{ 2 }	(D7C+1)	[456D]		6
Stor	F	1611	Kudzu	X89A000-0		Ba Fo Tz Wa 	R	013	NaXX	M1 V 	{ -3 }	(200-5)	[0000]		13
Stor	F	1615	Outlander	X9A3000-0		Ba Bo Fl 		000	NaXX	G3 V G3 V 	{ -3 }	(200-5)	[0000]		7
Stor	F	1618	Leblank	C56876A-8	M	Ag Co Pz Ri Tz O:1518	A	210	Ou	M2 V 	{ 1 }	(665-1)	[5385]		8
Stor	G	1713	Gulbannka	BCB4311-C		Bo Fl Ht Lo Tz Zaru3 		204	NaHu	K6 V 	{ 1 }	(G21+1)	[8137]		12
Stor	G	1714	Distal	CB66588-7		Ag Ni Pr Tz Zaru3 		302	NaHu	M5 V 	{ -1 }	(743-3)	[612B]		12
Stor	G	1716	AD8-194	XAD8000-0		Ba Ho Tz 		000	NaXX	M5 V 	{ -3 }	(200-5)	[0000]		5
Stor	G	1717	101-404	X101000-0		Ba Fr Ic Va 		004	NaXX	F0 V G8 V 	{ -3 }	(200-5)	[0000]		16
Stor	G	1719	Kennison	B675469-A	M	Co Da Ni Pa Tu O:1518	A	501	Ou	M2 V M2 V M4 V 	{ 1 }	(B34-1)	[1166]		6
Stor	G	1720	Barrett	C401300-A		Fr Ic Lo Sa Va 		602	NaHu	G8 V D 	{ 0 }	(420-1)	[4155]		5
Stor	G	1811	Atolia	BADA334-C	V	Ht Lo Oc 		303	NaHu	K0 V M7 V 	{ 1 }	(F21+1)	[412C]		11
Stor	G	1812	Renqui Zeta	C211686-A	M	Ho Ic Na Ni Sa 		203	NaHu	G4 V G7 V K3 V 	{ 0 }	(653+1)	[8159]		6
Stor	G	1815	333-949	E333000-0		Ba Ho Po Tz 		022	NaXX	M0 V 	{ -3 }	(200-5)	[0000]		9
Stor	G	1816	Raken	E100230-A		Co Lo Va 		303	NaHu	K3 V K5 V 	{ -1 }	(510-1)	[718D]		12
Stor	G	1818	Durban	B1006AB-C	M	Da Ho Ht Na Ni Sa Va 	A	501	NaHu	G1 V 	{ 1 }	(355-1)	[624B]		8
Stor	G	1820	Ustral	B654500-9		Ag Ho Ni Tr 		300	NaHu	K6 V 	{ 1 }	(244+1)	[4126]		6
Stor	G	1914	Reve	D799556-6		Ni Tz 		201	NaHu	M5 V 	{ -3 }	(740+4)	[5126]		6
Stor	G	1918	Kandeaka	D9AA7AC-9		Fl Pz Sa 	A	622	NaHu	K5 V 	{ -1 }	(A68-1)	[4129]		9
Stor	G	1920	Etzar	B798466-B	KM	Ho Ni Pa Tz O:1518		703	Ou	M5 V 	{ 2 }	(D36+2)	[5138]		11
Stor	G	2013	Lennis	D9A2454-9		Co Fl He Ni 		920	NaHu	G9 V 	{ -2 }	(734+4)	[1167]		7
Stor	G	2014	Ampassen	B579513-C		Co Ht Ni Tz 		602	NaHu	K6 V 	{ 1 }	(442-1)	[A13F]		5
Stor	G	2116	Greyrot	E577000-0		Ba Co 		003	NaXX	M3 V 	{ -3 }	(200-5)	[0000]		9
Stor	G	2117	Austin	C9456AB-8		Ag Da Ni Tz 	A	700	NaHu	K3 V 	{ -1 }	(654-1)	[816A]		5
Stor	G	2118	Demark	C89A551-B	M	Ni Tz Wa 		902	NaHu	M3 V 	{ 0 }	(E42+2)	[7158]		8
Stor	G	2119	Ustace	B6A7548-A		Fl Ho Ni 		733	NaHu	G4 V K8 V 	{ 1 }	(A45+1)	[814B]		10
Stor	G	2211	Calpernasa	B9B6441-C	KV	Fl Fr Ht Ni Hive1 		904	NaHu	G8 V K6 V 	{ 2 }	(C35+2)	[114B]		12
Stor	G	2216	AB1-956	EAB1000-0		Ba Fl He Ho 		001	NaXX	M0 V 	{ -3 }	(200-5)	[0000]		4
Stor	G	2219	Lansing	C8A9888-A		Fl Ph 		300	NaHu	G8 V 	{ 1 }	(57C+2)	[3477]		6
Stor	G	2220	Vermuus	B578468-B	K	Co Ni Pa O:1518		622	Ou	M1 V 	{ 1 }	(A32-1)	[514A]		11
Stor	G	2313	Akinte	EA75000-0		Ba 		003	NaXX	G8 V D 	{ -3 }	(200-5)	[0000]		7
Stor	G	2316	Viating	D5388AA-7		Co Ph 		803	NaHu	M1 V 	{ -2 }	(673-2)	[3165]		8
Stor	G	2319	Aeratan	C100641-B		Ho Na Ni Va 		300	NaHu	K7 III 	{ 0 }	(351+3)	[517A]		4
Stor	H	2513	Fatima	B868851-9		Pa Ph Ri Sa 		902	NaHu	K8 V 	{ 2 }	(A78+4)	[3549]		13
Stor	H	2515	Garant	BBA6784-8	M	Fl Ho 		300	NaHu	F9 V G2 V 	{ 0 }	(86B+2)	[C229]		7
Stor	H	2518	Dreydon	C523353-9	M	Lo Po 		323	NaHu	K9 V 	{ -1 }	(E20+4)	[615E]		9
