Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar	Old A	
2102	Seloo	A43196A-E	Hi Na Po Pz Tz Mr Ht	{ 4 }	(B8F-1)	[BC7G]	-	KM	A	100	12	SoCf	G9 V M8 V	ImDs	
2103	Kemper	A421768-E	He Na Po Pi (Whaiz) Tz Mr Ht	{ 2 }	(E6D-1)	[795E]	-	-	R	705	16	SoCf	M1 V	ImDs	
2104	Cordle	B42168D-A	He Na Ni Po Da Tz	{ 1 }	(955+5)	[A79E]	-	-	A	210	12	SoCf	M1 V M3 V	ImDs	
2106	Tolson	A432A6B-E	Hi Na Po Co Mr Ht	{ 3 }	(G9F-1)	[FDAK]	-	-	R	204	8	SoCf	G3 V K9 V	ImDs	
2110	Luoh	C875430-9	Ni Pa	{ -1 }	(A32-5)	[1314]	-	-	-	904	8	SoCf	K2 V M1 V	SoCf	
2205	Rita's Place	C76689A-8	Ga Ri Pa Ph	{ 0 }	(D78-2)	[A87A]	-	-	-	421	12	SoCf	M2 V M6 V	ImDs	
2206	Reichmuth	C434134-B	Lo Tz	{ 0 }	(600-2)	[1139]	-	-	-	503	10	SoCf	M0 V M1 V	ImDs	
2207	Yatooma	E423422-9	Ni Po Tz	{ -2 }	(A31-5)	[1215]	-	-	-	322	7	SoCf	M1 V M3 V	ImDs	
2208	Leriss	E9428B8-6	He Po Ph Pi	{ -2 }	(A75-2)	[8656]	-	-	-	704	10	SoCf	G0 V G3 V	ImDs	
2209	Brereton	B546620-A	Ag Ni	{ 2 }	(F56-2)	[1815]	-	-	-	834	10	SoCf	G7 V K9 V	ImDs	
2302	Ziaeehezar	D7B6356-8	Fl Lo Tz	{ -3 }	(620-4)	[2147]	-	-	-	501	11	SoCf	M2 V M7 V	ImDs	
2303	Guskin	E998220-7	Lo	{ -3 }	(410-5)	[1112]	-	-	-	103	16	SoCf	F8 V K1 V	ImDs	
2304	Douglas	D542895-6	He Po Ph Pi Co Tz	{ -2 }	(A75-4)	[6634]	-	-	-	701	11	SoCf	M1 V	ImDs	
2403	Nahn	B956887-A	Pa Ph	{ 2 }	(C7B+2)	[8A5A]	-	-	-	602	10	SoCf	M0 V M2 V	ImDs	
2406	Hagymasi	C550857-8	De Po Ph Tz	{ -1 }	(E77-1)	[8758]	-	-	-	713	10	SoCf	M1 V M6 V	ImDs	
2409	Trechier	C8C948B-B	Fl Ni Tz Da	{ 0 }	(833+2)	[647D]	-	-	A	302	15	SoCf	M3 V M4 V	ImDs	
2503	Austa	C796ABE-B	Hi In Pz	{ 3 }	(G9E+5)	[ED9F]	-	-	A	904	14	SoCf	G2 V	ImDs	
2505	Guenivier	BAE78D9-A	Ph Pz	{ 2 }	(G7C+3)	[9A6C]	-	-	A	824	9	SoCf	M2 V	ImDs	
2506	Sabuda	C632100-A	Lo Po Tz Ht	{ 0 }	(700-3)	[1219]	-	-	-	704	12	SoCf	M2 V M4 V	ImDs	
2507	Amon	C4359CG-C	Hi Pz Co Tz Ht	{ 2 }	(G8D+5)	[EBAH]	-	-	A	614	14	SoCf	M3 V	ImDs	
2508	Rumley	C79A534-B	Ni Wa Da	{ 0 }	(C44-2)	[3539]	-	-	A	623	11	SoCf	G6 V M4 V	ImDs	
2510	Kench	E310584-9	Ni Co	{ -2 }	(C42-4)	[3337]	-	-	-	723	14	SoCf	F1 V	SoCf	
2602	Hyalin	D505984-9	Hi Ic In Va Fr	{ 1 }	(E8B-1)	[7A37]	-	-	-	103	8	SoCf	G2 V M6 V	ImDs	
2603	Milenky	C587754-9	Ag Ri	{ 2 }	(D6B+1)	[5937]	-	-	-	804	16	SoCf	G2 V	ImDs	
2605	Waxstetter	X650210-3	De Lo Po Fo Lt	{ -3 }	(410-5)	[1111]	-	-	R	912	15	SoCf	G0 V	ImDs	
2607	Volund	C541894-8	He Po Ph Pi	{ -1 }	(A77-3)	[6736]	-	-	-	800	7	SoCf	K8 V	ImDs	
2701	Pinnock	A8C9876-E	Fl Ph Co Tz Ht	{ 2 }	(E7D+1)	[7A4D]	-	-	-	422	16	SoCf	M0 V	ImDs	
2704	Dikaku	C00079A-B	As Na Va Pi	{ 1 }	(E6B+3)	[987D]	-	-	-	805	14	SoCf	B9 V	ImDs	
2706	Anerin	C9419AB-A	He Hi In Po Pz	{ 3 }	(C8D+5)	[BC7C]	-	-	A	810	14	SoCf	K7 V	ImDs	
2709	Doak	B313401-D	Ic Ni Co Tz Ht	{ 1 }	(834-3)	[1519]	-	-	-	802	11	SoCf	M2 V	ImDs	
2801	Panar	E563797-2	Ri Lt	{ -1 }	(964-1)	[7652]	-	-	-	205	11	SoCf	M0 V	ImDs	
2804	Paputsus	B679599-C	Ni Co Ht	{ 1 }	(745+2)	[666D]	-	-	-	800	13	SoCf	M2 V M7 V	ImDs	
2806	Messelnap	C735633-9	Ni Co Tz	{ -1 }	(D53-4)	[3526]	-	-	-	505	9	SoCf	M0 V	ImDs	
2807	Nosret	B897477-C	Ni Pa Ht	{ 1 }	(A34-1)	[455D]	-	-	-	204	12	SoCf	K1 V	ImDs	
2808	Gushwa	B552553-C	Ni Po Fr Lk Ht	{ 1 }	(C45-2)	[2629]	-	-	-	514	9	SoCf	M1 V M8 V	ImDs	
2809	Burvee	E557456-7	Ni Pa Sa	{ -3 }	(631-4)	[3146]	-	-	-	404	10	SoCf	G8 V	ImDs	
2810	Stanko	A555649-C	Ag Ni Ht	{ 2 }	(D56+3)	[786D]	-	-	-	305	10	SoCf	M1 V M9 V	ImDs	
2901	Sweet	C689879-9	Ri Ph Pz	{ 1 }	(D7A+2)	[996A]	-	-	A	203	10	SoCf	M0 V M7 V	ImDs	
2903	Gadarur	C7558B9-A	Ga Pa Ph Pz	{ 1 }	(D7C+1)	[9A6D]	-	-	A	512	6	SoCf	K0 V	ImDs	
2904	Anise	A84196B-B	He Hi In Po Ho Tz Mr	{ 4 }	(G8G-2)	[9D5E]	-	M	-	614	8	SoCf	K4 V	ImDs	
2905	Bilox	B544556-C	Ag Ni Co Sa Ht	{ 2 }	(A46+1)	[474B]	-	-	-	203	12	SoCf	K9 V	ImDs	
2906	Garner's Luck	D62279A-6	He Na Po Pi Tz	{ -2 }	(965+1)	[9578]	-	-	-	500	9	SoCf	M0 V M0 V	ImDs	
2908	Kleug	C88A430-B	Ni Wa	{ 0 }	(833-4)	[1416]	-	-	-	802	5	SoCf	K5 V	ImDs	
2910	Waldrin	C6A78C9-9	Fl Ph Pz Fr	{ 0 }	(E79+1)	[986A]	-	-	A	604	7	SoCf	M0 V	ImDs	
3002	Reid	C7B8435-A	Fl Ni Da Fr	{ 0 }	(933-2)	[2438]	-	-	A	503	7	SoCf	M2 V M3 V	ImDs	
3006	Asrow	E598548-5	Ag Ni Lt	{ -2 }	(742-5)	[5355]	-	-	-	702	8	SoCf	G3 V	ImDs	
3009	Robidou	E532536-8	Ni Po Tz	{ -3 }	(A41-4)	[4247]	-	-	-	621	9	SoCf	M2 V	ImDs	
3101	Scoggan	D720310-7	De He Lo Po	{ -3 }	(520-5)	[1112]	-	-	-	502	9	SoCf	F6 V	ImDs	
3104	Pungitore	D421462-9	He Ni Po An Mr Tz	{ -2 }	(731-5)	[1215]	-	-	R	501	8	SoCf	M2 V M2 V	ImDs	
3109	Stansifer	C000655-C	As Na Ni Va Ht	{ 0 }	(954-2)	[463A]	-	-	-	101	11	SoCf	A0 V	ImDs	
3206	Gustin	B779444-D	Ni Da Ht	{ 1 }	(B34-1)	[253C]	-	-	A	523	11	SoCf	G7 V	ImDs	
3208	Firels	CDAA35A-C	Fl Lo Co Tz Ht	{ 0 }	(920-4)	[1318]	-	-	-	504	9	SoCf	M3 V M7 V	ImDs	
3210	Typoer	X6428AB-5	He Po Ph Pi Fo Lt	{ -2 }	(A75+1)	[A677]	-	-	R	603	11	ImDs	K0 V	ImDs	
0113	Schurz	A874310-D	Lo Co Tu Ht	{ 1 }	(621-3)	[1418]	-	-	-	201	9	SoCf	F1 V G6 V	SoCf	
0115	Pryon	A889747-D	Ri Ht	{ 3 }	(B6E+3)	[7A5D]	-	-	-	902	10	SoCf	K9 V M3 V	SoCf	
0116	Wair	C89A98C-C	Hi In Wa Pz Ht	{ 3 }	(C8E+5)	[CC8F]	-	-	A	701	11	SoCf	G2 V M6 V	SoCf	
0118	Hool	C421867-A	He Na Po Ph Pi O:0120 Ho	{ 1 }	(E7A+1)	[895A]	-	-	-	704	10	SoCf	G7 V M4 V	SoCf	
0119	Mickel	A742855-D	He Po Ph Pi Ht	{ 2 }	(D7D+1)	[6A3B]	-	-	-	903	10	SoCf	F5 V	SoCf	
0120	Factn	C740999-A	De He Hi In Po	{ 3 }	(E8D+4)	[AC6B]	-	-	-	603	15	SoCf	G2 V	SoCf	
0211	Seung	B000688-D	As Na Ni Va Ht	{ 2 }	(956+2)	[685D]	-	KM	-	901	10	SoWu	G7 III G6 V	SoWu	
0212	Zentara	C201200-C	Ic Lo Va Fr Lk Ht	{ 0 }	(810-4)	[1217]	-	-	-	604	13	SoCf	M2 V	SoCf	
0215	Amonchomchu	C599765-9	Pi O:0116	{ 0 }	(A69-2)	[5737]	-	-	-	501	9	SoCf	K7 V	SoCf	
0216	Planck	B201353-E	Ic Lo Va Fr Sa Ht	{ 2 }	(922-1)	[152B]	-	KM	-	304	15	SoCf	M2 V M9 V	SoCf	
0220	Anderson	B550221-B	De Lo Po	{ 1 }	(711-3)	[1317]	-	-	-	103	8	SoCf	K9 V	SoCf	
0315	McManus	E511742-7	Ic Na Pi Ho	{ -2 }	(966-5)	[3513]	-	-	-	502	6	SoCf	F8 V	SoCf	
0317	Sawiykao'	D301466-9	Ic Ni Va O:0116 Ho Tz	{ -2 }	(B31-3)	[3248]	-	-	-	514	11	SoCf	K0 V M9 V	SoCf	
0319	Kelriya	C434423-B	Ni	{ 0 }	(833-3)	[1428]	-	-	-	620	5	SoCf	G1 V M3 V	SoCf	
0411	Yergin	D767642-6	Ag Ni Ga Ri	{ -1 }	(853-5)	[2512]	-	-	-	520	11	SoCf	G4 V M3 V	SoCf	
0413	Kaig	A6AA758-E	Fl Cp Fr Ht	{ 3 }	(B6E+3)	[7A5E]	-	KM	-	402	7	SoCf	M1 V M4 V M3 V	SoCf	
0415	Dormant	B650645-A	De Ni Po	{ 1 }	(B55-1)	[4738]	-	-	-	103	11	SoCf	G4 V	SoCf	
0516	Papesh	D200664-8	Na Ni Va O:0413 Lk	{ -3 }	(B51-5)	[4336]	-	-	-	103	7	SoCf	M0 V	SoCf	
0517	Ewaokh	E556112-7	Lo Co	{ -3 }	(300-5)	[1113]	-	-	-	602	7	SoCf	F6 V M0 V	SoCf	
0613	Arsdale	D545833-6	Pa Ph Pi	{ -2 }	(A75-5)	[5623]	-	-	-	300	7	SoCf	G8 V	SoCf	
0614	Wells	D677635-6	Ag Ni	{ -2 }	(852-4)	[4434]	-	-	-	500	9	SoCf	M0 V M6 V	SoCf	
0615	Pindur	E631956-B	Hi Na Po	{ 1 }	(D8C+1)	[8A4A]	-	-	-	702	6	SoCf	K8 V	SoCf	
0617	Alroarl	A699201-E	Lo Co Sa Ht	{ 1 }	(911-3)	[131A]	-	-	-	405	16	SoCf	G6 V	SoCf	
0619	Joce	B540167-B	De He Lo Po Mr	{ 2 }	(902+2)	[135B]	-	KM	-	324	15	SoCf	F0 V	SoCf	
0712	Fatridge	E99887B-6	Pa Ph Pi	{ -2 }	(A75+1)	[A678]	-	-	-	610	9	SoCf	M2 V	SoCf	
0713	Bradley	B620879-A	De He Na Po Ph Pi Tz	{ 3 }	(E7C+4)	[9B6B]	-	KM	-	522	10	SoCf	M1 V M6 V	SoCf	
0715	Kazilash	B778100-C	Lo Ho Ht	{ 1 }	(701-3)	[1217]	-	-	-	304	15	SoCf	G4 V M2 V	SoCf	
0716	Hodapp	B689541-C	Ni Pr Ht	{ 1 }	(B45-3)	[1618]	-	-	-	404	15	SoCf	G9 V M4 V	SoCf	
0720	Lachlan	B501754-D	Ic Na Va Pi Ht	{ 2 }	(B6D+1)	[593B]	-	-	-	802	8	SoCf	B9 III F1 V K3 V	SoCf	
0812	Nihonatarashi	C437403-C	Ni Ho Ht	{ 0 }	(933-3)	[1429]	-	-	-	112	13	SoCf	G3 V K9 V M9 V	SoCf	
0813	Meza	B000831-D	As Na Va Ph Pi Ht	{ 2 }	(A7D-2)	[4A19]	-	-	-	300	9	SoCf	M2 V	SoCf	
0814	Kano	A432503-E	Ni Po Fr Sa Ht	{ 1 }	(B45-2)	[262B]	-	-	-	404	12	SoCf	M3 V M6 V	SoCf	
0815	Hurshel	B7B5623-B	Fl Ni Tz	{ 1 }	(B55-2)	[3728]	-	-	-	403	13	NaHu	M0 V	NaHu	
0913	Baelen	B6548AC-A	Pa Ph Pz	{ 2 }	(A7B+5)	[BA8D]	-	-	A	500	5	SoCf	K2 V M5 V	SoCf	
0915	Valentin	D540464-7	De He Ni Po O:0913 Tz	{ -3 }	(631-5)	[2135]	-	-	-	403	10	SoCf	M1 V	SoCf	
0918	Packard	B899437-C	Ni Ht	{ 2 }	(B35+2)	[465C]	-	KM	-	623	15	SoCf	G2 V	SoCf	
0919	Simovia	B630663-A	De Na Ni Po O:0921	{ 1 }	(C55-2)	[3727]	-	-	-	104	9	SoCf	F1 V	SoCf	
0920	Turnwall	B794620-A	Ag Ni	{ 2 }	(856-2)	[1815]	-	-	-	600	11	SoCf	K4 V M0 V	SoCf	
1016	Icenogle	A676538-D	Ag Ni Ht	{ 2 }	(B46+2)	[575D]	-	-	-	522	9	SoCf	G7 V M7 V	SoCf	
1018	Ekar	C7839DE-8	Hi Pr Pz	{ 0 }	(B89+4)	[D99C]	-	-	A	400	8	SoCf	G7 V	SoCf	
1114	Htorakh	C768355-A	Lo	{ 0 }	(920-2)	[1338]	-	-	-	804	14	SoNS	K2 V K8 V	SoNS	
1116	Nishikiori	C555868-8	Pa Ph O:1214 Sa	{ -1 }	(D77-1)	[8758]	-	-	-	103	11	SoNS	F2 V F9 V	SoNS	
1119	Mpefu	B833756-C	Na Po Tz Ht	{ 2 }	(C6C+1)	[694B]	-	-	-	303	14	SoCf	G1 V M2 V	SoCf	
1120	Al-Aziz	B785300-C	Lo Ga Ho Tr Ht	{ 2 }	(A22-2)	[1517]	-	KM	-	523	11	SoCf	F0 V M0 V	SoCf	
1212	Karma	E543734-6	Po Pi	{ -2 }	(965-4)	[5534]	-	-	-	623	11	SoNS	G9 V	SoNS	
1213	Patnode	A420545-E	De He Ni Po Tz Ht	{ 1 }	(C45-1)	[363C]	-	-	-	314	12	SoCf	M0 V	SoCf	
1214	Kazimir	B555899-A	Pa Ph	{ 2 }	(D7B+3)	[9A6B]	-	-	-	803	16	SoNS	K1 V	SoNS	
1217	New Winnipeg	B511530-C	Ic Ni Ht	{ 2 }	(846-2)	[1717]	-	KM	-	801	9	SoCf	K3 V M5 V	SoCf	
1218	Cowan	C6A8887-9	Fl Ph Co Tz	{ 0 }	(A79+1)	[8859]	-	-	-	900	8	SoCf	M2 V M3 V	SoCf	
1220	Jolly	D7B9653-9	Fl Ni Co Tz	{ -2 }	(A52-5)	[3426]	-	-	-	502	15	SoCf	M0 V	SoCf	
1313	Garvey	B59A123-D	Lo Wa Co Ht	{ 1 }	(801-2)	[122A]	-	-	-	523	15	SoCf	G3 V	SoCf	
1314	Raiou	B300234-D	Lo Va Sa Ht	{ 2 }	(712+1)	[143B]	-	KM	-	203	10	SoCf	M3 V	SoCf	
1316	Sylva	C57956A-A	Ni O:1415	{ 0 }	(744+2)	[757C]	-	-	-	800	10	SoCf	G5 V	SoCf	
1320	Fazio	B576212-B	Lo	{ 1 }	(411-3)	[1317]	-	-	-	200	10	SoCf	K3 V	SoCf	
1411	Ogorod	D7558BF-6	Ga Pa Ph Pz	{ -2 }	(A75+3)	[D6AB]	-	-	A	325	13	SoNS	K6 V M0 V M4 V	SoNS	
1412	Volna	D99A8A9-8	Wa Ph Pi	{ -2 }	(F76-1)	[9669]	-	-	-	523	17	SoNS	K4 V M3 V	SoNS	
1413	Raleigh	E550658-7	De Ni Po	{ -3 }	(851-3)	[6357]	-	-	-	810	9	SoCf	K2 V M1 V	SoCf	
1415	Landgrebe	B574625-A	Ag Ni	{ 3 }	(957+1)	[4938]	-	KM	-	310	11	SoCf	F6 V M6 V	SoCf	
