Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar			
0416	Lucind	B560642-9	De Ni Ri FlorW	{ 1 }	(A55-3)	[2715]	-	-	-	702	9	FlLe	F4 V			
0417	Picard	D679646-7	Ni FlorW	{ -3 }	(851-4)	[5346]	-	-	-	602	5	FlLe	F7 V M4 V			
0418	Tefsi	B994449-B	Ni Pa FlorW	{ 2 }	(C35+3)	[566C]	-	KM	-	215	14	FlLe	M4 V M6 V			
0516	Garnl	E884940-8	Hi Pr FlorW	{ -1 }	(F88-5)	[4813]	-	-	-	804	11	FlLe	K0 V M8 V			
0614	Boronu	B966741-A	Ag Ri FlorW	{ 4 }	(B6D+1)	[3B16]	-	-	-	102	12	FlLe	F4 V M1 V			
0616	Ilnest	B686347-9	Lo Ga FlorW	{ 1 }	(821+1)	[3459]	-	KM	-	703	12	FlLe	K5 V M8 V			
0713	Zimt	C547546-9	Ag Ni FlorW	{ 0 }	(B44-1)	[4548]	-	-	-	313	14	FlLe	F3 V			
0716	Forandin	BA89646-9	Ni Ri FlorW	{ 2 }	(B56+1)	[5848]	-	KM	-	912	7	FlLe	M5 V			
0811	Odin	B20149B-8	Ic Ni Va	{ -1 }	(A32+1)	[637A]	-	-	-	504	13	NaHu	M0 V M5 V			
0813	Thor	D669577-5	Ni Pr Lt	{ -3 }	(741-3)	[5255]	-	-	-	702	8	NaHu	F6 V M0 V			
0815	Yggdrasil	B5507CD-8	De Po	{ 0 }	(A68+4)	[B79C]	-	-	-	310	12	CsIm	F5 V			
0820	Sif	A765867-7	Ga Ri Pa Ph HumaW O:1220	{ 1 }	(A79+1)	[8957]	-	-	-	112	12	AsXX	K4 V M4 V			
0914	Solaria	B665734-8	Ag Ga Ri	{ 2 }	(E6A+1)	[5936]	-	-	-	614	17	NaHu	F8 V			
0915	Dpres	B631689-A	Na Ni Po	{ 1 }	(C55+2)	[776B]	-	N	-	122	11	CsIm	G5 V			
1015	Connaught	D431153-9	Lo Po HumaW	{ -2 }	(400-5)	[1126]	-	-	-	910	9	AsXX	M8 V M8 V			
1016	291-540	EABA000-0	Ba Fl Fo HumaW Lt	{ -3 }	(200-5)	[0000]	-	-	R	004	14	AsXX	K2 II M2 V			
1114	Gabriel	C310100-B	Lo HumaW	{ 0 }	(600-4)	[1116]	-	-	-	703	9	AsXX	G8 V M8 V			
1118	Dostoevsky	B678673-A	Ag Ni HumaW An RsD	{ 2 }	(A56-1)	[3827]	-	-	-	220	14	AsXX	F4 V			
1216	Janus	C575321-7	Lo HumaW	{ -2 }	(520-5)	[1113]	-	-	-	902	7	AsXX	M9 V			
1219	Peroi	E560256-4	De Lo HumaW Lt	{ -3 }	(410-4)	[1143]	-	-	-	631	11	AsXX	F0 V			
1220	Delta Theta	B501610-9	Ic Na Ni Va HumaW	{ 0 }	(D54-4)	[1614]	-	-	-	732	15	AsXX	K6 V M3 V			
1317	Caldos	B530879-6	De Na Po Ph HumaW	{ 0 }	(A77+1)	[9867]	-	-	-	824	9	AsXX	F2 V			
1319	Lacidaeus	D100786-7	Na Va Pi HumaW	{ -2 }	(966-3)	[6546]	-	-	-	502	8	AsXX	M9 V			
1417	Sagan	C796453-8	Ni Pa HumaW	{ -2 }	(A31-5)	[1225]	-	-	-	204	13	AsXX	F1 V			
1514	Tlazolteotl	D5409CD-7	De He Hi In Po HumaW	{ 0 }	(B89+4)	[D99B]	-	-	-	412	13	AsXX	M6 V D			
1518	Tyr	A551557-B	Ni Po HumaW	{ 1 }	(B45+1)	[565B]	-	-	-	804	10	AsXX	F0 V M5 V			
1519	Hecarda	B560332-9	De Lo HumaW	{ 0 }	(820-4)	[1315]	-	-	-	503	9	AsXX	F5 V			
1613	Thalassa	B88A889-8	Ri Wa Ph HumaW	{ 1 }	(F79+2)	[9969]	-	-	-	505	15	AsXX	F8 V M9 V			
1618	Tktk	D542640-6	He Ni Po Chir4 Huma6	{ -3 }	(851-5)	[1311]	-	-	-	502	8	AsXX	F5 V M3 V			
1619	Acis	B885796-A	Ag Ga Ri HumaW	{ 4 }	(C6D+3)	[6B49]	-	-	-	603	12	AsXX	F7 V M2 V			
1715	Homestead	D561250-6	Lo HumaW	{ -3 }	(410-5)	[1111]	-	-	-	524	16	AsMw	F9 V			
1719	Ace	E7A08B9-8	He Ph HumaW	{ -2 }	(A76-1)	[9669]	-	-	-	700	7	AsWc	M0 V D			
1816	Salif	A6236A6-A	Na Ni Po HumaW	{ 1 }	(955+1)	[5749]	-	-	-	301	12	AsVc	F9 III M0 V			
1818	Number One	C9D6778-9	HumaW	{ 0 }	(B69+1)	[7759]	-	-	-	602	15	AsMw	M3 V			
1919	Thebus	B534320-7	Lo HumaW	{ -1 }	(520-5)	[1212]	-	-	-	823	15	AsWc	M3 V			
2018	Noricum	D8867BB-1	Ag Ga Ri HumaW Lt	{ 0 }	(965+2)	[9773]	-	-	-	804	14	AsWc	G2 V M9 V M6 V			
2020	Oghma	B534754-9	HumaW	{ 1 }	(D6A-1)	[5837]	-	-	-	404	11	AsXX	K5 V M5 V M4 V			
2113	Dolberg	BAF889D-B	Ph (Hursuuun)	{ 2 }	(A7C+5)	[CA9F]	-	-	-	300	9	AsXX	F7 V			
2115	Vume	B100477-C	Ni Va HumaW An Ht	{ 1 }	(B34+1)	[455C]	-	-	-	123	15	AsVc	K7 II			
2116	Theev	A434500-F	Ni Da HumaW Ht	{ 1 }	(E45-3)	[161A]	-	-	A	934	16	AsVc	G0 V			
2120	Marduk	C577436-5	Ni Pa HumaW Lt	{ -2 }	(631-3)	[3244]	-	-	-	503	11	AsVc	K7 V			
2211	Albe	A540A98-E	De He Hi In Po HumaW Ht	{ 4 }	(G9G+4)	[AE5E]	-	-	-	213	16	AsXX	F4 V M2 V			
2213	Realgar	B550444-A	De Ni Po HumaW	{ 1 }	(934-1)	[2538]	-	-	-	303	16	AsXX	G4 V M7 V			
2216	Palindrome	B433334-B	Lo Po HumaW	{ 1 }	(721-1)	[1439]	-	-	-	502	5	AsTv	K9 V M1 V			
2219	Borite	E655796-4	Ag Ga HumaW Lt	{ -1 }	(965-2)	[6643]	-	-	-	703	13	AsVc	G4 V M8 V			
2314	Chalchiutlicue	B76A787-7	Ri Wa HumaW	{ 1 }	(969+1)	[7857]	-	-	-	423	15	AsVc	G9 V M3 V			
2411	Cordillon	C431210-B	Lo Po HumaW	{ 0 }	(810-4)	[1216]	-	-	-	922	12	AsXX	K1 V			
2513	Pryme	B58668B-9	Ag Ni Ri HumaW	{ 2 }	(D56+4)	[887B]	-	-	-	305	11	AsXX	F0 V			
2515	Nekrino	A788400-C	Ni Pa HumaW Ht	{ 1 }	(B34-3)	[1517]	-	-	-	914	11	AsXX	M4 V			
2517	Boulder	D100758-9	Na Va Pi HumaW	{ -1 }	(C68-1)	[7659]	-	-	-	330	7	AsSc	K2 V D			
2520	Exocet	A574126-8	Lo HumaW	{ -1 }	(600-2)	[1147]	-	-	-	203	10	AsXX	F6 V			
2612	Intelia	C574653-6	Ag Ni HumaW	{ -1 }	(853-4)	[3523]	-	-	-	704	9	AsXX	F4 V			
2614	Gor	C868677-3	Ag Ni Ri HumaW Lt	{ 0 }	(854+1)	[6653]	-	-	-	403	9	AsXX	M5 V			
2616	Scaladon	AAD98DH-A	 Ph Pz HumaW 	{ 2 }	(A7B+5)	[DAAF]	-	-	A	600	9	AsXX	F6 V			
2711	Empire	B679334-C	Lo Ht HumaW	{ 1 }	(821-1)	[143A]	-	-	-	503	11	AsXX	G2 V M4 V			
2714	Hradus	B54699B-7	Hi In Huma2	{ 2 }	(B8B+4)	[BB79]	-	-	-	223	11	AsXX	F1 V M6 V			
2715	Hexx	B78A577-D	Ni Wa Pr HumaW Ht	{ 1 }	(C45+1)	[565D]	-	-	-	314	11	AsXX	F6 V			
2719	Iilgan	C567787-8	Ag Ri HumaW	{ 1 }	(C69+1)	[7858]	-	-	-	812	14	AsTv	G7 V			
2813	Saurus	A550543-B	De Ni Po HumaW	{ 1 }	(A45-2)	[2628]	-	-	-	512	7	AsXX	F0 V			
2814	971-852	E78A000-0	Ba Wa Da HumaW Lt	{ -3 }	(200-5)	[0000]	-	-	A	004	7	AsXX	F6 V M3 V			
2815	Ardasii	B550684-9	De Ni Po HumaW	{ 0 }	(954-2)	[4637]	-	-	-	110	7	AsXX	F7 V			
2819	Wildeman	B201674-C	Ic Na Ni Va HumaW Ht	{ 1 }	(A55-1)	[473A]	-	-	-	402	11	AsVc	F7 V			
2820	Pandora	B878313-B	Lo HumaW	{ 1 }	(621-2)	[1428]	-	-	-	401	7	AsXX	M0 V			
2912	Darchona	B59A742-A	Wa Pi HumaW	{ 2 }	(F6B-2)	[3916]	-	-	-	533	10	AsXX	F9 V			
2915	Sabruse	EAC8343-9	Fl Lo  HumaW Rs	{ -2 }	(720-5)	[1126]	-	-	-	220	10	AsXX	F3 V M5 V			
2916	Imisaa	B520867-7	De He Na Po Ph Pi HumaW O:3215	{ 0 }	(A78+1)	[8857]	-	-	-	113	10	AsXX	F8 V M5 V			
2918	Fist	B789430-C	Ni HumaW Ht	{ 1 }	(A34-3)	[1517]	-	-	-	313	10	AsXX	F1 V			
3011	Dimorus	D300755-7	Na Va Pi HumaW	{ -2 }	(966-4)	[5535]	-	-	-	600	13	AsXX	G0 V M7 V			
3012	Our Planet	B687100-A	Lo Ga HumaW	{ 1 }	(801-3)	[1215]	-	-	-	314	13	AsXX	F1 V			
3013	Ayldem	A540784-C	De He Po Pi Pz Droy7 Ht	{ 2 }	(D6C+1)	[593A]	-	-	A	804	13	NaDr	M2 V			
3015	Pichot	E546330-5	Lo HumaW Lt	{ -3 }	(520-5)	[1111]	-	-	-	123	13	AsXX	F1 V M8 V			
3016	New	D66668A-5	Ag Ni Ga Ri HumaW Lt	{ -1 }	(853+1)	[8577]	-	-	-	503	13	AsXX	F9 V			
3111	Khaliki	D31156B-9	Ic Ni HumaW O:2912 Px	{ -2 }	(D42+1)	[737B]	-	-	-	215	10	AsXX	F5 V			
3113	Simok	D9A08CC-8	He Ph HumaW	{ -2 }	(B76+1)	[B68B]	-	-	-	701	10	AsXX	F0 V			
3116	Attee	C7529AE-5	Hi Po HumaW Lt	{ 0 }	(B88+4)	[D999]	-	-	-	404	10	AsXX	F9 V			
3117	Eshadi	B431358-E	Lo Po HumaW Ht	{ 1 }	(721+1)	[345E]	-	-	-	311	10	AsXX	M7 V			
3119	New Moscow	B76779A-7	Ag Ga Ri HumaW	{ 2 }	(96A+4)	[9979]	-	-	-	513	10	AsXX	F8 V			
3212	Berg	A675542-B	Ag Ni HumaW	{ 2 }	(C46-2)	[1717]	-	-	-	805	10	AsXX	F5 V			
3213	Kedus	D867400-3	Ni Ga Pa HumaW Lt	{ -3 }	(631-5)	[1111]	-	-	-	913	10	AsXX	F8 V			
3215	Tobia	A544A55-F	Hi In HumaW Ht	{ 4 }	(F9G+2)	[8E3D]	-	-	-	203	10	AsXX	F7 V			
3219	Batav	B5A8764-A	Fl HumaW An O:3215	{ 2 }	(A6B+1)	[5938]	-	-	-	110	10	AsXX	M6 II			
0122	Aftye	A560343-D	De Lo Ht	{ 1 }	(921-2)	[142A]	-	-	-	313	7	AsVc	F8 V			
0126	Ahaikhea	B422423-9	He Ni Po	{ 0 }	(733-3)	[1426]	-	R	-	101	14	AsMw	F7 III M7 V			
0127	Eawatrye	B8B5756-C	Fl Ht	{ 2 }	(C6C+1)	[694B]	-	R	-	903	12	AsMw	M1 V M7 V			
0129	Tyea'ih	B548889-A	Pa Ph Pi	{ 2 }	(F7B+3)	[9A6B]	-	-	-	705	11	AsVc	K3 V M5 V			
0130	Oiauh	B1018B8-D	Ic Na Va Ph Pi Ht	{ 2 }	(C7D+2)	[8A5D]	-	-	-	802	10	AsT8	F4 V			
0222	Dalfi	C550345-9	De Lo Po FlorW	{ -1 }	(620-3)	[1237]	-	-	-	510	9	AsXX	F4 V M3 V			
0223	Khteiatloilr	B423456-C	Ni Po Ht	{ 1 }	(A34+1)	[354B]	-	R	-	404	9	AsWc	F7 V			
0224	Ewoiftoil	B546646-A	Ag Ni	{ 2 }	(956+1)	[5849]	-	-	-	510	9	AsMw	F3 V			
0227	H'a	D657449-6	Ni Ga Pa	{ -3 }	(631-2)	[5167]	-	-	-	802	13	AsMw	F4 V			
0229	Hreahrya	B433A79-D	Hi Na Po Ht	{ 3 }	(J9F+4)	[BD6E]	-	-	-	924	12	AsSc	K0 V			
0321	Nora'a	A585645-9	Ag Ni Ri FlorW	{ 2 }	(857+1)	[4937]	-	-	-	900	11	AsXX	K4 V			
0322	Iryao	A5588B8-C	Pa Ph Ht	{ 2 }	(C7C+2)	[8A5C]	-	R	-	420	14	AsMw	F1 V			
0328	Suiaoir	B651367-B	Lo Po O:0229	{ 1 }	(921+1)	[345B]	-	-	-	404	11	AsSc	F6 V			
0329	Hkaha	B897696-A	Ag Ni	{ 2 }	(B56+1)	[5849]	-	-	-	703	11	AsMw	M4 V M6 V			
0425	Khtyekt	B200655-9	Na Ni Va	{ 0 }	(C54-2)	[4637]	-	R	-	613	12	AsWc	M9 V			
0426	Osototail	E550857-7	De Po Ph	{ -2 }	(A76-2)	[8657]	-	-	-	404	8	AsTv	F2 V			
0429	Aowaih	B5866A7-A	Ag Ni Ri	{ 3 }	(D57+3)	[695A]	-	R	-	323	15	AsMw	F1 V M4 V			
0430	Khi	B987588-B	Ag Ni Pr	{ 3 }	(947+3)	[585B]	-	RT	-	911	11	AsTv	F3 V			
0523	Vadada	A410944-F	Hi In Na FlorW Ht	{ 4 }	(D8G+3)	[7E3C]	-	-	-	802	11	AsXX	F9 V M5 V			
0525	Elihfoirl	A553236-D	Lo Po Ht	{ 1 }	(511+1)	[134C]	-	R	-	201	7	AsMw	K0 V			
0528	Ftaleirl	B53038A-8	De Lo Po	{ -1 }	(720+1)	[527A]	-	-	-	502	12	AsWc	M8 V			
0529	Oihyeti'he	B779775-B	Pi	{ 2 }	(C6C+1)	[5939]	-	-	-	803	10	AsSc	F4 V			
0530	Souftea	A551754-D	Po Ht	{ 2 }	(A6D+1)	[593B]	-	R	-	801	6	AsMw	F9 V M3 V			
0628	Sei'eal	B510886-B	Na Ph Pi	{ 2 }	(A7C+1)	[7A4A]	-	-	-	500	10	AsVc	F2 V M1 V			
0722	Tanar	C787640-8	Ag Ni Ga Ri An FlorW	{ 0 }	(A54-4)	[1613]	-	-	-	620	6	AsXX	K1 V			
0724	Lafkin	C77A846-9	Wa Ph Pi FlorW	{ 0 }	(C79-1)	[7848]	-	-	-	402	8	AsXX	F4 V			
0727	Woilreawau	B100855-E	Na Va Ph Pi Ht	{ 2 }	(D7D+1)	[6A3C]	-	R	-	503	13	AsTv	G0 V D			
0729	Uao	C6A2456-8	Fl He Ni	{ -2 }	(831-3)	[3247]	-	T	-	202	6	AsT5	M8 V			
0823	Eahaw	E523000-0	Ba Po Lt	{ -3 }	(200-5)	[0000]	-	-	R	013	12	AsXX	M7 V			
0824	Yaeawaokh	B43078B-C	De Na Po Ht	{ 2 }	(96C+4)	[997E]	-	T	-	400	9	AsT9	F6 V M8 V			
0825	Alirar	A55557A-C	Ag Ni Ht	{ 2 }	(B46+4)	[777E]	-	R	-	913	17	AsSc	K4 V M4 V			
0829	Ehaealir	B63657B-9	Ni	{ 0 }	(844+2)	[757B]	-	-	-	210	12	AsSc	M4 V M8 V			
0929	Alr	A779548-B	Ni	{ 1 }	(945+1)	[565B]	-	-	-	102	11	AsMw	F5 V			
0930	Ehrafou	B00075A-E	As Na Va Pi Ht	{ 2 }	(D6D+4)	[997G]	-	R	-	904	13	AsMw	M4 V M4 V			
1022	Ftulrois	B56868A-9	Ag Ni Ri O:1027	{ 2 }	(856+4)	[887B]	-	-	-	200	11	AsT4	K8 V			
1023	Oatre	B532336-C	Lo Po Ht	{ 1 }	(821+1)	[244B]	-	R	-	312	13	AsTv	K8 II M2 V			
1025	Hea'a	E54024A-5	De He Lo Po O:1027 Lt	{ -3 }	(410-1)	[4177]	-	-	-	603	13	AsT7	F5 V			
1026	Eiaihiy	B500132-B	Lo Va	{ 1 }	(801-3)	[1217]	-	R	-	923	13	AsMw	M4 V			
1027	Syoakh	A6968BC-C	Pa Ph Pi Ht	{ 2 }	(A7C+5)	[BA8F]	-	-	-	500	10	AsVc	F5 V D			
1028	Htourlao	B311978-E	Hi Ic In Na Ht	{ 4 }	(E8G+4)	[9D5E]	-	R	-	512	9	AsSc	K7 V			
1030	Keawoaw	B430433-9	De Ni Po	{ 0 }	(A33-3)	[1426]	-	-	-	413	12	AsWc	M0 V M9 V			
1121	Asyuh	B8C3225-9	Fl Lo	{ 0 }	(710-2)	[1237]	-	R	-	912	12	AsTv	M4 V M9 V			
1124	Yero'ilra	D500897-7	Na Va Ph Pi	{ -2 }	(A76-2)	[8657]	-	-	-	103	13	AsTv	F8 V M1 V M7 V			
1126	Oihu	B300454-9	Ni Va	{ 0 }	(833-2)	[2437]	-	R	-	702	10	AsVc	M4 V			
