Code	Legacy	BaseCode	Name	Location
ImDc	Im	Im	Third Imperium, Domain of Sylea	Core/Delp/Forn/Mass
ImDd	Im	Im	Third Imperium, Domain of Deneb	Dene/Reft/Spin/Troj
ImDg	Im	Im	Third Imperium, Domain of Gateway	Glim/Hint/Ley
ImDi	Im	Im	Third Imperium, Domain of Ilelish	Daib/Ilel/Reav/Verg/Zaru
ImDs	Im	Im	Third Imperium, Domain of Sol	Alph/Dias/Magy/Olde/Solo
ImDv	Im	Im	Third Imperium, Domain of Vland	Corr/Dagu/Gush/Reft/Vlan
ImLa	Im	Im	Third Imperium, League of Antares	Anta
ImLc	Im	Im	Third Imperium, Lancian Cultural Region	Corr/Dagu/Gush
ImLu	Im	Im	Third Imperium, Luriani Cultural Association	Ley/Forn
ImSy	Im	Im	Third Imperium, Sylean Worlds	Core
ImVd	Ve	Im	Third Imperium, Vegan Autonomous District	Solo
IsDo	Id		Islaiat Dominate	Eali
JAOz	Jo	Jp	Julian Protectorate, Alliance of Ozuvon	Mend
JaPa	Ja		Jarnac Pashalic	Beyo/Vang
JAsi	Ja	Jp	Julian Protectorate, Asimikigir Confederation	Amdu/Mend
JCoK	Jc	Jp	Julian Protectorate, Constitution of Koekhon	Amdu/Mend
JHhk	Jh	Jp	Julian Protectorate, Hhkar Sphere	Amdu/Mend
JLum	Jd	Jp	Julian Protectorate, Lumda Dower	Mend
JMen	Jm	Jp	Julian Protectorate, Commonwealth of Mendan	Mend/Gash
JPSt	Jp	Jp	Julian Protectorate, Pirbarish Starlane	Mend
JRar	Vw	Jp	Julian Protectorate, Rar Errall/Wolves Warren	Mend
JuHl	Hl	Jp	Julian Protectorate, Hegemony of Lorean	Amdu/Empt/Mend
JUkh	Ju	Jp	Julian Protectorate, Ukhanzi Coordinate	Mend
JuNa	Jn		Jurisdiction of Nadon	Cano
JuPr	Jp	Jp	Julian Protectorate	Amdu/Empt/Mend
JuRu	Jr	Jp	Julian Protectorate, Rukadukaz Republic	Empt/Mend
JVug	Jv	Jp	Julian Protectorate, Vugurar Dominion	Mend
KaCo	KC		Katowice Conquest	Cruc
KaEm	KE		Katanga Empire	Beyo
KaTr	Kt		Kajaani Triumverate	Vang
KaWo	KW		Karhyri Worlds	Cruc
KhLe	Kl		Khuur League	Ley
KkTw	Kk	Kk	Two Thousand Worlds	various
KoEm	Ko		Korsumug Empire	Thet
KoPm	Pm		Percavid Marches	Thet
KPel	Pe		Kingdom of Peladon	Thet
KrPr	Kr		Krotan Primacy	Gzir/Rice/KaaG
LeSu	Ls		League of Suns	Farf
LnRp	Ln		Loyal Nineworlds Republic	Glim
LyCo	Ly		Lanyard Colonies	Reav
MaCl	Ma		Mapepire Cluster	Beyo
MaEm	Mk		Maskai Empire	Glim
MaUn	Mu		Malorn Union	Cano/Alde
MeCo	Me		Megusard Corporate	Gate
MiCo	Mi		Mische Conglomerate	Cruc
MnPr	Mn		Mnemosyne Principality	Farf
MoLo	ML		Monarchy of Lod	Beyo
MrCo	MC		Mercantile Concord	Cruc
NaAs	As	As	Non-Aligned, Aslan-dominated	Akti/Dark/Eali/Rift/Uist/Ustr
NaCh	Na		Non-Aligned, TBD	Sidi
NaDr	Dr		Non-Aligned, Droyne-dominated	various
NaHu	Na	Na	Non-Aligned, Human-dominated	various
NaVa	Va	Va	Non-Aligned, Vargr-dominated	various
NaXX	Na	Na	Non-Aligned, unclaimed	various
NkCo	NC		Nakris Confederation	Beyo
OcWs	Ow		Outcasts of the Whispering Sky	Hint
OlWo	Ow		Old Worlds	Cruc
PlLe	Pl		Plavian League	Gate
PrBr	PB		Principality of Bruhkarr	Beyo
Prot	Pt		The Protectorate	Farf
RaRa	Ra		Ral Ranta	Hint
Reac	Rh		The Reach	Cruc
ReUn	Re		Renkard Union	Gate
SaCo	Sc		Salinaikin Concordance	Farf
Sark	Sc		Sarkan Constellation	Mend
SeFo	Sf		Senlis Foederate	Troj
SELK	Lk		Sha Elden Lith Kindriu	Gzir/KaaG
ShRp	SR		Stormhaven Republic	Beyo
SoBF	So	So	Solomani Confederation, Bootean Federation	Solo
SoCf	So	So	Solomani Confederation	Alph/Diab/Dark/Hint/Magy/Olde/Reav/Solo/Spic/Ustr
SoCT	So	So	Solomani Confederation, Consolidation of Turin	Alph
SoFr	Fr	So	Solomani Confederation, Third Reformed French Confederate Republic	Alde
SoHn	Hn	So	Solomani Confederation, Hanuman Systems	Lang
SoKv	Kv	So	Solomani Confederation, Kostov Confederate Republic	Newo
SoNS	So	So	Solomani Confederation, New Slavic Solidarity	Magy
SoQu	Qu	So	Solomani Confederation, Grand United States of Quesada	Alde
SoRD	So	So	Solomani Confederation, Reformed Dootchen Estates	Magy
SoRz	So	So	Solomani Confederation, Restricted Zone	Alde/Newo
SoWu	So	So	Solomani Confederation, Wuan Technology Association	Diab/Magy
StCl	Sc		Strend Cluster	Troj
SwCf	Sw		Sword Worlds Confederation	Spin
SwFW	Sw		Swanfei Free Worlds	Gate
SyRe	Sy		Syzlin Republic	Cruc
TeCl	Tc		Tellerian Cluster	Vang
TrBr	Tb		Trita Brotherhood	Cano
TrCo	Tr		Trindel Confederacy	Gate
TrDo	Td		Trelyn Domain	Vang/Farf
TroC	Tr		Trooles Confederation	Thet
UnGa	Ug		Union of Garth	Farf
UnHa	Uh		Union of Harmony	Dark/Reav
V17D	V7	Va	17th Disjucture	Mesh/Wind
V40S	Ve	Va	40th Squadron	Gvur
VAkh	VA	Va	Akhstuti	Tugl
VAnP	Vx	Va	Antares Pact	Mesh/Mend
VARC	Vr	Va	Anti-Rukh Coalition	Gvur
VAsP	Vx	Va	Ascendancy Pact	Knoe
VAug	Vu	Va	United Followers of Augurgh	Dene/Tugl
VBkA	Vb	Va	Bakne Alliance	Tugl
VCKd	Vk	Va	Commonality of Kedzudh	Gvur
VDeG	Vd	Va	Democracy of Greats	Knoe
VDrN	VN	Va	Drr'lana Network	Gash
VDzF	Vf	Va	Dzarrgh Federate	Dene/Prov/Tugl
VFFD	V1	Va	First Fleet of Dzo	Mesh
VGoT	Vg	Va	Glory of Taarskoerzn	Prov
ViCo	Vi	Va	Viyard Concourse	Gate
VInL	V9	Va	Infinity League	Knoe
VIrM	Vh	Va	Irrgh Manifest	Prov
VJoF	Vj	Va	Jihad of Faarzgaen	Prov
VKfu	Vk	Va	Kfue	Tugl
VLIn	Vi	Va	Llaeghskath Interacterate	Prov/Tugl
VLPr	Vl	Va	Lair Protectorate	Prov
VNgC	Vn	Va	Ngath Confederation	Wind
VNoe	VN	Va	Noefa	Tugl
VOpA	Vo	Va	Opposition Alliance	Knoe
VOpp	Vo	Va	Opposition Alliance	Mesh
VOuz	VO	Va	Ouzvothon	Tugl
VPGa	Vg	Va	Pact of Gaerr	Gvur
VRo5	V5	Va	Ruler of Five	Mesh
VRrS	VW	Va	Rranglloez Stronghold	Tugl
VRuk	Vn	Va	Worlds of Leader Rukh	Gvur
VSDp	Vs	Va	Saeknouth Dependency	Gvur
VSEq	Vd	Va	Society of Equals	Gvur/Tugl
VThE	Vt	Va	Thoengling Empire	Gvur/Tugl
VTrA	VT	Va	Trae Aggregation	Tren
VTzE	Vp	Va	Thirz Empire	Gvur/Ziaf
VUru	Vu	Va	Urukhu	Gvur
VVar	Ve	Va	Empire of Varroerth	Prov/Tugl/Wind
VVoS	Vv	Va	Voekhaeb Society	Mesh
VWan	Vw	Va	People of Wanz	Tugl
VWP2	V2	Va	Windhorn Pact of Two	Tugl
VYoe	VQ	Va	Union of Yoetyqq	Gash
WiDe	Wd		Winston Democracy	Alde/Newo
Wild	Wi		Wilds	various
XXXX	Xx		Unknown	various
ZePr	Zp	Z	Zelphic Primacy	Farf
ZhAx	Ax	Zh	Zhodani Consulate, Addaxur Reserve	Tien
ZhCa	Ca	Zh	Zhodani Consulate, Colonnade Province	Vang/Farf
ZhCh	Zh	Zh	Zhodani Consulate, Chtierabl Province	Chti
ZhCo	Zh	Zh	Zhodani Consulate	various
ZhIa	Zh	Zh	Zhodani Consulate, Iabrensh Province	Stia/Zdie
ZhIN	Zh	Zh	Zhodani Consulate, Iadr Nsobl Province	Farf/Fore/Gvur/Spin/Yikl/Ziaf
ZhJp	Zh	Zh	Zhodani Consulate, Jadlapriants Province	Tien/Zhda
ZhMe	Zh	Zh	Zhodani Consulate, Meqlemianz Province	Eiap/Sidi/Eiap
ZhOb	Zh	Zh	Zhodani Consulate, Obrefripl Province	various
ZhSh	Zh	Zh	Zhodani Consulate, Shtochiadr Province	Itvi/Tlab
ZhVQ	Zh	Zh	Zhodani Consulate, Vlanchiets Qlom Province	various
Zuug	Zu	Zu	Zuugabish Tripartite	Mend
ZyCo	Zc		Zydarian Codominium	Beyo
ECRp	EC		Eberhardt Corporate Republic	Krus
InRp	Ir		Interstellar Republic	Krus
RamW	RW		Rammak Worlds	Krus
Rule	RM		Rule of Man	Krus
SoKE	So	So	Solomani Confederation, Kruse Enclave	Krus
SoLE	So	So	Solomani Confederation, Lubbock Enclave	Lubb
SoXE	So	So	Solomani Confederation, Xuanzang Enclave	Xuan
Sovr	Sv		The Sovereignty	Krus
