	Sector	Hex	Name	UWP	TC	Remarks	Sophonts 	Details	{Ix}	(Ex)	[Cx]	Nobility	Bases	Zone	PBG	Allegiance	Stars	s	SS	W	RU	Tech-Mod	St	S	A	H	P	G	L	T	P	B	G	St		Ag 	As 	Ba 	De 	Fl 	He 	Hi 	Ic 	In 	Lo 	Na 	Ni 	Oc 	Po 	Ga 	Ri 	Va 	Wa 	Pa 	Pi 	Pr 	Ph 	An 	Cp		Di 	Fo 	Pz 	Da 	B	c	C	D	e	E	f	F	G	Location	Scout ID	Stars	M1000 Names	M0 Names	Rule of Man Names	Ziru Sirka	Res	Lab	Inf	i	Eff	e	Importance	Homogeneity	Acceptance	Strangeness	Symbols	Population	Human?	Alien?	 Human 	 Non-Human 	Human Minor	Important	Noble				x	y
Milieu 0	Alph	0305	Umsishmigis	C565000-A		Di 			{ 0 }	(701+2)	[4028]				302	ImDs	F5 V	1	P	13	0	5	3	5	6	5	0	0	0	10	3	0	2	C	1																										Di 				B									Alph 3239	565-	F5 V	Gethsemane	Umsishmigis	Glaga	Gilagaar	7	0	1	1	+2	2	+0	4	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	0						
Milieu 0	Alph	0306	Gugashuushun	F554000-A		Di 			{ -1 }	(301-3)	[1028]				102	ImDs	K2 V	1	P	14	0	1	6	5	5	4	0	0	0	10	1	0	2	F	1																										Di 				B									Alph 3239	554-	K2 V	Willis	Gugashuushun	Gikpaars	Giikpaarsamkhe	3	0	1	1	-3	-3	-1	1	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-1						
Milieu 0	Alph	0402	Khuunelimsha	E858000-A		Di 			{ -1 }	(902-2)	[5028]				002	ImDs	K2 V M0 V M3 V	3	P	11	0	2	5	8	5	8	0	0	0	10	0	0	2	E	1																										Di 				B									Alph 3239	858-	K2 V M0 V M3 V	Estrella	Khuunelimsha	Hlimsha	Khuunelimsha	9	0	2	2	-2	-2	-1	5	0	2	8	 -   	 0.10 	0	 -   	 -   	0	-1						
Milieu 0	Alph	0405	Dimludidar	D422000-A	He Po 	Di 			{ -1 }	(B03-4)	[1028]				505	ImDs	M3 V M5 V 	2	P	13	0	5	4	4	2	2	0	0	0	10	5	0	5	D	1						He 								Po 												Di 				B									Alph 3239	422-	M3 V M5 V 	Leeds	Dimludidar	Amneg	Amneg	B	0	3	3	-4	-4	-1	1	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	-1						
Milieu 0	Alph	0407	Diigiinadu	C89A000-A	Wa 	Di 			{ 0 }	(804-3)	[1028]				420	ImDs	K0 V K6 V	2	P	15	0	7	3	8	9	10	0	0	0	10	4	2	0	C	1																		Wa 								Di 				B									Alph 3239	89A-	K0 V K6 V	Phaedrus	Diigiinadu	Gikzaml	Giikzamlushu	8	0	4	4	-3	-3	+0	1	0	2	8	 4.00 	 0.10 	0	 0 	 4 	0	0						
Milieu 0	Alph	0409	Sugzumiigii	C9A7000-A	Fl 	Di 			{ 0 }	(D05+4)	[8028]				324	ImDs	K4 IV  	1	P	9	0	6	3	9	10	7	0	0	0	10	3	2	4	C	1					Fl 																					Di 				B									Alph 3239	9A7-	K4 IV  	Winona	Sugzumiigii	Sgzum	Sugzumiigii	D	0	5	5	+4	4	+0	8	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	0						
Milieu 0	Alph	0502	Amrir	D000000-B	As Va 	Di 			{ -1 }	(904-4)	[1028]				302	ImDs	M3 V	1	P	10	0	5	4	0	0	0	0	0	0	11	3	0	2	D	1		As 															Va 									Di 				B									Alph 3239	000-	M3 V	Chapman	Amrir	Kubadir	Kuubadirdup	9	0	4	4	-4	-4	-1	1	0	2	8	 3.00 	 0.90 	0	 3 	 0 	0	-1						
Milieu 0	Alph	0503	Zikagar	E310000-A		Di 			{ -1 }	(B02-3)	[4028]				804	ImDs	M2 V M7 V 	2	P	12	0	3	5	3	1	0	0	0	0	10	8	0	4	E	1																										Di 				B									Alph 3239	310-	M2 V M7 V 	Pickwick	Zikagar	Etethoreyd	Zikagar	B	0	2	2	-3	-3	-1	4	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Alph	0509	Khiragursu	D54A000-A	Wa 	Di 			{ -1 }	(701-2)	[1028]				503	ImDs	F5 IV  	1	P	11	0	5	4	5	4	10	0	0	0	10	5	0	3	D	1																		Wa 								Di 				B									Alph 3239	54A-	F5 IV  	Dixie	Khiragursu	Sushar	Ishdigushar	7	0	1	1	-2	-2	-1	1	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	-1						
Milieu 0	Alph	0601	Kashaa	D569000-A		Di 			{ -1 }	(901-4)	[1028]				814	ImDs	K3 V  	1	P	8	0	5	4	5	6	9	0	0	0	10	8	1	4	D	1																										Di 				B									Alph 3239	569-	K3 V  	Sevastopol	Kashaa	Zowdithothan	Lepkhu	9	0	1	1	-4	-4	-1	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Alph	0603	Irkimamkam	F785000-A	Ga 	Di 			{ -1 }	(803-5)	[2028]				500	ImDs	M3 V  	1	P	13	0	0	6	7	8	5	0	0	0	10	5	0	0	F	1															Ga 											Di 				B									Alph 3239	785-	M3 V  	New Paris	Irkimamkam	Akalashula	Kalashula	8	0	3	3	-5	-5	-1	2	0	2	8	 5.00 	 0.10 	0	 1 	 5 	0	-1						
Milieu 0	Alph	0608	Kupmirshalan	D310000-A		Di 			{ -1 }	(A01+2)	[5028]				105	ImDs	G8 V M0 V 	2	P	9	0	5	4	3	1	0	0	0	0	10	1	0	5	D	1																										Di 				B									Alph 3239	310-	G8 V M0 V 	Chaptoye	Kupmirshalan	Mmekaakh	Mimekaakhim	A	0	1	1	+2	2	-1	5	0	2	8	 1.00 	 0.10 	0	 0 	 1 	0	-1						
Milieu 0	Alph	0609	Gudargishir	C100000-B	Va 	Di 			{ 0 }	(901-1)	[1028]				704	ImDs	K3 V M7 V 	2	P	9	0	7	3	1	0	0	0	0	0	11	7	0	4	C	1																	Va 									Di 				B									Alph 3239	100-	K3 V M7 V 	Marguerite	Gudargishir	Hieeaod	Gudargishir	9	0	1	1	-1	-1	+0	1	0	2	8	 7.00 	 0.90 	0	 6 	 1 	0	0						
Milieu 0	Alph	0701	Amgiidmunga	B000000-A	As Va 	Di 			{ 1 }	(705+1)	[4028]				800	ImDs	K4 V	1	P	11	0	9	2	0	0	0	0	0	0	10	8	0	0	B	1		As 															Va 									Di 				B									Alph 3239	000-	K4 V	Grady	Amgiidmunga	Shindiliga	Shindiliga	7	0	5	5	+1	1	+1	4	0	2	8	 8.00 	 0.90 	0	 7 	 1 	0	1						
Milieu 0	Alph	0707	Diimid	D300000-A	Va 	Di 			{ -1 }	(501-1)	[1028]				602	ImDs	M2 V M7 V 	2	P	12	0	5	4	3	0	0	0	0	0	10	6	0	2	D	1																	Va 									Di 				B									Alph 3239	300-	M2 V M7 V 	Shade	Diimid	Azagbakha	Zagbakha	5	0	1	1	-1	-1	-1	1	0	2	8	 6.00 	 0.90 	0	 5 	 1 	0	-1						
Milieu 0	Alph	0801	Irdi	F997000-A		Di 			{ -1 }	(601-5)	[1028]				712	ImDs	G3 V  	1	P	12	0	1	6	9	9	7	0	0	0	10	7	1	2	F	1																										Di 				B									Alph 3239	997-	G3 V  	Hastings	Irdi	Sapankuudi	Shapankuudish	6	0	1	1	-5	-5	-1	1	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-1						
Milieu 0	Alph	0804	Dikii	B310000-A		Di 			{ 1 }	(A06+1)	[3028]				203	ImDs	G3 V M7 V 	2	P	8	0	9	2	3	1	0	0	0	0	10	2	0	3	B	1																										Di 				B									Alph 3239	310-	G3 V M7 V 	Port Royal	Dikii	Haba	Khalaba	A	0	6	6	+1	1	+1	3	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	1						
Milieu 0	Alph	0805	Pakisukar	F666000-A	Ga 	Di 			{ -1 }	(401-5)	[1028]				800	ImDs	G7 V  	1	P	10	0	2	6	6	6	6	0	0	0	10	8	0	0	F	1															Ga 											Di 				B									Alph 3239	666-	G7 V  	Savah	Pakisukar	Pkisuk	Pakisukar	4	0	1	1	-5	-5	-1	1	0	2	8	 8.00 	 0.10 	0	 1 	 7 	0	-1						
Milieu 0	Alph	0806	Kakukuslar	F310000-A		Di 			{ -1 }	(B01-1)	[8028]				712	ImDs	K3 V M4 V 	2	P	14	0	2	6	3	1	0	0	0	0	10	7	1	2	F	1																										Di 				B									Alph 3239	310-	K3 V M4 V 	Eby	Kakukuslar	Kimgal	Khimgaleg	B	0	1	1	-1	-1	-1	8	0	2	8	 7.00 	 0.10 	0	 1 	 6 	0	-1						
Milieu 0	Alph	0808	Khaken	D676000-A		Di 			{ -1 }	(803-1)	[6028]				300	ImDs	G3 V	1	P	10	0	2	4	6	7	6	0	0	0	10	3	0	0	D	1																										Di 				B									Alph 3239	676-	G3 V	Hartford	Khaken	Kiikda	Ekakiikda	8	0	3	3	-1	-1	-1	6	0	2	8	 3.00 	 0.10 	0	 0 	 3 	0	-1						
Milieu 0	Alph	0809	Kishukhirlu	E654000-A		Di 			{ -1 }	(501-5)	[1028]				211	ImDs	G2 V  	1	P	10	0	2	5	6	5	4	0	0	0	10	2	1	1	E	1																										Di 				B									Alph 3239	654-	G2 V  	Colfax	Kishukhirlu	Usipus	Unsipushig	5	0	1	1	-5	-5	-1	1	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-1						
Milieu 0	Alph	0903	Ashardaku	C300000-A	Va 	Di 			{ 0 }	(801-2)	[1028]				312	ImDs	M1 V M3 V 	2	D	7	0	8	3	3	0	0	0	0	0	10	3	1	2	C	69																	Va 									Di 				B									Alph 3307	300-	M1 V M3 V 	Surrey	Ashardaku	Aanum	Sanum	8	0	1	1	-2	-2	+0	1	0	2	8	 3.00 	 0.90 	0	 3 	 0 	0	0						
Milieu 0	Alph	1002	Isuzunur	D792000-9	He 	Di 			{ -2 }	(B02-5)	[2028]				213	ImDs	F3 V K5 V F1 V	3	H	10	0	3	4	7	9	2	0	0	0	9	2	1	3	D	76						He 																				Di 				B									Alph 3314	792-	F3 V K5 V F1 V	Morningside	Isuzunur	Sisuzunur	Isuzunur	B	0	2	2	-5	-5	-2	2	0	2	8	 2.00 	 0.10 	0	 0 	 2 	0	-2						
Milieu 0	Alph	1004	Emkigaasgad	D100000-B	Va 	Di 			{ -1 }	(804-2)	[4028]				100	ImDs	M2 V M6 V 	2	D	6	0	4	4	1	0	0	0	0	0	11	1	0	0	D	270																	Va 									Di 				B									Alph 3508	100-	M2 V M6 V 	Berasberg	Emkigaasgad	Rshepi	Urdushepi	8	0	4	4	-2	-2	-1	4	0	2	8	 1.00 	 0.90 	0	 1 	 0 	0	-1						
Milieu 0	Alph	1006	Alurkishda	D200695-A	Na Ni Va 				{ -1 }	(C5A+1)	[7528]				403	ImDs	F3 V M7 V 	2	P	9	600	4	4	2	0	0	6	9	5	10	4	0	3	D	1											Na 	Ni 					Va 													B									Alph 3239	200-	F3 V M7 V 	Pack	Alurkishda	Ikisirrekhuu	Kisirrekhuu	C	5	10	A	+1	1	-1	7	5	2	8	 4,000,000.00 	 0.90 	0	 3,600,000 	 400,000 	0	-1						
Milieu 0	Alph	1101	Gisarker	D000638-B	As Na Ni Va 				{ -1 }	(D5B-2)	[4528]				704	ImDs	M0 V M5 V 	2	P	12	572	4	4	0	0	0	6	3	8	11	7	0	4	D	1		As 									Na 	Ni 					Va 													B									Alph 3239	000-	M0 V M5 V 	Panunzio	Gisarker	Giidaar	Igiidaar	D	5	11	B	-2	-2	-1	4	5	2	8	 7,000,000.00 	 0.90 	0	 6,300,000 	 700,000 	0	-1						
Milieu 0	Alph	1104	Dikhinud	E786685-A	Ag Ni Ga Ri 				{ 1 }	(957+1)	[7728]				723	ImDs	M3 V K0 V 	2	P	10	315	0	5	7	8	6	6	8	5	10	7	2	3	E	1	Ag 											Ni 			Ga 	Ri 														B		C							Alph 3239	786-	M3 V K0 V 	Koz	Dikhinud	To	Damugige	9	5	7	7	+1	1	+1	7	7	2	8	 7,000,000.00 	 0.90 	0	 6,300,000 	 700,000 	0	1						
Milieu 0	Alph	1109	Madakha	D541673-A	He Ni Po 				{ -1 }	(D57-1)	[7528]				404	ImDs	M3 V M2 V	2	P	10	410	2	4	5	4	1	6	7	3	10	4	0	4	D	1						He 						Ni 		Po 																B									Alph 3239	541-	M3 V M2 V	Kazan	Madakha	Ukheg	Urkhegerki	D	5	7	7	-1	-1	-1	7	5	2	8	 4,000,000.00 	 0.90 	0	 3,600,000 	 400,000 	0	-1						
Milieu 0	Alph	1205	Mugakidaam	C7C2643-A	Fl He Ni 				{ 0 }	(E5C-1)	[4628]				814	ImDs	M1 V K7 V 	2	P	11	756	5	3	7	12	2	6	4	3	10	8	1	4	C	1					Fl 	He 						Ni 																		B									Alph 3239	7C2-	M1 V K7 V 	Uriel	Mugakidaam	Usapi	Ursapiikhii	E	5	12	C	-1	-1	+0	4	6	2	8	 8,000,000.00 	 0.90 	0	 7,200,000 	 800,000 	0	0						
Milieu 0	Alph	1208	Egkashalar	B57467A-A	Ag Ni 				{ 2 }	(F5E+1)	[5828]				215	ImDs	M2 V	1	P	10	1,050	7	2	5	7	4	6	7	10	10	2	1	5	B	1	Ag 											Ni 																		B		C							Alph 3239	574-	M2 V	Hale	Egkashalar	Arakanakha	Rakanakha	F	5	14	E	+1	1	+2	5	8	2	8	 2,000,000.00 	 0.90 	0	 1,800,000 	 200,000 	0	2						
Milieu 0	Alph	1209	Shilashi	F556682-A	Ag Ni 				{ 0 }	(956+3)	[B628]				204	ImDs	K4 V  	1	P	10	810	0	6	5	5	6	6	8	2	10	2	0	4	F	1	Ag 											Ni 																		B		C							Alph 3239	556-	K4 V  	Wabash	Shilashi	Osaine	Kagesar	9	5	6	6	+3	3	+0	B	6	2	8	 2,000,000.00 	 0.90 	0	 1,800,000 	 200,000 	0	0						
Milieu 0	Alph	1210	Udesirlii	D200625-A	Na Ni Va 				{ -1 }	(95A+1)	[7528]				500	ImDs	K2 V M1 V 	2	P	10	450	4	4	2	0	0	6	2	5	10	5	0	0	D	1											Na 	Ni 					Va 													B									Alph 3239	200-	K2 V M1 V 	Ruskin	Udesirlii	Udesirlii	Udesirlii	9	5	10	A	+1	1	-1	7	5	2	8	 5,000,000.00 	 0.90 	0	 4,500,000 	 500,000 	0	-1						
Milieu 0	Alph	1303	Shiimar	D100666-B	Na Ni Va 				{ -1 }	(95B+3)	[9528]				500	ImDs	M2 V  	1	D	7	1,485	4	4	1	0	0	6	6	6	11	5	0	0	D	170											Na 	Ni 					Va 													B									Alph 3408	100-	M2 V  	Isdirra	Shiimar	Hsher	Sher	9	5	11	B	+3	3	-1	9	5	2	8	 5,000,000.00 	 0.90 	0	 4,500,000 	 500,000 	0	-1						
Milieu 0	Alph	1304	Gizashdar	C310797-A	Na 	Pi 			{ 1 }	(E6C+1)	[6828]				313	ImDs	K0 V	1	P	9	1,008	6	3	3	1	0	7	9	7	10	3	1	3	C	1											Na 									Pi 										B			D						Alph 3239	310-	K0 V	Ximenes	Gizashdar	Mooivock	Gizashdar	E	6	12	C	+1	1	+1	6	8	2	8	 30,000,000.00 	 0.10 	1	 3,000,000 	 27,000,000 	0	1						
Milieu 0	Alph	1305	Elansamki	C433795-A	Na Po 				{ 1 }	(E6C+4)	[A828]				204	ImDs	K4 V M6 V 	2	P	7	4,032	6	3	4	3	3	7	9	5	10	2	0	4	C	1											Na 			Po 																B									Alph 3239	433-	K4 V M6 V 	Arreguin	Elansamki	Shaabi	Shaabi	E	6	12	C	+4	4	+1	A	8	2	8	 20,000,000.00 	 0.10 	1	 2,000,000 	 18,000,000 	0	1						
